,Character,Name_score
0,Denise,1.0
1,Mouret,0.0
2,Hutin,0.0
3,Bourdoncle,0.0
4,MmeDesforges,0.0
5,Baudu,0.0
6,MmeAurélie,0.0
7,Pauline,1.0
8,Favier,0.0
9,Robineau,0.0
10,MmeMarty,0.0
11,Henriette,1.0
12,Geneviève,1.0
13,Clara,1.0
14,Jean,0.53
15,Deloche,0.0
16,Vallagnosc,0.0
17,Bourras,0.0
18,Pépé,0.0
19,Bouthemont,0.0
20,Jouve,0.0
21,Colomban,0.0
22,Marguerite,1.0
23,Mignot,0.0
24,MmeBaudu,0.0
25,MmeGuibal,0.0
26,MmeBourdelais,0.0
27,Baugé,0.0
28,Liénard,0.0
29,Hartmann,-1.0
30,Gaujean,0.0
31,Albert,-0.99
32,Joseph,-0.99
33,Vinçard,0.0
34,Valentine,0.88
35,MmeRobineau,0.0
36,MMouret,-0.74
37,MmeFrédéric,0.0
38,MmeGras,0.0
39,MmeBoutarel,0.0
40,MHutin,-0.74
41,MmeCabin,0.0
42,Vanpouille,0.0
43,Madeleine,0.99
44,MRobineau,-0.74
45,MMarty,-0.74
46,Prunaire,0.0
47,Campion,0.0
48,AlbertLhomme,-0.99
