,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (commis, 8))",0.248654596883,0.0,count,51.0,constant,exposition
1,Denise,"(vendeuse, (drapier, 5))",-0.00591423249792,1.0,count,51.0,constant,exposition
2,Denise,"(vendeuse, (bonne, 3))",0.168578964481,2.0,count,51.0,constant,exposition
3,Denise,"(vendeuse, (patron, 2))",0.0768989563458,3.0,count,51.0,constant,exposition
4,Denise,"(vendeuse, (calicot, 1))",0.0523452095406,4.0,count,51.0,constant,exposition
5,Mouret,"(patron, (chef, 7))",0.271560112679,0.0,count,36.0,constant,exposition
6,Mouret,"(patron, (commis, 3))",0.271098559578,1.0,count,36.0,constant,exposition
7,Mouret,"(patron, (patron, 2))",1.0,2.0,count,36.0,constant,exposition
8,Mouret,"(patron, (poète, 2))",0.0429705912066,3.0,count,36.0,constant,exposition
9,Mouret,"(patron, (fermier, 2))",0.112333197761,4.0,count,36.0,constant,exposition
10,Mouret,"(chef, (chef, 7))",1.0,0.0,count,36.0,constant,exposition
11,Mouret,"(chef, (commis, 3))",0.374014584208,1.0,count,36.0,constant,exposition
12,Mouret,"(chef, (patron, 2))",0.271560112679,2.0,count,36.0,constant,exposition
13,Mouret,"(chef, (poète, 2))",0.0512937297815,3.0,count,36.0,constant,exposition
14,Mouret,"(chef, (fermier, 2))",0.14466962893,4.0,count,36.0,constant,exposition
15,Hutin,"(vendeur, (chef, 2))",0.118284252469,0.0,count,12.0,constant,exposition
16,Hutin,"(vendeur, (vendeur, 2))",1.0,1.0,count,12.0,constant,exposition
17,Hutin,"(vendeur, (commis, 2))",0.168599573876,2.0,count,12.0,constant,exposition
18,Hutin,"(vendeur, (charretier, 1))",0.0840142919347,3.0,count,12.0,constant,exposition
19,Hutin,"(vendeur, (patron, 1))",0.145969343715,4.0,count,12.0,constant,exposition
20,Hutin,"(commis, (chef, 2))",0.374014584208,0.0,count,12.0,constant,exposition
21,Hutin,"(commis, (vendeur, 2))",0.168599573876,1.0,count,12.0,constant,exposition
22,Hutin,"(commis, (commis, 2))",1.0,2.0,count,12.0,constant,exposition
23,Hutin,"(commis, (charretier, 1))",0.318524393122,3.0,count,12.0,constant,exposition
24,Hutin,"(commis, (patron, 1))",0.271098559578,4.0,count,12.0,constant,exposition
25,Bourdoncle,"(directeur, (commis, 3))",0.136715068341,0.0,count,11.0,constant,exposition
26,Bourdoncle,"(directeur, (vendeur, 2))",0.0648785419958,1.0,count,11.0,constant,exposition
27,Bourdoncle,"(directeur, (patron, 2))",0.192068362617,2.0,count,11.0,constant,exposition
28,Bourdoncle,"(directeur, (chef, 2))",0.439804839907,3.0,count,11.0,constant,exposition
29,Bourdoncle,"(directeur, (fermier, 2))",0.0464085888912,4.0,count,11.0,constant,exposition
30,Bourdoncle,"(adjoint, (commis, 3))",0.169886989642,0.0,count,11.0,constant,exposition
31,Bourdoncle,"(adjoint, (vendeur, 2))",0.0499948292465,1.0,count,11.0,constant,exposition
32,Bourdoncle,"(adjoint, (patron, 2))",0.108914664636,2.0,count,11.0,constant,exposition
33,Bourdoncle,"(adjoint, (chef, 2))",0.385557525195,3.0,count,11.0,constant,exposition
34,Bourdoncle,"(adjoint, (fermier, 2))",0.0612988652268,4.0,count,11.0,constant,exposition
35,MmeDesforges,"(maîtresse, (domestique, 3))",0.0735767471624,0.0,count,10.0,constant,exposition
36,MmeDesforges,"(maîtresse, (conseiller, 2))",0.067100107678,1.0,count,10.0,constant,exposition
37,MmeDesforges,"(maîtresse, (financier, 2))",0.0620581762899,2.0,count,10.0,constant,exposition
38,MmeDesforges,"(maîtresse, (ouvrière, 1))",0.0209623370781,3.0,count,10.0,constant,exposition
39,MmeDesforges,"(maîtresse, (maîtresse, 1))",1.0,4.0,count,10.0,constant,exposition
40,Baudu,"(vendeuse, (capitaine, 2))",0.057894509527,0.0,count,10.0,constant,exposition
41,Baudu,"(vendeuse, (commerçant, 1))",0.0972496147647,1.0,count,10.0,constant,exposition
42,Baudu,"(vendeuse, (drapier, 1))",-0.00591423249792,2.0,count,10.0,constant,exposition
43,Baudu,"(vendeuse, (commis, 1))",0.248654596883,3.0,count,10.0,constant,exposition
44,MmeAurélie,"(vendeuse, (caissier, 4))",0.310938570036,0.0,count,10.0,constant,exposition
45,MmeAurélie,"(vendeuse, (modèle, 2))",0.0377675161406,1.0,count,10.0,constant,exposition
46,MmeAurélie,"(vendeuse, (drapier, 2))",-0.00591423249792,2.0,count,10.0,constant,exposition
47,MmeAurélie,"(vendeuse, (vendeuse, 2))",1.0,3.0,count,10.0,constant,exposition
48,MmeAurélie,"(vendeuse, (commis, 2))",0.248654596883,4.0,count,10.0,constant,exposition
49,Pauline,"(vendeuse, (bonne, 2))",0.168578964481,0.0,count,10.0,constant,exposition
50,Pauline,"(vendeuse, (lingère, 1))",0.204792011007,1.0,count,10.0,constant,exposition
51,Pauline,"(vendeuse, (maîtresse, 1))",0.0473428721389,2.0,count,10.0,constant,exposition
52,Pauline,"(vendeuse, (cordonnier, 1))",0.0735230233486,3.0,count,10.0,constant,exposition
53,Favier,"(vendeur, (commis, 3))",0.168599573876,0.0,count,10.0,constant,exposition
54,Favier,"(vendeur, (chef, 2))",0.118284252469,1.0,count,10.0,constant,exposition
55,Favier,"(vendeur, (vendeur, 2))",1.0,2.0,count,10.0,constant,exposition
56,Favier,"(vendeur, (patron, 2))",0.145969343715,3.0,count,10.0,constant,exposition
57,Favier,"(vendeur, (charretier, 1))",0.0840142919347,4.0,count,10.0,constant,exposition
58,Robineau,"(vendeur, (commis, 4))",0.168599573876,0.0,count,10.0,constant,exposition
59,Robineau,"(vendeur, (chef, 1))",0.118284252469,1.0,count,10.0,constant,exposition
60,Robineau,"(vendeur, (vendeur, 1))",1.0,2.0,count,10.0,constant,exposition
61,Robineau,"(vendeur, (drapier, 1))",0.0753990393465,3.0,count,10.0,constant,exposition
62,Robineau,"(vendeur, (caissier, 1))",0.303811418521,4.0,count,10.0,constant,exposition
63,Henriette,"(maîtresse, (bonne, 3))",0.0176458631787,0.0,count,10.0,constant,exposition
64,Henriette,"(maîtresse, (chef, 1))",0.13331121199,1.0,count,10.0,constant,exposition
65,Henriette,"(maîtresse, (calicot, 1))",0.0890574313729,2.0,count,10.0,constant,exposition
66,Henriette,"(maîtresse, (financier, 1))",0.0620581762899,3.0,count,10.0,constant,exposition
67,Henriette,"(maîtresse, (maîtresse, 1))",1.0,4.0,count,10.0,constant,exposition
68,Geneviève,"(vendeuse, (bonne, 3))",0.168578964481,0.0,count,10.0,constant,exposition
69,Geneviève,"(vendeuse, (commerçant, 1))",0.0972496147647,1.0,count,10.0,constant,exposition
70,Geneviève,"(vendeuse, (vendeuse, 1))",1.0,2.0,count,10.0,constant,exposition
71,Geneviève,"(vendeuse, (commis, 1))",0.248654596883,3.0,count,10.0,constant,exposition
72,Geneviève,"(vendeuse, (capitaine, 1))",0.057894509527,4.0,count,10.0,constant,exposition
73,Clara,"(vendeuse, (vendeuse, 2))",1.0,0.0,count,10.0,constant,exposition
74,Clara,"(vendeuse, (lingère, 1))",0.204792011007,1.0,count,10.0,constant,exposition
75,Clara,"(vendeuse, (inspecteur, 1))",0.0522483935611,2.0,count,10.0,constant,exposition
76,Clara,"(vendeuse, (bonne, 1))",0.168578964481,3.0,count,10.0,constant,exposition
77,Clara,"(vendeuse, (général, 1))",0.0264665119203,4.0,count,10.0,constant,exposition
78,Jean,"(ivoirier, (ébéniste, 1))",,0.0,count,10.0,constant,exposition
79,Jean,"(ivoirier, (ivoirier, 1))",,1.0,count,10.0,constant,exposition
80,Jean,"(ivoirier, (patron, 1))",,2.0,count,10.0,constant,exposition
