,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (commis, 4.06260930305))",0.248654596883,0.0,count,51.0,decreasing,exposition
1,Denise,"(vendeuse, (marchand, 3.23867845216))",0.0506190908635,1.0,count,51.0,decreasing,exposition
2,Denise,"(vendeuse, (drapier, 2.94464648406))",-0.00591423249792,2.0,count,51.0,decreasing,exposition
3,Denise,"(vendeuse, (bonne, 1.41793144606))",0.168578964481,3.0,count,51.0,decreasing,exposition
4,Denise,"(vendeuse, (patron, 0.901407801182))",0.0768989563458,4.0,count,51.0,decreasing,exposition
5,Mouret,"(patron, (drapier, 3.58351893846))",0.179492806687,0.0,count,36.0,decreasing,exposition
6,Mouret,"(patron, (nourrice, 3.58351893846))",0.0745575175182,1.0,count,36.0,decreasing,exposition
7,Mouret,"(patron, (fermier, 2.8903717579))",0.112333197761,2.0,count,36.0,decreasing,exposition
8,Mouret,"(patron, (chef, 2.35922705778))",0.271560112679,3.0,count,36.0,decreasing,exposition
9,Mouret,"(patron, (commis, 2.13623691322))",0.271098559578,4.0,count,36.0,decreasing,exposition
10,Mouret,"(chef, (drapier, 3.58351893846))",0.140883429816,0.0,count,36.0,decreasing,exposition
11,Mouret,"(chef, (nourrice, 3.58351893846))",0.0433454589693,1.0,count,36.0,decreasing,exposition
12,Mouret,"(chef, (fermier, 2.8903717579))",0.14466962893,2.0,count,36.0,decreasing,exposition
13,Mouret,"(chef, (chef, 2.35922705778))",1.0,3.0,count,36.0,decreasing,exposition
14,Mouret,"(chef, (commis, 2.13623691322))",0.374014584208,4.0,count,36.0,decreasing,exposition
15,Hutin,"(vendeur, (chef, 3.36037538714))",0.118284252469,0.0,count,12.0,decreasing,exposition
16,Hutin,"(vendeur, (commis, 3.36037538714))",0.168599573876,1.0,count,12.0,decreasing,exposition
17,Hutin,"(vendeur, (vendeur, 2.48490664979))",1.0,2.0,count,12.0,decreasing,exposition
18,Hutin,"(vendeur, (charretier, 0.875468737354))",0.0840142919347,3.0,count,12.0,decreasing,exposition
19,Hutin,"(vendeur, (patron, 0.182321556794))",0.145969343715,4.0,count,12.0,decreasing,exposition
20,Hutin,"(commis, (chef, 3.36037538714))",0.374014584208,0.0,count,12.0,decreasing,exposition
21,Hutin,"(commis, (commis, 3.36037538714))",1.0,1.0,count,12.0,decreasing,exposition
22,Hutin,"(commis, (vendeur, 2.48490664979))",0.168599573876,2.0,count,12.0,decreasing,exposition
23,Hutin,"(commis, (charretier, 0.875468737354))",0.318524393122,3.0,count,12.0,decreasing,exposition
