,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (bonne, 25))",0.168578964481,0.0,count,511.0,constant,full
1,Denise,"(vendeuse, (commis, 20))",0.248654596883,1.0,count,511.0,constant,full
2,Denise,"(vendeuse, (patron, 18))",0.0768989563458,2.0,count,511.0,constant,full
3,Denise,"(vendeuse, (vendeuse, 17))",1.0,3.0,count,511.0,constant,full
4,Denise,"(vendeuse, (vendeur, 8))",0.417871919722,4.0,count,511.0,constant,full
5,Mouret,"(patron, (chef, 20))",0.271560112679,0.0,count,369.0,constant,full
6,Mouret,"(patron, (patron, 15))",1.0,1.0,count,369.0,constant,full
7,Mouret,"(patron, (commis, 15))",0.271098559578,2.0,count,369.0,constant,full
8,Mouret,"(patron, (bonne, 12))",0.0433745049986,3.0,count,369.0,constant,full
9,Mouret,"(patron, (inspecteur, 10))",0.146619110788,4.0,count,369.0,constant,full
10,Mouret,"(chef, (chef, 20))",1.0,0.0,count,369.0,constant,full
11,Mouret,"(chef, (patron, 15))",0.271560112679,1.0,count,369.0,constant,full
12,Mouret,"(chef, (commis, 15))",0.374014584208,2.0,count,369.0,constant,full
13,Mouret,"(chef, (bonne, 12))",0.0780031257098,3.0,count,369.0,constant,full
14,Mouret,"(chef, (inspecteur, 10))",0.368297963294,4.0,count,369.0,constant,full
15,Hutin,"(vendeur, (vendeur, 13))",1.0,0.0,count,124.0,constant,full
16,Hutin,"(vendeur, (commis, 13))",0.168599573876,1.0,count,124.0,constant,full
17,Hutin,"(vendeur, (chef, 7))",0.118284252469,2.0,count,124.0,constant,full
18,Hutin,"(vendeur, (maître, 6))",0.0815098454606,3.0,count,124.0,constant,full
19,Hutin,"(vendeur, (patron, 5))",0.145969343715,4.0,count,124.0,constant,full
20,Hutin,"(commis, (vendeur, 13))",0.168599573876,0.0,count,124.0,constant,full
21,Hutin,"(commis, (commis, 13))",1.0,1.0,count,124.0,constant,full
22,Hutin,"(commis, (chef, 7))",0.374014584208,2.0,count,124.0,constant,full
23,Hutin,"(commis, (maître, 6))",0.212304553159,3.0,count,124.0,constant,full
24,Hutin,"(commis, (patron, 5))",0.271098559578,4.0,count,124.0,constant,full
25,Bourdoncle,"(directeur, (chef, 12))",0.439804839907,0.0,count,117.0,constant,full
26,Bourdoncle,"(directeur, (inspecteur, 11))",0.411780732762,1.0,count,117.0,constant,full
27,Bourdoncle,"(directeur, (patron, 10))",0.192068362617,2.0,count,117.0,constant,full
28,Bourdoncle,"(directeur, (commis, 10))",0.136715068341,3.0,count,117.0,constant,full
