,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (commis, 33.5078275941))",0.248654596883,0.0,count,511.0,decreasing,full
1,Denise,"(vendeuse, (bonne, 29.0745273428))",0.168578964481,1.0,count,511.0,decreasing,full
2,Denise,"(vendeuse, (vendeuse, 20.4584158811))",1.0,2.0,count,511.0,decreasing,full
3,Denise,"(vendeuse, (drapier, 18.2708764348))",-0.00591423249792,3.0,count,511.0,decreasing,full
4,Denise,"(vendeuse, (patron, 13.659361067))",0.0768989563458,4.0,count,511.0,decreasing,full
5,Mouret,"(patron, (chef, 34.5095701888))",0.271560112679,0.0,count,369.0,decreasing,full
6,Mouret,"(patron, (bonne, 20.5757959431))",0.0433745049986,1.0,count,369.0,decreasing,full
7,Mouret,"(patron, (commis, 20.2242132258))",0.271098559578,2.0,count,369.0,decreasing,full
8,Mouret,"(patron, (patron, 13.3914952933))",1.0,3.0,count,369.0,decreasing,full
9,Mouret,"(patron, (caissier, 8.78271783388))",0.311932641498,4.0,count,369.0,decreasing,full
10,Mouret,"(chef, (chef, 34.5095701888))",1.0,0.0,count,369.0,decreasing,full
11,Mouret,"(chef, (bonne, 20.5757959431))",0.0780031257098,1.0,count,369.0,decreasing,full
12,Mouret,"(chef, (commis, 20.2242132258))",0.374014584208,2.0,count,369.0,decreasing,full
13,Mouret,"(chef, (patron, 13.3914952933))",0.271560112679,3.0,count,369.0,decreasing,full
14,Mouret,"(chef, (caissier, 8.78271783388))",0.192425041774,4.0,count,369.0,decreasing,full
15,Hutin,"(vendeur, (commis, 15.4702588213))",0.168599573876,0.0,count,124.0,decreasing,full
16,Hutin,"(vendeur, (vendeur, 14.3176137384))",1.0,1.0,count,124.0,decreasing,full
17,Hutin,"(vendeur, (chef, 7.64894858146))",0.118284252469,2.0,count,124.0,decreasing,full
18,Hutin,"(vendeur, (patron, 4.88293366517))",0.145969343715,3.0,count,124.0,decreasing,full
19,Hutin,"(vendeur, (bonne, 4.11713114439))",0.150728623853,4.0,count,124.0,decreasing,full
20,Hutin,"(commis, (commis, 15.4702588213))",1.0,0.0,count,124.0,decreasing,full
21,Hutin,"(commis, (vendeur, 14.3176137384))",0.168599573876,1.0,count,124.0,decreasing,full
22,Hutin,"(commis, (chef, 7.64894858146))",0.374014584208,2.0,count,124.0,decreasing,full
23,Hutin,"(commis, (patron, 4.88293366517))",0.271098559578,3.0,count,124.0,decreasing,full
24,Hutin,"(commis, (bonne, 4.11713114439))",0.0221724578692,4.0,count,124.0,decreasing,full
25,Bourdoncle,"(directeur, (chef, 23.8803740479))",0.439804839907,0.0,count,117.0,decreasing,full
26,Bourdoncle,"(directeur, (commis, 16.5886463391))",0.136715068341,1.0,count,117.0,decreasing,full
27,Bourdoncle,"(directeur, (patron, 12.3338768479))",0.192068362617,2.0,count,117.0,decreasing,full
28,Bourdoncle,"(directeur, (vendeur, 12.147780346))",0.0648785419958,3.0,count,117.0,decreasing,full
29,Bourdoncle,"(directeur, (vendeuse, 7.95968849196))",0.0973872547317,4.0,count,117.0,decreasing,full
30,Bourdoncle,"(adjoint, (chef, 23.8803740479))",0.385557525195,0.0,count,117.0,decreasing,full
31,Bourdoncle,"(adjoint, (commis, 16.5886463391))",0.169886989642,1.0,count,117.0,decreasing,full
32,Bourdoncle,"(adjoint, (patron, 12.3338768479))",0.108914664636,2.0,count,117.0,decreasing,full
33,Bourdoncle,"(adjoint, (vendeur, 12.147780346))",0.0499948292465,3.0,count,117.0,decreasing,full
34,Bourdoncle,"(adjoint, (vendeuse, 7.95968849196))",0.0830962345243,4.0,count,117.0,decreasing,full
35,MmeDesforges,"(maîtresse, (domestique, 8.77837490292))",0.0735767471624,0.0,count,102.0,decreasing,full
36,MmeDesforges,"(maîtresse, (conseiller, 4.65908939758))",0.067100107678,1.0,count,102.0,decreasing,full
37,MmeDesforges,"(maîtresse, (commis, 4.51768519511))",0.205807201099,2.0,count,102.0,decreasing,full
38,MmeDesforges,"(maîtresse, (financier, 4.24674446936))",0.0620581762899,3.0,count,102.0,decreasing,full
39,MmeDesforges,"(maîtresse, (patron, 3.65955661668))",0.123436267011,4.0,count,102.0,decreasing,full
40,Baudu,"(vendeuse, (commis, 23.7676519699))",0.248654596883,0.0,count,94.0,decreasing,full
41,Baudu,"(vendeuse, (drapier, 17.9144278194))",-0.00591423249792,1.0,count,94.0,decreasing,full
42,Baudu,"(vendeuse, (bonne, 11.5893005219))",0.168578964481,2.0,count,94.0,decreasing,full
43,Baudu,"(vendeuse, (capitaine, 8.07800040362))",0.057894509527,3.0,count,94.0,decreasing,full
44,Baudu,"(vendeuse, (patron, 7.84097243155))",0.0768989563458,4.0,count,94.0,decreasing,full
45,MmeAurélie,"(vendeuse, (caissier, 12.3610361871))",0.310938570036,0.0,count,93.0,decreasing,full
46,MmeAurélie,"(vendeuse, (vendeuse, 11.5604818772))",1.0,1.0,count,93.0,decreasing,full
47,MmeAurélie,"(vendeuse, (bonne, 9.56201910946))",0.168578964481,2.0,count,93.0,decreasing,full
48,MmeAurélie,"(vendeuse, (modèle, 6.92180471041))",0.0377675161406,3.0,count,93.0,decreasing,full
49,MmeAurélie,"(vendeuse, (drapier, 6.46325296291))",-0.00591423249792,4.0,count,93.0,decreasing,full
50,Pauline,"(vendeuse, (bonne, 4.1121208347))",0.168578964481,0.0,count,88.0,decreasing,full
51,Pauline,"(vendeuse, (lingère, 3.30801432241))",0.204792011007,1.0,count,88.0,decreasing,full
52,Pauline,"(vendeuse, (maîtresse, 2.93858212482))",0.0473428721389,2.0,count,88.0,decreasing,full
53,Pauline,"(vendeuse, (vendeuse, 2.80452375909))",1.0,3.0,count,88.0,decreasing,full
54,Pauline,"(vendeuse, (vendeur, 2.53619059932))",0.417871919722,4.0,count,88.0,decreasing,full
55,Favier,"(vendeur, (commis, 11.223902732))",0.168599573876,0.0,count,86.0,decreasing,full
56,Favier,"(vendeur, (vendeur, 9.46851721578))",1.0,1.0,count,86.0,decreasing,full
57,Favier,"(vendeur, (patron, 8.03433564475))",0.145969343715,2.0,count,86.0,decreasing,full
58,Favier,"(vendeur, (chef, 7.30996944426))",0.118284252469,3.0,count,86.0,decreasing,full
59,Favier,"(vendeur, (bonne, 5.05581462023))",0.150728623853,4.0,count,86.0,decreasing,full
60,Robineau,"(vendeur, (commis, 14.4318592002))",0.168599573876,0.0,count,85.0,decreasing,full
61,Robineau,"(vendeur, (chef, 8.64187894116))",0.118284252469,1.0,count,85.0,decreasing,full
62,Robineau,"(vendeur, (vendeur, 6.27821265445))",1.0,2.0,count,85.0,decreasing,full
63,Robineau,"(vendeur, (caissier, 3.22291390362))",0.303811418521,3.0,count,85.0,decreasing,full
64,Robineau,"(vendeur, (drapier, 3.22291390362))",0.0753990393465,4.0,count,85.0,decreasing,full
65,Henriette,"(maîtresse, (bonne, 6.04008097814))",0.0176458631787,0.0,count,71.0,decreasing,full
66,Henriette,"(maîtresse, (calicot, 3.34869553857))",0.0890574313729,1.0,count,71.0,decreasing,full
67,Henriette,"(maîtresse, (patron, 2.57006709767))",0.123436267011,2.0,count,71.0,decreasing,full
68,Henriette,"(maîtresse, (domestique, 2.33936392431))",0.0735767471624,3.0,count,71.0,decreasing,full
69,Henriette,"(maîtresse, (chef, 2.05904081137))",0.13331121199,4.0,count,71.0,decreasing,full
70,Geneviève,"(vendeuse, (bonne, 16.606865431))",0.168578964481,0.0,count,71.0,decreasing,full
71,Geneviève,"(vendeuse, (commis, 16.4462416706))",0.248654596883,1.0,count,71.0,decreasing,full
72,Geneviève,"(vendeuse, (drapier, 6.95043165639))",-0.00591423249792,2.0,count,71.0,decreasing,full
73,Geneviève,"(vendeuse, (commerçant, 4.03240007626))",0.0972496147647,3.0,count,71.0,decreasing,full
74,Geneviève,"(vendeuse, (capitaine, 4.03240007626))",0.057894509527,4.0,count,71.0,decreasing,full
75,Clara,"(vendeuse, (vendeuse, 6.87441188002))",1.0,0.0,count,71.0,decreasing,full
76,Clara,"(vendeuse, (commis, 3.9663720793))",0.248654596883,1.0,count,71.0,decreasing,full
77,Clara,"(vendeuse, (bonne, 3.96556347054))",0.168578964481,2.0,count,71.0,decreasing,full
78,Clara,"(vendeuse, (lingère, 3.31907478841))",0.204792011007,3.0,count,71.0,decreasing,full
79,Clara,"(vendeuse, (patron, 2.74333334276))",0.0768989563458,4.0,count,71.0,decreasing,full
80,Jean,"(ivoirier, (patron, 17.0489338111))",,0.0,count,69.0,decreasing,full
81,Jean,"(ivoirier, (réparateur, 13.4228005212))",,1.0,count,69.0,decreasing,full
82,Jean,"(ivoirier, (ivoirier, 13.4228005212))",,2.0,count,69.0,decreasing,full
83,Jean,"(ivoirier, (ébéniste, 13.4228005212))",,3.0,count,69.0,decreasing,full
84,Jean,"(ivoirier, (commis, 10.8614228912))",,4.0,count,69.0,decreasing,full
85,Jean,"(ébéniste, (patron, 17.0489338111))",0.101173583028,0.0,count,69.0,decreasing,full
86,Jean,"(ébéniste, (réparateur, 13.4228005212))",0.201504730682,1.0,count,69.0,decreasing,full
87,Jean,"(ébéniste, (ivoirier, 13.4228005212))",,2.0,count,69.0,decreasing,full
88,Jean,"(ébéniste, (ébéniste, 13.4228005212))",1.0,3.0,count,69.0,decreasing,full
89,Jean,"(ébéniste, (commis, 10.8614228912))",0.271386844307,4.0,count,69.0,decreasing,full
90,Deloche,"(commis, (lingère, 2.44513439992))",0.384668701085,0.0,count,67.0,decreasing,full
91,Deloche,"(commis, (vendeur, 2.29954639421))",0.168599573876,1.0,count,67.0,decreasing,full
92,Deloche,"(commis, (inspecteur, 1.68541527776))",0.180264858967,2.0,count,67.0,decreasing,full
93,Deloche,"(commis, (manoeuvre, 1.48162412239))",0.128300065456,3.0,count,67.0,decreasing,full
94,Deloche,"(commis, (militaire, 1.41490945221))",0.199961808635,4.0,count,67.0,decreasing,full
95,Deloche,"(vendeur, (lingère, 2.44513439992))",0.0983161037709,0.0,count,67.0,decreasing,full
96,Deloche,"(vendeur, (vendeur, 2.29954639421))",1.0,1.0,count,67.0,decreasing,full
97,Deloche,"(vendeur, (inspecteur, 1.68541527776))",0.0467557815309,2.0,count,67.0,decreasing,full
98,Deloche,"(vendeur, (manoeuvre, 1.48162412239))",0.0781104335174,3.0,count,67.0,decreasing,full
99,Deloche,"(vendeur, (militaire, 1.41490945221))",0.0737525647035,4.0,count,67.0,decreasing,full
100,Vallagnosc,"(fonctionnaire, (calicot, 4.73495309124))",0.0518604880004,0.0,count,60.0,decreasing,full
101,Vallagnosc,"(fonctionnaire, (domestique, 2.6712496784))",0.015909495161,1.0,count,60.0,decreasing,full
102,Vallagnosc,"(fonctionnaire, (bonne, 2.50149518969))",0.026176819772,2.0,count,60.0,decreasing,full
103,Vallagnosc,"(fonctionnaire, (manoeuvre, 1.38779231612))",0.128277422966,3.0,count,60.0,decreasing,full
104,Vallagnosc,"(fonctionnaire, (patron, 1.38687023214))",0.220575318416,4.0,count,60.0,decreasing,full
105,Bourras,"(artisan, (drapier, 9.58336815817))",0.235841112208,0.0,count,60.0,decreasing,full
106,Bourras,"(artisan, (architecte, 2.13868811448))",0.23200961773,1.0,count,60.0,decreasing,full
107,Bourras,"(artisan, (boulanger, 1.74171149938))",0.338200854951,2.0,count,60.0,decreasing,full
108,Bourras,"(artisan, (marchand, 0.916221688011))",0.268959258155,3.0,count,60.0,decreasing,full
109,Bourras,"(artisan, (bergère, 0.871263429719))",0.0812635208096,4.0,count,60.0,decreasing,full
110,Bouthemont,"(chef, (commis, 9.86164729367))",0.374014584208,0.0,count,58.0,decreasing,full
111,Bouthemont,"(chef, (chef, 8.99745575166))",1.0,1.0,count,58.0,decreasing,full
112,Bouthemont,"(chef, (bonne, 7.03915299017))",0.0780031257098,2.0,count,58.0,decreasing,full
113,Bouthemont,"(chef, (modèle, 5.04800810103))",0.00592495720858,3.0,count,58.0,decreasing,full
114,Bouthemont,"(chef, (juré, 3.9407663424))",0.113155548984,4.0,count,58.0,decreasing,full
115,Bouthemont,"(vendeur, (commis, 9.86164729367))",0.168599573876,0.0,count,58.0,decreasing,full
116,Bouthemont,"(vendeur, (chef, 8.99745575166))",0.118284252469,1.0,count,58.0,decreasing,full
117,Bouthemont,"(vendeur, (bonne, 7.03915299017))",0.150728623853,2.0,count,58.0,decreasing,full
118,Bouthemont,"(vendeur, (modèle, 5.04800810103))",0.0803088197895,3.0,count,58.0,decreasing,full
119,Bouthemont,"(vendeur, (juré, 3.9407663424))",0.013327739119,4.0,count,58.0,decreasing,full
120,Jouve,"(inspecteur, (inspecteur, 19.4874365882))",1.0,0.0,count,53.0,decreasing,full
121,Jouve,"(inspecteur, (capitaine, 5.07668955862))",0.174436793721,1.0,count,53.0,decreasing,full
122,Jouve,"(inspecteur, (vendeur, 3.42141828542))",0.0467557815309,2.0,count,53.0,decreasing,full
123,Jouve,"(inspecteur, (militaire, 3.32090448181))",0.150564628824,3.0,count,53.0,decreasing,full
124,Jouve,"(inspecteur, (directeur, 2.79726730505))",0.411780732762,4.0,count,53.0,decreasing,full
125,Jouve,"(surveillant, (inspecteur, 19.4874365882))",0.257861514041,0.0,count,53.0,decreasing,full
126,Jouve,"(surveillant, (capitaine, 5.07668955862))",0.169361773804,1.0,count,53.0,decreasing,full
127,Jouve,"(surveillant, (vendeur, 3.42141828542))",0.0601674020039,2.0,count,53.0,decreasing,full
128,Jouve,"(surveillant, (militaire, 3.32090448181))",0.179530446377,3.0,count,53.0,decreasing,full
129,Jouve,"(surveillant, (directeur, 2.79726730505))",0.149880527723,4.0,count,53.0,decreasing,full
130,Jouve,"(capitaine, (inspecteur, 19.4874365882))",0.174436793721,0.0,count,53.0,decreasing,full
131,Jouve,"(capitaine, (capitaine, 5.07668955862))",1.0,1.0,count,53.0,decreasing,full
132,Jouve,"(capitaine, (vendeur, 3.42141828542))",0.0321982304002,2.0,count,53.0,decreasing,full
133,Jouve,"(capitaine, (militaire, 3.32090448181))",0.338113743253,3.0,count,53.0,decreasing,full
134,Jouve,"(capitaine, (directeur, 2.79726730505))",0.125436386306,4.0,count,53.0,decreasing,full
135,Colomban,"(commis, (commis, 16.2897481425))",1.0,0.0,count,53.0,decreasing,full
136,Colomban,"(commis, (bonne, 11.1370257558))",0.0221724578692,1.0,count,53.0,decreasing,full
137,Colomban,"(commis, (vétérinaire, 10.8592807566))",0.0791537622308,2.0,count,53.0,decreasing,full
138,Colomban,"(commis, (patron, 7.03845200867))",0.271098559578,3.0,count,53.0,decreasing,full
139,Colomban,"(commis, (drapier, 6.54645128577))",0.245176796027,4.0,count,53.0,decreasing,full
140,Marguerite,"(vendeuse, (vendeuse, 3.39630092622))",1.0,0.0,count,50.0,decreasing,full
141,Marguerite,"(vendeuse, (général, 3.25606492191))",0.0264665119203,1.0,count,50.0,decreasing,full
142,Marguerite,"(vendeuse, (lingère, 2.90061383309))",0.204792011007,2.0,count,50.0,decreasing,full
143,Marguerite,"(vendeuse, (sabotier, 2.23201986399))",0.064808579861,3.0,count,50.0,decreasing,full
144,Marguerite,"(vendeuse, (manoeuvre, 1.75696380204))",0.0350139944443,4.0,count,50.0,decreasing,full
145,Mignot,"(vendeur, (vendeur, 7.58478204258))",1.0,0.0,count,44.0,decreasing,full
146,Mignot,"(vendeur, (bonne, 6.70905389888))",0.150728623853,1.0,count,44.0,decreasing,full
147,Mignot,"(vendeur, (gantier, 5.14199148829))",0.105724182624,2.0,count,44.0,decreasing,full
148,Mignot,"(vendeur, (commis, 4.71875437544))",0.168599573876,3.0,count,44.0,decreasing,full
149,Mignot,"(vendeur, (patron, 4.09498900007))",0.145969343715,4.0,count,44.0,decreasing,full
150,Mignot,"(gantier, (vendeur, 7.58478204258))",0.105724182624,0.0,count,44.0,decreasing,full
151,Mignot,"(gantier, (bonne, 6.70905389888))",0.0999938215693,1.0,count,44.0,decreasing,full
152,Mignot,"(gantier, (gantier, 5.14199148829))",1.0,2.0,count,44.0,decreasing,full
153,Mignot,"(gantier, (commis, 4.71875437544))",0.165150232831,3.0,count,44.0,decreasing,full
154,Mignot,"(gantier, (patron, 4.09498900007))",0.106629735725,4.0,count,44.0,decreasing,full
155,Mignot,"(commis, (vendeur, 7.58478204258))",0.168599573876,0.0,count,44.0,decreasing,full
156,Mignot,"(commis, (bonne, 6.70905389888))",0.0221724578692,1.0,count,44.0,decreasing,full
157,Mignot,"(commis, (gantier, 5.14199148829))",0.165150232831,2.0,count,44.0,decreasing,full
158,Mignot,"(commis, (commis, 4.71875437544))",1.0,3.0,count,44.0,decreasing,full
159,Mignot,"(commis, (patron, 4.09498900007))",0.271098559578,4.0,count,44.0,decreasing,full
160,MmeBaudu,"(vendeuse, (drapier, 16.4275455993))",-0.00591423249792,0.0,count,39.0,decreasing,full
161,MmeBaudu,"(vendeuse, (commis, 15.1542644518))",0.248654596883,1.0,count,39.0,decreasing,full
162,MmeBaudu,"(vendeuse, (bonne, 8.47581524523))",0.168578964481,2.0,count,39.0,decreasing,full
163,MmeBaudu,"(vendeuse, (vétérinaire, 3.62693496815))",0.0375119433994,3.0,count,39.0,decreasing,full
