,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Denise,f,f,83.0,0.00195694716243,0.0,0.0528375733855,0.0998043052838,0.00587084148728,1.0
1,Mouret,m,m,-68.0,-0.0243902439024,0.0,-0.0189701897019,-0.140921409214,0.0,0.0
2,Hutin,m,f,1.0,-0.0161290322581,0.0,0.0403225806452,-0.0161290322581,0.0,0.0
3,Bourdoncle,m,m,-45.0,0.0,0.0,-0.0598290598291,-0.324786324786,0.0,0.0
4,MmeDesforges,f,f,106.0,0.0,1.0,0.0588235294118,-0.0392156862745,0.0196078431373,0.0
5,Baudu,f,f,1.0,-0.0106382978723,0.0,0.0,0.0212765957447,0.0,0.0
6,MmeAurélie,f,f,123.0,0.0,1.0,-0.0537634408602,0.376344086022,0.0,0.0
7,Pauline,f,f,26.0,0.0,0.0,0.0909090909091,0.193181818182,0.0,1.0
8,Favier,m,f,2.0,-0.0116279069767,0.0,0.116279069767,-0.0813953488372,0.0,0.0
9,Robineau,m,m,-6.0,0.0,0.0,0.0117647058824,-0.0823529411765,0.0,0.0
10,MmeMarty,f,f,87.0,0.0,1.0,0.0361445783133,0.0120481927711,0.0,0.0
11,Henriette,f,m,-17.0,0.0,0.0,-0.0281690140845,-0.225352112676,0.0,1.0
12,Geneviève,f,m,-4.0,0.0,0.0,-0.0422535211268,-0.0281690140845,0.0,1.0
13,Clara,f,f,5.0,0.0,0.0,0.0281690140845,0.0281690140845,0.0,1.0
14,Jean,m,m,-4.47,0.0,0.0,-0.0144927536232,-0.0579710144928,0.0,0.53
15,Deloche,m,m,-4.0,0.0,0.0,-0.10447761194,0.044776119403,0.0,0.0
16,Vallagnosc,m,m,-7.0,0.0,0.0,-0.0166666666667,-0.1,0.0,0.0
17,Bourras,m,f,2.0,-0.0166666666667,0.0,-0.0333333333333,0.0833333333333,0.0,0.0
18,Pépé,m,f,9.0,0.0,0.0,0.0,0.155172413793,0.0,0.0
19,Bouthemont,m,m,-10.0,0.0,0.0,0.0344827586207,-0.206896551724,0.0,0.0
20,Jouve,m,m,-15.0,-0.245283018868,0.0,-0.0377358490566,0.0,0.0,0.0
21,Colomban,m,m,-1.0,0.0,0.0,0.0,-0.0188679245283,0.0,0.0
22,Marguerite,f,f,3.0,0.0,0.0,0.0,0.04,0.0,1.0
23,Mignot,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MmeBaudu,f,f,38.0,0.0,1.0,0.0,-0.025641025641,0.0,0.0
25,MmeGuibal,f,f,36.0,0.0,1.0,-0.0263157894737,-0.0263157894737,0.0,0.0
26,MmeBourdelais,f,f,43.0,0.0,1.0,0.105263157895,0.0263157894737,0.0,0.0
27,Baugé,m,m,-1.0,-0.0277777777778,0.0,0.0,0.0,0.0,0.0
28,Liénard,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Hartmann,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
30,Gaujean,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Albert,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
32,Joseph,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
33,Vinçard,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Valentine,f,f,0.88,0.0,0.0,0.0,0.0,0.0,0.88
35,MmeRobineau,f,f,16.0,0.0,1.0,0.0,0.0,0.0,0.0
36,MMouret,m,m,-16.74,0.0,-1.0,0.0,0.0,0.0,-0.74
37,MmeFrédéric,f,f,13.0,0.0,1.0,0.0,0.0,0.0,0.0
38,MmeGras,f,f,10.0,0.0,1.0,0.0,0.0,0.0,0.0
39,MmeBoutarel,f,f,10.0,0.0,1.0,0.0,0.0,0.0,0.0
40,MHutin,m,m,-8.74,0.0,-1.0,0.0,0.0,0.0,-0.74
41,MmeCabin,f,f,7.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Vanpouille,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Madeleine,f,f,2.99,0.0,0.0,0.0,0.0,0.333333333333,0.99
44,MRobineau,m,m,-6.74,0.0,-1.0,0.0,0.0,0.0,-0.74
45,MMarty,m,m,-6.74,0.0,-1.0,0.0,0.0,0.0,-0.74
46,Prunaire,f,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Campion,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,AlbertLhomme,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
