,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Denise,f,f,48.0,0.0,0.0,0.0542005420054,0.0677506775068,0.00542005420054,1.0
1,Mouret,m,m,-30.0,-0.0265151515152,0.0,-0.0189393939394,-0.0681818181818,0.0,0.0
2,Hutin,m,m,-8.0,-0.013698630137,0.0,0.013698630137,-0.109589041096,0.0,0.0
3,Bourdoncle,m,m,-9.0,0.0,0.0,-0.0153846153846,-0.123076923077,0.0,0.0
4,MmeDesforges,f,f,51.0,0.0,1.0,-0.0178571428571,-0.0892857142857,0.0178571428571,0.0
5,Baudu,f,m,-8.0,-0.0147058823529,0.0,-0.0147058823529,-0.0882352941176,0.0,0.0
6,MmeAurélie,f,f,54.0,0.0,1.0,0.0185185185185,-0.0185185185185,0.0,0.0
7,Pauline,f,,0.0,0.0,0.0,-0.0178571428571,0.0,0.0,1.0
8,Favier,m,m,-9.0,-0.0204081632653,0.0,0.102040816327,-0.265306122449,0.0,0.0
9,Robineau,m,m,-3.0,0.0,0.0,-0.0363636363636,-0.0181818181818,0.0,0.0
10,MmeMarty,f,f,67.0,0.0,1.0,0.1,0.24,0.0,0.0
11,Henriette,f,f,1.0,0.0,0.0,0.0444444444444,-0.0444444444444,0.0,1.0
12,Geneviève,f,f,1.0,0.0,0.0,0.027027027027,-0.027027027027,0.0,1.0
13,Clara,f,f,3.0,0.0,0.0,0.0571428571429,0.0,0.0,1.0
14,Jean,m,f,2.53,0.0,0.0,0.0222222222222,0.0222222222222,0.0,0.53
15,Deloche,m,,0.0,0.0,0.0,-0.0540540540541,0.0540540540541,0.0,0.0
16,Vallagnosc,m,,0.0,0.0,0.0,0.030303030303,-0.030303030303,0.0,0.0
17,Bourras,m,m,-4.0,-0.025,0.0,-0.025,-0.05,0.0,0.0
18,Pépé,m,m,-3.0,0.0,0.0,0.0,-0.111111111111,0.0,0.0
19,Bouthemont,m,m,-1.0,0.0,0.0,0.0,-0.027027027027,0.0,0.0
20,Jouve,m,m,-11.0,-0.236842105263,0.0,-0.0526315789474,0.0,0.0,0.0
21,Colomban,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Marguerite,f,f,2.0,0.0,0.0,0.0384615384615,0.0,0.0,1.0
23,Mignot,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MmeBaudu,f,f,24.0,0.0,1.0,0.0,0.0,0.0,0.0
25,MmeGuibal,f,f,19.0,0.0,1.0,0.0,0.0,0.0,0.0
26,MmeBourdelais,f,f,25.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Baugé,m,m,-1.0,-0.05,0.0,0.0,0.0,0.0,0.0
28,Liénard,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Hartmann,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
30,Gaujean,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Albert,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
32,Joseph,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
33,Vinçard,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Valentine,f,f,0.88,0.0,0.0,0.0,0.0,0.0,0.88
35,MmeRobineau,f,f,10.0,0.0,1.0,0.0,0.0,0.0,0.0
36,MMouret,m,m,-12.74,0.0,-1.0,0.0,0.0,0.0,-0.74
37,MmeFrédéric,f,f,7.0,0.0,1.0,0.0,0.0,0.0,0.0
38,MmeGras,f,f,3.0,0.0,1.0,0.0,0.0,0.0,0.0
39,MmeBoutarel,f,f,4.0,0.0,1.0,0.0,0.0,0.0,0.0
40,MHutin,m,m,-7.74,0.0,-1.0,0.0,0.0,0.0,-0.74
41,MmeCabin,f,f,5.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Vanpouille,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Madeleine,f,f,0.99,0.0,0.0,0.0,0.0,0.0,0.99
44,MRobineau,m,m,-5.74,0.0,-1.0,0.0,0.0,0.0,-0.74
45,MMarty,m,m,-4.74,0.0,-1.0,0.0,0.0,0.0,-0.74
46,Prunaire,f,f,1.0,0.25,0.0,0.0,0.0,0.0,0.0
47,Campion,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,AlbertLhomme,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
