,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (commis, 5.61071428571))",0.248654596883,0.0,51.0,constant,exposition
1,Denise,"(vendeuse, (drapier, 3.73642857143))",-0.00591423249792,1.0,51.0,constant,exposition
2,Denise,"(vendeuse, (bonne, 2.15595238095))",0.168578964481,2.0,51.0,constant,exposition
3,Denise,"(vendeuse, (patron, 1.93571428571))",0.0768989563458,3.0,51.0,constant,exposition
4,Denise,"(vendeuse, (marchand, 1.39642857143))",0.0506190908635,4.0,51.0,constant,exposition
5,Mouret,"(patron, (chef, 5.66796875))",0.271560112679,0.0,36.0,constant,exposition
6,Mouret,"(patron, (commis, 2.99939123377))",0.271098559578,1.0,36.0,constant,exposition
7,Mouret,"(patron, (fermier, 1.74107142857))",0.112333197761,2.0,36.0,constant,exposition
8,Mouret,"(patron, (drapier, 1.70647321429))",0.179492806687,3.0,36.0,constant,exposition
9,Mouret,"(patron, (patron, 1.67466517857))",1.0,4.0,36.0,constant,exposition
10,Mouret,"(chef, (chef, 5.66796875))",1.0,0.0,36.0,constant,exposition
11,Mouret,"(chef, (commis, 2.99939123377))",0.374014584208,1.0,36.0,constant,exposition
12,Mouret,"(chef, (fermier, 1.74107142857))",0.14466962893,2.0,36.0,constant,exposition
13,Mouret,"(chef, (drapier, 1.70647321429))",0.140883429816,3.0,36.0,constant,exposition
14,Mouret,"(chef, (patron, 1.67466517857))",0.271560112679,4.0,36.0,constant,exposition
15,Hutin,"(vendeur, (commis, 5.89903846154))",0.168599573876,0.0,12.0,constant,exposition
16,Hutin,"(vendeur, (chef, 5.83125))",0.118284252469,1.0,12.0,constant,exposition
17,Hutin,"(vendeur, (vendeur, 5.54861111111))",1.0,2.0,12.0,constant,exposition
18,Hutin,"(vendeur, (patron, 3.48333333333))",0.145969343715,3.0,12.0,constant,exposition
19,Hutin,"(vendeur, (charretier, 2.5))",0.0840142919347,4.0,12.0,constant,exposition
20,Hutin,"(commis, (commis, 5.89903846154))",1.0,0.0,12.0,constant,exposition
21,Hutin,"(commis, (chef, 5.83125))",0.374014584208,1.0,12.0,constant,exposition
22,Hutin,"(commis, (vendeur, 5.54861111111))",0.168599573876,2.0,12.0,constant,exposition
23,Hutin,"(commis, (patron, 3.48333333333))",0.271098559578,3.0,12.0,constant,exposition
24,Hutin,"(commis, (charretier, 2.5))",0.318524393122,4.0,12.0,constant,exposition
25,Bourdoncle,"(directeur, (commis, 5.84080188679))",0.136715068341,0.0,11.0,constant,exposition
26,Bourdoncle,"(directeur, (chef, 3.9748427673))",0.439804839907,1.0,11.0,constant,exposition
27,Bourdoncle,"(directeur, (vendeur, 3.60880503145))",0.0648785419958,2.0,11.0,constant,exposition
28,Bourdoncle,"(directeur, (fermier, 3.59748427673))",0.0464085888912,3.0,11.0,constant,exposition
29,Bourdoncle,"(directeur, (patron, 3.49236298293))",0.192068362617,4.0,11.0,constant,exposition
30,Bourdoncle,"(adjoint, (commis, 5.84080188679))",0.169886989642,0.0,11.0,constant,exposition
31,Bourdoncle,"(adjoint, (chef, 3.9748427673))",0.385557525195,1.0,11.0,constant,exposition
32,Bourdoncle,"(adjoint, (vendeur, 3.60880503145))",0.0499948292465,2.0,11.0,constant,exposition
33,Bourdoncle,"(adjoint, (fermier, 3.59748427673))",0.0612988652268,3.0,11.0,constant,exposition
34,Bourdoncle,"(adjoint, (patron, 3.49236298293))",0.108914664636,4.0,11.0,constant,exposition
35,MmeDesforges,"(maîtresse, (domestique, 5.53623188406))",0.0735767471624,0.0,10.0,constant,exposition
36,MmeDesforges,"(maîtresse, (conseiller, 4.28985507246))",0.067100107678,1.0,10.0,constant,exposition
37,MmeDesforges,"(maîtresse, (financier, 3.83768115942))",0.0620581762899,2.0,10.0,constant,exposition
38,MmeDesforges,"(maîtresse, (directeur, 2.64057971014))",0.0656618154022,3.0,10.0,constant,exposition
39,MmeDesforges,"(maîtresse, (employé, 2.60579710145))",0.0682703322602,4.0,10.0,constant,exposition
40,Baudu,"(vendeuse, (capitaine, 5.35185185185))",0.057894509527,0.0,10.0,constant,exposition
41,Baudu,"(vendeuse, (commis, 3.33496732026))",0.248654596883,1.0,10.0,constant,exposition
42,Baudu,"(vendeuse, (drapier, 3.0873015873))",-0.00591423249792,2.0,10.0,constant,exposition
43,Baudu,"(vendeuse, (commerçant, 2.5))",0.0972496147647,3.0,10.0,constant,exposition
44,MmeAurélie,"(vendeuse, (caissier, 5.625))",0.310938570036,0.0,10.0,constant,exposition
45,MmeAurélie,"(vendeuse, (commis, 3.48684210526))",0.248654596883,1.0,10.0,constant,exposition
46,MmeAurélie,"(vendeuse, (drapier, 3.44135802469))",-0.00591423249792,2.0,10.0,constant,exposition
47,MmeAurélie,"(vendeuse, (vendeuse, 3.31481481481))",1.0,3.0,10.0,constant,exposition
48,MmeAurélie,"(vendeuse, (modèle, 2.73611111111))",0.0377675161406,4.0,10.0,constant,exposition
49,Pauline,"(vendeuse, (bonne, 5.91558441558))",0.168578964481,0.0,10.0,constant,exposition
50,Pauline,"(vendeuse, (maîtresse, 3.45454545455))",0.0473428721389,1.0,10.0,constant,exposition
51,Pauline,"(vendeuse, (lingère, 3.36363636364))",0.204792011007,2.0,10.0,constant,exposition
52,Pauline,"(vendeuse, (cordonnier, 2.5))",0.0735230233486,3.0,10.0,constant,exposition
53,Favier,"(vendeur, (commis, 5.86257928118))",0.168599573876,0.0,10.0,constant,exposition
54,Favier,"(vendeur, (patron, 4.26098191214))",0.145969343715,1.0,10.0,constant,exposition
55,Favier,"(vendeur, (chef, 3.97452934662))",0.118284252469,2.0,10.0,constant,exposition
56,Favier,"(vendeur, (vendeur, 3.715393134))",1.0,3.0,10.0,constant,exposition
57,Favier,"(vendeur, (charretier, 1.66666666667))",0.0840142919347,4.0,10.0,constant,exposition
58,Robineau,"(vendeur, (commis, 5.78521478521))",0.168599573876,0.0,10.0,constant,exposition
59,Robineau,"(vendeur, (chef, 2.16341991342))",0.118284252469,1.0,10.0,constant,exposition
60,Robineau,"(vendeur, (vendeur, 1.37337662338))",1.0,2.0,10.0,constant,exposition
61,Robineau,"(vendeur, (caissier, 1.34090909091))",0.303811418521,3.0,10.0,constant,exposition
62,Robineau,"(vendeur, (drapier, 1.25))",0.0753990393465,4.0,10.0,constant,exposition
63,Henriette,"(maîtresse, (bonne, 5.875))",0.0176458631787,0.0,10.0,constant,exposition
64,Henriette,"(maîtresse, (chef, 2.6484375))",0.13331121199,1.0,10.0,constant,exposition
65,Henriette,"(maîtresse, (maîtresse, 2.59722222222))",1.0,2.0,10.0,constant,exposition
66,Henriette,"(maîtresse, (financier, 2.30555555556))",0.0620581762899,3.0,10.0,constant,exposition
67,Henriette,"(maîtresse, (calicot, 1.66666666667))",0.0890574313729,4.0,10.0,constant,exposition
68,Geneviève,"(vendeuse, (bonne, 5.68181818182))",0.168578964481,0.0,10.0,constant,exposition
69,Geneviève,"(vendeuse, (commis, 2.65993265993))",0.248654596883,1.0,10.0,constant,exposition
70,Geneviève,"(vendeuse, (vendeuse, 2.64393939394))",1.0,2.0,10.0,constant,exposition
71,Geneviève,"(vendeuse, (capitaine, 2.59848484848))",0.057894509527,3.0,10.0,constant,exposition
72,Geneviève,"(vendeuse, (commerçant, 1.66666666667))",0.0972496147647,4.0,10.0,constant,exposition
73,Clara,"(vendeuse, (vendeuse, 5.0))",1.0,0.0,10.0,constant,exposition
74,Clara,"(vendeuse, (inspecteur, 3.40625))",0.0522483935611,1.0,10.0,constant,exposition
75,Clara,"(vendeuse, (bonne, 3.32))",0.168578964481,2.0,10.0,constant,exposition
76,Clara,"(vendeuse, (lingère, 3.05))",0.204792011007,3.0,10.0,constant,exposition
77,Clara,"(vendeuse, (général, 2.65625))",0.0264665119203,4.0,10.0,constant,exposition
78,Jean,"(ivoirier, (ébéniste, 5.94505494505))",,0.0,10.0,constant,exposition
79,Jean,"(ivoirier, (réparateur, 5.91208791209))",,1.0,10.0,constant,exposition
80,Jean,"(ivoirier, (patron, 5.88021978022))",,2.0,10.0,constant,exposition
81,Jean,"(ivoirier, (ivoirier, 5.0))",,3.0,10.0,constant,exposition
82,Jean,"(ébéniste, (ébéniste, 5.94505494505))",1.0,0.0,10.0,constant,exposition
83,Jean,"(ébéniste, (réparateur, 5.91208791209))",0.201504730682,1.0,10.0,constant,exposition
84,Jean,"(ébéniste, (patron, 5.88021978022))",0.101173583028,2.0,10.0,constant,exposition
85,Jean,"(ébéniste, (ivoirier, 5.0))",,3.0,10.0,constant,exposition
86,Deloche,"(commis, (lingère, 5.57073170732))",0.384668701085,0.0,10.0,constant,exposition
87,Deloche,"(commis, (vendeur, 3.4945799458))",0.168599573876,1.0,10.0,constant,exposition
88,Deloche,"(commis, (inspecteur, 3.33414634146))",0.180264858967,2.0,10.0,constant,exposition
89,Deloche,"(commis, (militaire, 2.5))",0.199961808635,3.0,10.0,constant,exposition
90,Deloche,"(vendeur, (lingère, 5.57073170732))",0.0983161037709,0.0,10.0,constant,exposition
91,Deloche,"(vendeur, (vendeur, 3.4945799458))",1.0,1.0,10.0,constant,exposition
