,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (commis, 5.77107983311))",0.248654596883,0.0,51.0,decreasing,exposition
1,Denise,"(vendeuse, (marchand, 4.75738711503))",0.0506190908635,1.0,51.0,decreasing,exposition
2,Denise,"(vendeuse, (drapier, 4.33869890429))",-0.00591423249792,2.0,51.0,decreasing,exposition
3,Denise,"(vendeuse, (bonne, 1.95629129736))",0.168578964481,3.0,51.0,decreasing,exposition
4,Denise,"(vendeuse, (patron, 1.75801703638))",0.0768989563458,4.0,51.0,decreasing,exposition
5,Mouret,"(patron, (drapier, 5.97426881224))",0.179492806687,0.0,36.0,decreasing,exposition
6,Mouret,"(patron, (nourrice, 5.80853607534))",0.0745575175182,1.0,36.0,decreasing,exposition
7,Mouret,"(patron, (fermier, 4.34536798191))",0.112333197761,2.0,36.0,decreasing,exposition
8,Mouret,"(patron, (commis, 3.87806801619))",0.271098559578,3.0,36.0,decreasing,exposition
9,Mouret,"(patron, (chef, 3.73114306626))",0.271560112679,4.0,36.0,decreasing,exposition
10,Mouret,"(chef, (drapier, 5.97426881224))",0.140883429816,0.0,36.0,decreasing,exposition
11,Mouret,"(chef, (nourrice, 5.80853607534))",0.0433454589693,1.0,36.0,decreasing,exposition
12,Mouret,"(chef, (fermier, 4.34536798191))",0.14466962893,2.0,36.0,decreasing,exposition
13,Mouret,"(chef, (commis, 3.87806801619))",0.374014584208,3.0,36.0,decreasing,exposition
14,Mouret,"(chef, (chef, 3.73114306626))",1.0,4.0,36.0,decreasing,exposition
15,Hutin,"(vendeur, (commis, 5.84121277837))",0.168599573876,0.0,12.0,decreasing,exposition
16,Hutin,"(vendeur, (chef, 5.70754229537))",0.118284252469,1.0,12.0,decreasing,exposition
17,Hutin,"(vendeur, (vendeur, 4.1989275244))",1.0,2.0,12.0,decreasing,exposition
18,Hutin,"(vendeur, (charretier, 1.30263532566))",0.0840142919347,3.0,12.0,decreasing,exposition
19,Hutin,"(vendeur, (patron, 1.26640396716))",0.145969343715,4.0,12.0,decreasing,exposition
20,Hutin,"(commis, (commis, 5.84121277837))",1.0,0.0,12.0,decreasing,exposition
21,Hutin,"(commis, (chef, 5.70754229537))",0.374014584208,1.0,12.0,decreasing,exposition
22,Hutin,"(commis, (vendeur, 4.1989275244))",0.168599573876,2.0,12.0,decreasing,exposition
23,Hutin,"(commis, (charretier, 1.30263532566))",0.318524393122,3.0,12.0,decreasing,exposition
24,Hutin,"(commis, (patron, 1.26640396716))",0.271098559578,4.0,12.0,decreasing,exposition
25,Bourdoncle,"(directeur, (fermier, 5.31125386305))",0.0464085888912,0.0,11.0,decreasing,exposition
26,Bourdoncle,"(directeur, (commis, 3.7372214737))",0.136715068341,1.0,11.0,decreasing,exposition
27,Bourdoncle,"(directeur, (chef, 3.32380069324))",0.439804839907,2.0,11.0,decreasing,exposition
28,Bourdoncle,"(directeur, (vendeur, 3.2668639334))",0.0648785419958,3.0,11.0,decreasing,exposition
29,Bourdoncle,"(directeur, (patron, 2.81633533578))",0.192068362617,4.0,11.0,decreasing,exposition
30,Bourdoncle,"(adjoint, (fermier, 5.31125386305))",0.0612988652268,0.0,11.0,decreasing,exposition
31,Bourdoncle,"(adjoint, (commis, 3.7372214737))",0.169886989642,1.0,11.0,decreasing,exposition
32,Bourdoncle,"(adjoint, (chef, 3.32380069324))",0.385557525195,2.0,11.0,decreasing,exposition
33,Bourdoncle,"(adjoint, (vendeur, 3.2668639334))",0.0499948292465,3.0,11.0,decreasing,exposition
34,Bourdoncle,"(adjoint, (patron, 2.81633533578))",0.108914664636,4.0,11.0,decreasing,exposition
35,MmeDesforges,"(maîtresse, (domestique, 5.48695652174))",0.0735767471624,0.0,10.0,decreasing,exposition
36,MmeDesforges,"(maîtresse, (employé, 4.70374425907))",0.0682703322602,1.0,10.0,decreasing,exposition
37,MmeDesforges,"(maîtresse, (conseiller, 3.36446024559))",0.067100107678,2.0,10.0,decreasing,exposition
38,MmeDesforges,"(maîtresse, (financier, 2.91228633255))",0.0620581762899,3.0,10.0,decreasing,exposition
39,MmeDesforges,"(maîtresse, (directeur, 2.45515474037))",0.0656618154022,4.0,10.0,decreasing,exposition
40,Baudu,"(vendeuse, (commis, 5.60551134328))",0.248654596883,0.0,10.0,decreasing,exposition
41,Baudu,"(vendeuse, (drapier, 5.30231133477))",-0.00591423249792,1.0,10.0,decreasing,exposition
42,Baudu,"(vendeuse, (capitaine, 0.574929506502))",0.057894509527,2.0,10.0,decreasing,exposition
43,Baudu,"(vendeuse, (commerçant, 0.0))",0.0972496147647,3.0,10.0,decreasing,exposition
44,MmeAurélie,"(vendeuse, (caissier, 5.45177235556))",0.310938570036,0.0,10.0,decreasing,exposition
45,MmeAurélie,"(vendeuse, (drapier, 4.15166748461))",-0.00591423249792,1.0,10.0,decreasing,exposition
46,MmeAurélie,"(vendeuse, (commis, 1.9877265014))",0.248654596883,2.0,10.0,decreasing,exposition
47,MmeAurélie,"(vendeuse, (vendeuse, 1.2672116511))",1.0,3.0,10.0,decreasing,exposition
48,MmeAurélie,"(vendeuse, (bonne, 1.04702524084))",0.168578964481,4.0,10.0,decreasing,exposition
49,Pauline,"(vendeuse, (cordonnier, 5.0))",0.0735230233486,0.0,10.0,decreasing,exposition
50,Pauline,"(vendeuse, (lingère, 4.37236214872))",0.204792011007,1.0,10.0,decreasing,exposition
51,Pauline,"(vendeuse, (bonne, 3.9467337671))",0.168578964481,2.0,10.0,decreasing,exposition
52,Pauline,"(vendeuse, (maîtresse, 0.0))",0.0473428721389,3.0,10.0,decreasing,exposition
53,Favier,"(vendeur, (commis, 5.82057313394))",0.168599573876,0.0,10.0,decreasing,exposition
54,Favier,"(vendeur, (vendeur, 4.74801922347))",1.0,1.0,10.0,decreasing,exposition
55,Favier,"(vendeur, (chef, 4.29779022903))",0.118284252469,2.0,10.0,decreasing,exposition
56,Favier,"(vendeur, (charretier, 2.13970323841))",0.0840142919347,3.0,10.0,decreasing,exposition
57,Favier,"(vendeur, (patron, 2.00330974586))",0.145969343715,4.0,10.0,decreasing,exposition
58,Robineau,"(vendeur, (commis, 5.5625360755))",0.168599573876,0.0,10.0,decreasing,exposition
59,Robineau,"(vendeur, (chef, 1.16596246451))",0.118284252469,1.0,10.0,decreasing,exposition
60,Robineau,"(vendeur, (vendeur, 0.859836288881))",1.0,2.0,10.0,decreasing,exposition
61,Robineau,"(vendeur, (drapier, 0.496833935144))",0.0753990393465,3.0,10.0,decreasing,exposition
62,Robineau,"(vendeur, (caissier, 0.397025300074))",0.303811418521,4.0,10.0,decreasing,exposition
63,Henriette,"(maîtresse, (bonne, 5.83269564131))",0.0176458631787,0.0,10.0,decreasing,exposition
64,Henriette,"(maîtresse, (chef, 2.79573958559))",0.13331121199,1.0,10.0,decreasing,exposition
65,Henriette,"(maîtresse, (maîtresse, 1.08965223246))",1.0,2.0,10.0,decreasing,exposition
66,Henriette,"(maîtresse, (financier, 1.01807604806))",0.0620581762899,3.0,10.0,decreasing,exposition
67,Henriette,"(maîtresse, (calicot, 0.783598127217))",0.0890574313729,4.0,10.0,decreasing,exposition
68,Geneviève,"(vendeuse, (capitaine, 5.90685207383))",0.057894509527,0.0,10.0,decreasing,exposition
69,Geneviève,"(vendeuse, (commerçant, 5.0))",0.0972496147647,1.0,10.0,decreasing,exposition
70,Geneviève,"(vendeuse, (vendeuse, 3.55962225872))",1.0,2.0,10.0,decreasing,exposition
71,Geneviève,"(vendeuse, (bonne, 3.31847011564))",0.168578964481,3.0,10.0,decreasing,exposition
