,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (bonne, 5.71835051546))",0.168578964481,0.0,511.0,constant,full
1,Denise,"(vendeuse, (commis, 4.68608247423))",0.248654596883,1.0,511.0,constant,full
2,Denise,"(vendeuse, (patron, 4.19965635739))",0.0768989563458,2.0,511.0,constant,full
3,Denise,"(vendeuse, (vendeuse, 4.06646452395))",1.0,3.0,511.0,constant,full
4,Denise,"(vendeuse, (vendeur, 2.22886597938))",0.417871919722,4.0,511.0,constant,full
5,Mouret,"(patron, (chef, 5.7730573711))",0.271560112679,0.0,369.0,constant,full
6,Mouret,"(patron, (commis, 4.58333333333))",0.271098559578,1.0,369.0,constant,full
7,Mouret,"(patron, (patron, 4.49598930481))",1.0,2.0,369.0,constant,full
8,Mouret,"(patron, (bonne, 3.90275569687))",0.0433745049986,3.0,369.0,constant,full
9,Mouret,"(patron, (vendeuse, 3.39651416122))",0.0768989563458,4.0,369.0,constant,full
10,Mouret,"(chef, (chef, 5.7730573711))",1.0,0.0,369.0,constant,full
11,Mouret,"(chef, (commis, 4.58333333333))",0.374014584208,1.0,369.0,constant,full
12,Mouret,"(chef, (patron, 4.49598930481))",0.271560112679,2.0,369.0,constant,full
13,Mouret,"(chef, (bonne, 3.90275569687))",0.0780031257098,3.0,369.0,constant,full
14,Mouret,"(chef, (vendeuse, 3.39651416122))",0.159291012887,4.0,369.0,constant,full
15,Hutin,"(vendeur, (commis, 5.85710093897))",0.168599573876,0.0,124.0,constant,full
16,Hutin,"(vendeur, (vendeur, 5.72073822244))",1.0,1.0,124.0,constant,full
17,Hutin,"(vendeur, (chef, 3.52246510739))",0.118284252469,2.0,124.0,constant,full
18,Hutin,"(vendeur, (maître, 3.17324928593))",0.0815098454606,3.0,124.0,constant,full
19,Hutin,"(vendeur, (patron, 2.88490049609))",0.145969343715,4.0,124.0,constant,full
20,Hutin,"(commis, (commis, 5.85710093897))",1.0,0.0,124.0,constant,full
21,Hutin,"(commis, (vendeur, 5.72073822244))",0.168599573876,1.0,124.0,constant,full
22,Hutin,"(commis, (chef, 3.52246510739))",0.374014584208,2.0,124.0,constant,full
23,Hutin,"(commis, (maître, 3.17324928593))",0.212304553159,3.0,124.0,constant,full
24,Hutin,"(commis, (patron, 2.88490049609))",0.271098559578,4.0,124.0,constant,full
25,Bourdoncle,"(directeur, (chef, 5.86335403727))",0.439804839907,0.0,117.0,constant,full
