,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (commis, 5.73066005116))",0.248654596883,0.0,511.0,decreasing,full
1,Denise,"(vendeuse, (bonne, 4.0835745996))",0.168578964481,1.0,511.0,decreasing,full
2,Denise,"(vendeuse, (drapier, 2.73779597832))",-0.00591423249792,2.0,511.0,decreasing,full
3,Denise,"(vendeuse, (vendeuse, 2.24999640755))",1.0,3.0,511.0,decreasing,full
4,Denise,"(vendeuse, (chef, 2.05978535769))",0.159291012887,4.0,511.0,decreasing,full
5,Mouret,"(patron, (chef, 5.77109780904))",0.271560112679,0.0,369.0,decreasing,full
6,Mouret,"(patron, (commis, 5.3177765101))",0.271098559578,1.0,369.0,decreasing,full
7,Mouret,"(patron, (maître, 3.04115537405))",0.116449546268,2.0,369.0,decreasing,full
8,Mouret,"(patron, (vendeur, 2.79957102821))",0.145969343715,3.0,369.0,decreasing,full
9,Mouret,"(patron, (fermier, 2.78315438798))",0.112333197761,4.0,369.0,decreasing,full
10,Mouret,"(chef, (chef, 5.77109780904))",1.0,0.0,369.0,decreasing,full
11,Mouret,"(chef, (commis, 5.3177765101))",0.374014584208,1.0,369.0,decreasing,full
12,Mouret,"(chef, (maître, 3.04115537405))",0.24575255013,2.0,369.0,decreasing,full
13,Mouret,"(chef, (vendeur, 2.79957102821))",0.118284252469,3.0,369.0,decreasing,full
14,Mouret,"(chef, (fermier, 2.78315438798))",0.14466962893,4.0,369.0,decreasing,full
15,Hutin,"(vendeur, (patron, 5.71596666258))",0.145969343715,0.0,124.0,decreasing,full
16,Hutin,"(vendeur, (bonne, 4.71632883128))",0.150728623853,1.0,124.0,decreasing,full
17,Hutin,"(vendeur, (maître, 3.06118562594))",0.0815098454606,2.0,124.0,decreasing,full
18,Hutin,"(vendeur, (passementière, 2.59275544419))",,3.0,124.0,decreasing,full
19,Hutin,"(vendeur, (commissaire, 2.4874922863))",0.0612444296126,4.0,124.0,decreasing,full
20,Hutin,"(commis, (patron, 5.71596666258))",0.271098559578,0.0,124.0,decreasing,full
21,Hutin,"(commis, (bonne, 4.71632883128))",0.0221724578692,1.0,124.0,decreasing,full
22,Hutin,"(commis, (maître, 3.06118562594))",0.212304553159,2.0,124.0,decreasing,full
23,Hutin,"(commis, (passementière, 2.59275544419))",,3.0,124.0,decreasing,full
24,Hutin,"(commis, (commissaire, 2.4874922863))",0.17889891316,4.0,124.0,decreasing,full
25,Bourdoncle,"(directeur, (patron, 5.70581796278))",0.192068362617,0.0,117.0,decreasing,full
26,Bourdoncle,"(directeur, (fermier, 5.0041583771))",0.0464085888912,1.0,117.0,decreasing,full
27,Bourdoncle,"(directeur, (chef, 4.94209772376))",0.439804839907,2.0,117.0,decreasing,full
28,Bourdoncle,"(directeur, (commis, 4.61786789472))",0.136715068341,3.0,117.0,decreasing,full
29,Bourdoncle,"(directeur, (vendeur, 4.3970536673))",0.0648785419958,4.0,117.0,decreasing,full
30,Bourdoncle,"(adjoint, (patron, 5.70581796278))",0.108914664636,0.0,117.0,decreasing,full
31,Bourdoncle,"(adjoint, (fermier, 5.0041583771))",0.0612988652268,1.0,117.0,decreasing,full
32,Bourdoncle,"(adjoint, (chef, 4.94209772376))",0.385557525195,2.0,117.0,decreasing,full
33,Bourdoncle,"(adjoint, (commis, 4.61786789472))",0.169886989642,3.0,117.0,decreasing,full
34,Bourdoncle,"(adjoint, (vendeur, 4.3970536673))",0.0499948292465,4.0,117.0,decreasing,full
35,MmeDesforges,"(maîtresse, (domestique, 5.24326683024))",0.0735767471624,0.0,102.0,decreasing,full
36,MmeDesforges,"(maîtresse, (patron, 4.71059245424))",0.123436267011,1.0,102.0,decreasing,full
37,MmeDesforges,"(maîtresse, (conseiller, 3.78799585202))",0.067100107678,2.0,102.0,decreasing,full
38,MmeDesforges,"(maîtresse, (bonne, 2.80148186815))",0.0176458631787,3.0,102.0,decreasing,full
39,MmeDesforges,"(maîtresse, (commis, 2.34787319797))",0.205807201099,4.0,102.0,decreasing,full
40,Baudu,"(vendeuse, (commis, 5.87569398461))",0.248654596883,0.0,94.0,decreasing,full
41,Baudu,"(vendeuse, (patron, 3.23830687184))",0.0768989563458,1.0,94.0,decreasing,full
42,Baudu,"(vendeuse, (bonne, 1.23528167333))",0.168578964481,2.0,94.0,decreasing,full
43,Baudu,"(vendeuse, (courtier, 0.665115497051))",0.0223315137059,3.0,94.0,decreasing,full
44,MmeAurélie,"(vendeuse, (caissier, 5.0))",0.310938570036,0.0,93.0,decreasing,full
45,MmeAurélie,"(vendeuse, (commis, 2.82280274443))",0.248654596883,1.0,93.0,decreasing,full
46,MmeAurélie,"(vendeuse, (drapier, 2.65479632194))",-0.00591423249792,2.0,93.0,decreasing,full
47,MmeAurélie,"(vendeuse, (vendeuse, 1.88907106213))",1.0,3.0,93.0,decreasing,full
48,MmeAurélie,"(vendeuse, (bonne, 1.50742982007))",0.168578964481,4.0,93.0,decreasing,full
49,Pauline,"(vendeuse, (bonne, 5.98617716655))",0.168578964481,0.0,88.0,decreasing,full
50,Pauline,"(vendeuse, (vendeuse, 3.66801614729))",1.0,1.0,88.0,decreasing,full
51,Pauline,"(vendeuse, (caissier, 2.86437529998))",0.310938570036,2.0,88.0,decreasing,full
52,Pauline,"(vendeuse, (commerçante, 2.8089058746))",,3.0,88.0,decreasing,full
53,Pauline,"(vendeuse, (patron, 1.60699937876))",0.0768989563458,4.0,88.0,decreasing,full
54,Favier,"(vendeur, (vendeur, 5.87640725076))",1.0,0.0,86.0,decreasing,full
55,Favier,"(vendeur, (commis, 5.21859706989))",0.168599573876,1.0,86.0,decreasing,full
56,Favier,"(vendeur, (patron, 4.10785416667))",0.145969343715,2.0,86.0,decreasing,full
57,Favier,"(vendeur, (servant, 1.68107906214))",0.0359585277956,3.0,86.0,decreasing,full
58,Favier,"(vendeur, (bonne, 1.55615165969))",0.150728623853,4.0,86.0,decreasing,full
59,Robineau,"(vendeur, (commis, 5.93843533246))",0.168599573876,0.0,85.0,decreasing,full
60,Robineau,"(vendeur, (chef, 3.65092034838))",0.118284252469,1.0,85.0,decreasing,full
61,Robineau,"(vendeur, (vendeur, 2.20089894462))",1.0,2.0,85.0,decreasing,full
62,Robineau,"(vendeur, (charretier, 1.68443960644))",0.0840142919347,3.0,85.0,decreasing,full
63,Robineau,"(vendeur, (patron, 1.47315567838))",0.145969343715,4.0,85.0,decreasing,full
64,Henriette,"(maîtresse, (bonne, 5.98689026442))",0.0176458631787,0.0,71.0,decreasing,full
65,Henriette,"(maîtresse, (chef, 3.59270347877))",0.13331121199,1.0,71.0,decreasing,full
66,Henriette,"(maîtresse, (maîtresse, 2.35072152044))",1.0,2.0,71.0,decreasing,full
67,Henriette,"(maîtresse, (vendeur, 1.91031496247))",0.0529055799204,3.0,71.0,decreasing,full
68,Henriette,"(maîtresse, (général, 1.483643508))",0.0334463631745,4.0,71.0,decreasing,full
69,Geneviève,"(vendeuse, (commis, 5.0))",0.248654596883,0.0,71.0,decreasing,full
70,Geneviève,"(vendeuse, (bonne, 1.74478304029))",0.168578964481,1.0,71.0,decreasing,full
71,Geneviève,"(vendeuse, (vendeur, 1.61087690639))",0.417871919722,2.0,71.0,decreasing,full
72,Clara,"(vendeuse, (commis, 5.97507179678))",0.248654596883,0.0,71.0,decreasing,full
73,Clara,"(vendeuse, (patron, 5.24181042878))",0.0768989563458,1.0,71.0,decreasing,full
74,Clara,"(vendeuse, (vendeuse, 4.05803570672))",1.0,2.0,71.0,decreasing,full
