,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (chef, 70.0))",0.159291012887,0.0,proximity,51.0,constant,exposition
1,Denise,"(vendeuse, (nourrice, 59.0))",0.215510390951,1.0,proximity,51.0,constant,exposition
2,Denise,"(vendeuse, (bonne, 50.3333333333))",0.168578964481,2.0,proximity,51.0,constant,exposition
3,Denise,"(vendeuse, (calicot, 34.0))",0.0523452095406,3.0,proximity,51.0,constant,exposition
4,Denise,"(vendeuse, (vétérinaire, 33.0))",0.0375119433994,4.0,proximity,51.0,constant,exposition
5,Mouret,"(patron, (poète, 64.0))",0.0429705912066,0.0,proximity,36.0,constant,exposition
6,Mouret,"(patron, (caissier, 64.0))",0.311932641498,1.0,proximity,36.0,constant,exposition
7,Mouret,"(patron, (patron, 48.25))",1.0,2.0,proximity,36.0,constant,exposition
8,Mouret,"(patron, (consultant, 46.0))",0.0963696528434,3.0,proximity,36.0,constant,exposition
9,Mouret,"(patron, (vendeur, 46.0))",0.145969343715,4.0,proximity,36.0,constant,exposition
10,Mouret,"(chef, (poète, 64.0))",0.0512937297815,0.0,proximity,36.0,constant,exposition
11,Mouret,"(chef, (caissier, 64.0))",0.192425041774,1.0,proximity,36.0,constant,exposition
12,Mouret,"(chef, (patron, 48.25))",0.271560112679,2.0,proximity,36.0,constant,exposition
13,Mouret,"(chef, (consultant, 46.0))",0.279113027467,3.0,proximity,36.0,constant,exposition
14,Mouret,"(chef, (vendeur, 46.0))",0.118284252469,4.0,proximity,36.0,constant,exposition
15,Hutin,"(vendeur, (charretier, 48.0))",0.0840142919347,0.0,proximity,12.0,constant,exposition
16,Hutin,"(vendeur, (vendeur, 21.6666666667))",1.0,1.0,proximity,12.0,constant,exposition
17,Hutin,"(vendeur, (chef, 8.1))",0.118284252469,2.0,proximity,12.0,constant,exposition
18,Hutin,"(vendeur, (commis, 4.84615384615))",0.168599573876,3.0,proximity,12.0,constant,exposition
19,Hutin,"(vendeur, (patron, 0.8))",0.145969343715,4.0,proximity,12.0,constant,exposition
20,Hutin,"(commis, (charretier, 48.0))",0.318524393122,0.0,proximity,12.0,constant,exposition
21,Hutin,"(commis, (vendeur, 21.6666666667))",0.168599573876,1.0,proximity,12.0,constant,exposition
22,Hutin,"(commis, (chef, 8.1))",0.374014584208,2.0,proximity,12.0,constant,exposition
23,Hutin,"(commis, (commis, 4.84615384615))",1.0,3.0,proximity,12.0,constant,exposition
24,Hutin,"(commis, (patron, 0.8))",0.271098559578,4.0,proximity,12.0,constant,exposition
25,Bourdoncle,"(directeur, (poète, 17.6666666667))",0.0249996814577,0.0,proximity,11.0,constant,exposition
26,Bourdoncle,"(directeur, (patron, 14.8571428571))",0.192068362617,1.0,proximity,11.0,constant,exposition
27,Bourdoncle,"(directeur, (fermier, 13.0))",0.0464085888912,2.0,proximity,11.0,constant,exposition
28,Bourdoncle,"(directeur, (vendeur, 12.8))",0.0648785419958,3.0,proximity,11.0,constant,exposition
29,Bourdoncle,"(directeur, (chef, 6.33333333333))",0.439804839907,4.0,proximity,11.0,constant,exposition
30,Bourdoncle,"(adjoint, (poète, 17.6666666667))",0.0405971796934,0.0,proximity,11.0,constant,exposition
31,Bourdoncle,"(adjoint, (patron, 14.8571428571))",0.108914664636,1.0,proximity,11.0,constant,exposition
32,Bourdoncle,"(adjoint, (fermier, 13.0))",0.0612988652268,2.0,proximity,11.0,constant,exposition
33,Bourdoncle,"(adjoint, (vendeur, 12.8))",0.0499948292465,3.0,proximity,11.0,constant,exposition
34,Bourdoncle,"(adjoint, (chef, 6.33333333333))",0.385557525195,4.0,proximity,11.0,constant,exposition
35,MmeDesforges,"(maîtresse, (banquier, 115.0))",0.0956763711377,0.0,proximity,10.0,constant,exposition
36,MmeDesforges,"(maîtresse, (financier, 57.0))",0.0620581762899,1.0,proximity,10.0,constant,exposition
37,MmeDesforges,"(maîtresse, (domestique, 53.3333333333))",0.0735767471624,2.0,proximity,10.0,constant,exposition
38,MmeDesforges,"(maîtresse, (maîtresse, 39.0))",1.0,3.0,proximity,10.0,constant,exposition
39,MmeDesforges,"(maîtresse, (ouvrière, 28.0))",0.0209623370781,4.0,proximity,10.0,constant,exposition
40,Baudu,"(vendeuse, (commerçant, 36.0))",0.0972496147647,0.0,proximity,10.0,constant,exposition
41,Baudu,"(vendeuse, (capitaine, 23.3333333333))",0.057894509527,1.0,proximity,10.0,constant,exposition
42,Baudu,"(vendeuse, (drapier, 14.8571428571))",-0.00591423249792,2.0,proximity,10.0,constant,exposition
43,Baudu,"(vendeuse, (commis, 5.94117647059))",0.248654596883,3.0,proximity,10.0,constant,exposition
44,MmeAurélie,"(vendeuse, (gendarme, 72.0))",-0.0162575501824,0.0,proximity,10.0,constant,exposition
45,MmeAurélie,"(vendeuse, (modèle, 55.0))",0.0377675161406,1.0,proximity,10.0,constant,exposition
46,MmeAurélie,"(vendeuse, (tailleur, 45.0))",0.0814014651166,2.0,proximity,10.0,constant,exposition
47,MmeAurélie,"(vendeuse, (caissier, 27.0))",0.310938570036,3.0,proximity,10.0,constant,exposition
48,MmeAurélie,"(vendeuse, (vendeuse, 13.3333333333))",1.0,4.0,proximity,10.0,constant,exposition
49,Pauline,"(vendeuse, (cordonnier, 66.0))",0.0735230233486,0.0,proximity,10.0,constant,exposition
