,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (chef, 70.0))",0.159291012887,0.0,proximity,51.0,decreasing,exposition
1,Denise,"(vendeuse, (nourrice, 59.0))",0.215510390951,1.0,proximity,51.0,decreasing,exposition
2,Denise,"(vendeuse, (bonne, 55.2165701676))",0.168578964481,2.0,proximity,51.0,decreasing,exposition
3,Denise,"(vendeuse, (calicot, 34.0))",0.0523452095406,3.0,proximity,51.0,decreasing,exposition
4,Denise,"(vendeuse, (vétérinaire, 33.0))",0.0375119433994,4.0,proximity,51.0,decreasing,exposition
5,Mouret,"(patron, (poète, 64.0))",0.0429705912066,0.0,proximity,36.0,decreasing,exposition
6,Mouret,"(patron, (patron, 61.320175769))",1.0,1.0,proximity,36.0,decreasing,exposition
7,Mouret,"(patron, (consultant, 46.0))",0.0963696528434,2.0,proximity,36.0,decreasing,exposition
8,Mouret,"(patron, (vendeur, 46.0))",0.145969343715,3.0,proximity,36.0,decreasing,exposition
9,Mouret,"(patron, (fermier, 44.0))",0.112333197761,4.0,proximity,36.0,decreasing,exposition
10,Mouret,"(chef, (poète, 64.0))",0.0512937297815,0.0,proximity,36.0,decreasing,exposition
11,Mouret,"(chef, (patron, 61.320175769))",0.271560112679,1.0,proximity,36.0,decreasing,exposition
12,Mouret,"(chef, (consultant, 46.0))",0.279113027467,2.0,proximity,36.0,decreasing,exposition
13,Mouret,"(chef, (vendeur, 46.0))",0.118284252469,3.0,proximity,36.0,decreasing,exposition
14,Mouret,"(chef, (fermier, 44.0))",0.14466962893,4.0,proximity,36.0,decreasing,exposition
15,Hutin,"(vendeur, (charretier, 48.0))",0.0840142919347,0.0,proximity,12.0,decreasing,exposition
16,Hutin,"(vendeur, (vendeur, 23.9249831971))",1.0,1.0,proximity,12.0,decreasing,exposition
17,Hutin,"(vendeur, (chef, 14.037969822))",0.118284252469,2.0,proximity,12.0,decreasing,exposition
18,Hutin,"(vendeur, (commis, 7.62178663836))",0.168599573876,3.0,proximity,12.0,decreasing,exposition
19,Hutin,"(vendeur, (patron, 0.234123124341))",0.145969343715,4.0,proximity,12.0,decreasing,exposition
20,Hutin,"(commis, (charretier, 48.0))",0.318524393122,0.0,proximity,12.0,decreasing,exposition
21,Hutin,"(commis, (vendeur, 23.9249831971))",0.168599573876,1.0,proximity,12.0,decreasing,exposition
22,Hutin,"(commis, (chef, 14.037969822))",0.374014584208,2.0,proximity,12.0,decreasing,exposition
23,Hutin,"(commis, (commis, 7.62178663836))",1.0,3.0,proximity,12.0,decreasing,exposition
24,Hutin,"(commis, (patron, 0.234123124341))",0.271098559578,4.0,proximity,12.0,decreasing,exposition
25,Bourdoncle,"(directeur, (patron, 22.1469268273))",0.192068362617,0.0,proximity,11.0,decreasing,exposition
26,Bourdoncle,"(directeur, (fermier, 15.2536102977))",0.0464085888912,1.0,proximity,11.0,decreasing,exposition
27,Bourdoncle,"(directeur, (vendeur, 12.1691029422))",0.0648785419958,2.0,proximity,11.0,decreasing,exposition
28,Bourdoncle,"(directeur, (chef, 10.9081286882))",0.439804839907,3.0,proximity,11.0,decreasing,exposition
29,Bourdoncle,"(directeur, (poète, 8.97916776922))",0.0249996814577,4.0,proximity,11.0,decreasing,exposition
30,Bourdoncle,"(adjoint, (patron, 22.1469268273))",0.108914664636,0.0,proximity,11.0,decreasing,exposition
31,Bourdoncle,"(adjoint, (fermier, 15.2536102977))",0.0612988652268,1.0,proximity,11.0,decreasing,exposition
32,Bourdoncle,"(adjoint, (vendeur, 12.1691029422))",0.0499948292465,2.0,proximity,11.0,decreasing,exposition
33,Bourdoncle,"(adjoint, (chef, 10.9081286882))",0.385557525195,3.0,proximity,11.0,decreasing,exposition
34,Bourdoncle,"(adjoint, (poète, 8.97916776922))",0.0405971796934,4.0,proximity,11.0,decreasing,exposition
35,MmeDesforges,"(maîtresse, (banquier, 115.0))",0.0956763711377,0.0,proximity,10.0,decreasing,exposition
36,MmeDesforges,"(maîtresse, (domestique, 59.0))",0.0735767471624,1.0,proximity,10.0,decreasing,exposition
37,MmeDesforges,"(maîtresse, (financier, 57.0))",0.0620581762899,2.0,proximity,10.0,decreasing,exposition
38,MmeDesforges,"(maîtresse, (ouvrière, 28.0))",0.0209623370781,3.0,proximity,10.0,decreasing,exposition
