,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (épicier, 97.0))",0.143722241749,0.0,proximity,511.0,constant,full
1,Denise,"(vendeuse, (parfumeur, 90.0))",0.16103001308,1.0,proximity,511.0,constant,full
2,Denise,"(vendeuse, (commerçante, 88.0))",,2.0,proximity,511.0,constant,full
3,Denise,"(vendeuse, (modiste, 86.0))",0.114269549627,3.0,proximity,511.0,constant,full
4,Denise,"(vendeuse, (cordonnier, 85.6666666667))",0.0735230233486,4.0,proximity,511.0,constant,full
5,Mouret,"(patron, (boucher, 102.0))",0.155730892786,0.0,proximity,369.0,constant,full
6,Mouret,"(patron, (gendarme, 95.3333333333))",0.196739586101,1.0,proximity,369.0,constant,full
7,Mouret,"(patron, (commissaire, 81.0))",0.0987562566437,2.0,proximity,369.0,constant,full
8,Mouret,"(patron, (gantier, 78.0))",0.106629735725,3.0,proximity,369.0,constant,full
9,Mouret,"(patron, (marin, 60.5))",0.188482054448,4.0,proximity,369.0,constant,full
10,Mouret,"(chef, (boucher, 102.0))",0.170666691419,0.0,proximity,369.0,constant,full
11,Mouret,"(chef, (gendarme, 95.3333333333))",0.185490242957,1.0,proximity,369.0,constant,full
12,Mouret,"(chef, (commissaire, 81.0))",0.195555537801,2.0,proximity,369.0,constant,full
13,Mouret,"(chef, (gantier, 78.0))",0.0849277578688,3.0,proximity,369.0,constant,full
14,Mouret,"(chef, (marin, 60.5))",0.125896419247,4.0,proximity,369.0,constant,full
15,Hutin,"(vendeur, (cartonnier, 71.0))",0.0533073073306,0.0,proximity,124.0,constant,full
16,Hutin,"(vendeur, (militaire, 60.0))",0.0737525647035,1.0,proximity,124.0,constant,full
17,Hutin,"(vendeur, (gantier, 29.0))",0.105724182624,2.0,proximity,124.0,constant,full
18,Hutin,"(vendeur, (barreuse, 25.0))",,3.0,proximity,124.0,constant,full
19,Hutin,"(vendeur, (servant, 24.0))",0.0359585277956,4.0,proximity,124.0,constant,full
20,Hutin,"(commis, (cartonnier, 71.0))",0.120359750778,0.0,proximity,124.0,constant,full
21,Hutin,"(commis, (militaire, 60.0))",0.199961808635,1.0,proximity,124.0,constant,full
22,Hutin,"(commis, (gantier, 29.0))",0.165150232831,2.0,proximity,124.0,constant,full
23,Hutin,"(commis, (barreuse, 25.0))",,3.0,proximity,124.0,constant,full
24,Hutin,"(commis, (servant, 24.0))",0.108463372601,4.0,proximity,124.0,constant,full
25,Bourdoncle,"(directeur, (acheteuse, 87.5))",,0.0,proximity,117.0,constant,full
26,Bourdoncle,"(directeur, (entrepreneur, 31.5))",0.106049056021,1.0,proximity,117.0,constant,full
27,Bourdoncle,"(directeur, (consultant, 30.3333333333))",0.254240025128,2.0,proximity,117.0,constant,full
28,Bourdoncle,"(directeur, (employé, 26.5))",0.182190497308,3.0,proximity,117.0,constant,full
29,Bourdoncle,"(directeur, (doublure, 26.0))",0.0643637178054,4.0,proximity,117.0,constant,full
30,Bourdoncle,"(adjoint, (acheteuse, 87.5))",,0.0,proximity,117.0,constant,full
31,Bourdoncle,"(adjoint, (entrepreneur, 31.5))",0.0494450358079,1.0,proximity,117.0,constant,full
32,Bourdoncle,"(adjoint, (consultant, 30.3333333333))",0.0994979822611,2.0,proximity,117.0,constant,full
33,Bourdoncle,"(adjoint, (employé, 26.5))",0.203010276115,3.0,proximity,117.0,constant,full
34,Bourdoncle,"(adjoint, (doublure, 26.0))",0.0931957009824,4.0,proximity,117.0,constant,full
35,MmeDesforges,"(maîtresse, (lutteur, 63.0))",0.137985101599,0.0,proximity,102.0,constant,full
36,MmeDesforges,"(maîtresse, (mannequin, 60.0))",0.20193193012,1.0,proximity,102.0,constant,full
37,MmeDesforges,"(maîtresse, (fonctionnaire, 55.0))",0.0619179834862,2.0,proximity,102.0,constant,full
38,MmeDesforges,"(maîtresse, (financier, 42.0))",0.0620581762899,3.0,proximity,102.0,constant,full
39,MmeDesforges,"(maîtresse, (banquier, 38.3333333333))",0.0956763711377,4.0,proximity,102.0,constant,full
40,Baudu,"(vendeuse, (vétérinaire, 80.0))",0.0375119433994,0.0,proximity,94.0,constant,full
41,Baudu,"(vendeuse, (bimbelotier, 62.0))",,1.0,proximity,94.0,constant,full
42,Baudu,"(vendeuse, (maçon, 51.0))",0.112096279364,2.0,proximity,94.0,constant,full
43,Baudu,"(vendeuse, (tailleur, 42.0))",0.0814014651166,3.0,proximity,94.0,constant,full
44,Baudu,"(vendeuse, (commerçant, 36.0))",0.0972496147647,4.0,proximity,94.0,constant,full
45,MmeAurélie,"(vendeuse, (employé, 26.3333333333))",0.204189503275,0.0,proximity,93.0,constant,full
46,MmeAurélie,"(vendeuse, (tailleur, 22.5))",0.0814014651166,1.0,proximity,93.0,constant,full
47,MmeAurélie,"(vendeuse, (modèle, 20.9))",0.0377675161406,2.0,proximity,93.0,constant,full
48,MmeAurélie,"(vendeuse, (charretier, 17.2))",0.0593035174946,3.0,proximity,93.0,constant,full
49,MmeAurélie,"(vendeuse, (caissier, 13.5263157895))",0.310938570036,4.0,proximity,93.0,constant,full
50,Pauline,"(vendeuse, (maire, 40.0))",0.0211916491593,0.0,proximity,88.0,constant,full
51,Pauline,"(vendeuse, (portière, 19.0))",0.0274090648521,1.0,proximity,88.0,constant,full
52,Pauline,"(vendeuse, (commerçante, 17.0))",,2.0,proximity,88.0,constant,full
53,Pauline,"(vendeuse, (cordonnier, 13.2))",0.0735230233486,3.0,proximity,88.0,constant,full
54,Pauline,"(vendeuse, (conseiller, 11.6))",0.168509605416,4.0,proximity,88.0,constant,full
55,Favier,"(vendeur, (gantier, 27.0))",0.105724182624,0.0,proximity,86.0,constant,full
56,Favier,"(vendeur, (couturière, 23.0))",0.13070603365,1.0,proximity,86.0,constant,full
57,Favier,"(vendeur, (passementière, 21.0))",,2.0,proximity,86.0,constant,full
58,Favier,"(vendeur, (commissaire, 20.0))",0.0612444296126,3.0,proximity,86.0,constant,full
59,Favier,"(vendeur, (compagnon, 16.0))",0.0419631476014,4.0,proximity,86.0,constant,full
60,Robineau,"(vendeur, (pharmacien, 17.5))",0.0813092887088,0.0,proximity,85.0,constant,full
61,Robineau,"(vendeur, (piqueur, 17.5))",0.0575696049713,1.0,proximity,85.0,constant,full
62,Robineau,"(vendeur, (cocher, 14.0))",0.0672383219008,2.0,proximity,85.0,constant,full
63,Robineau,"(vendeur, (acheteur, 7.0))",0.708200126633,3.0,proximity,85.0,constant,full
64,Robineau,"(vendeur, (marchande, 7.0))",0.187987808827,4.0,proximity,85.0,constant,full
65,Henriette,"(maîtresse, (calicot, 13.75))",0.0890574313729,0.0,proximity,71.0,constant,full
66,Henriette,"(maîtresse, (directeur, 11.8260869565))",0.0656618154022,1.0,proximity,71.0,constant,full
67,Henriette,"(maîtresse, (financier, 6.5))",0.0620581762899,2.0,proximity,71.0,constant,full
68,Henriette,"(maîtresse, (ouvrière, 5.55555555556))",0.0209623370781,3.0,proximity,71.0,constant,full
69,Henriette,"(maîtresse, (domestique, 4.3))",0.0735767471624,4.0,proximity,71.0,constant,full
70,Geneviève,"(vendeuse, (commerçant, 22.0))",0.0972496147647,0.0,proximity,71.0,constant,full
71,Geneviève,"(vendeuse, (bimbelotier, 14.0))",,1.0,proximity,71.0,constant,full
72,Geneviève,"(vendeuse, (vétérinaire, 12.3333333333))",0.0375119433994,2.0,proximity,71.0,constant,full
73,Geneviève,"(vendeuse, (gantier, 9.4))",0.0671518669909,3.0,proximity,71.0,constant,full
74,Geneviève,"(vendeuse, (drapier, 8.45))",-0.00591423249792,4.0,proximity,71.0,constant,full
75,Clara,"(vendeuse, (institutrice, 21.2))",0.130451208608,0.0,proximity,71.0,constant,full
76,Clara,"(vendeuse, (commise, 16.6666666667))",,1.0,proximity,71.0,constant,full
77,Clara,"(vendeuse, (aventurier, 9.5))",0.0445622057449,2.0,proximity,71.0,constant,full
78,Clara,"(vendeuse, (gantier, 7.0))",0.0671518669909,3.0,proximity,71.0,constant,full
79,Clara,"(vendeuse, (lingère, 6.95454545455))",0.204792011007,4.0,proximity,71.0,constant,full
80,Jean,"(ivoirier, (ivoirier, 91.0))",,0.0,proximity,69.0,constant,full
81,Jean,"(ivoirier, (couturière, 60.3333333333))",,1.0,proximity,69.0,constant,full
82,Jean,"(ivoirier, (blanchisseuse, 56.0))",,2.0,proximity,69.0,constant,full
83,Jean,"(ivoirier, (vaguemestre, 39.0))",,3.0,proximity,69.0,constant,full
84,Jean,"(ivoirier, (surveillant, 29.0))",,4.0,proximity,69.0,constant,full
85,Jean,"(ébéniste, (ivoirier, 91.0))",,0.0,proximity,69.0,constant,full
86,Jean,"(ébéniste, (couturière, 60.3333333333))",0.308209680091,1.0,proximity,69.0,constant,full
87,Jean,"(ébéniste, (blanchisseuse, 56.0))",,2.0,proximity,69.0,constant,full
88,Jean,"(ébéniste, (vaguemestre, 39.0))",0.0464236865252,3.0,proximity,69.0,constant,full
89,Jean,"(ébéniste, (surveillant, 29.0))",0.105793543618,4.0,proximity,69.0,constant,full
90,Deloche,"(commis, (manoeuvre, 14.125))",0.128300065456,0.0,proximity,67.0,constant,full
91,Deloche,"(commis, (militaire, 13.6666666667))",0.199961808635,1.0,proximity,67.0,constant,full
92,Deloche,"(commis, (ouvrière, 6.53846153846))",0.045489667326,2.0,proximity,67.0,constant,full
93,Deloche,"(commis, (lingère, 3.66666666667))",0.384668701085,3.0,proximity,67.0,constant,full
94,Deloche,"(commis, (maîtresse, 2.42307692308))",0.205807201099,4.0,proximity,67.0,constant,full
