,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Denise,"(vendeuse, (épicier, 97.0))",0.143722241749,0.0,proximity,511.0,decreasing,full
1,Denise,"(vendeuse, (cordonnier, 90.6392029039))",0.0735230233486,1.0,proximity,511.0,decreasing,full
2,Denise,"(vendeuse, (parfumeur, 90.0))",0.16103001308,2.0,proximity,511.0,decreasing,full
3,Denise,"(vendeuse, (commerçante, 88.1584543499))",,3.0,proximity,511.0,decreasing,full
4,Denise,"(vendeuse, (modiste, 86.0))",0.114269549627,4.0,proximity,511.0,decreasing,full
5,Mouret,"(patron, (gendarme, 107.546046163))",0.196739586101,0.0,proximity,369.0,decreasing,full
6,Mouret,"(patron, (boucher, 102.0))",0.155730892786,1.0,proximity,369.0,decreasing,full
7,Mouret,"(patron, (commissaire, 81.0))",0.0987562566437,2.0,proximity,369.0,decreasing,full
8,Mouret,"(patron, (gantier, 78.0))",0.106629735725,3.0,proximity,369.0,decreasing,full
9,Mouret,"(patron, (avocat, 63.7984382411))",0.150782110608,4.0,proximity,369.0,decreasing,full
10,Mouret,"(chef, (gendarme, 107.546046163))",0.185490242957,0.0,proximity,369.0,decreasing,full
11,Mouret,"(chef, (boucher, 102.0))",0.170666691419,1.0,proximity,369.0,decreasing,full
12,Mouret,"(chef, (commissaire, 81.0))",0.195555537801,2.0,proximity,369.0,decreasing,full
13,Mouret,"(chef, (gantier, 78.0))",0.0849277578688,3.0,proximity,369.0,decreasing,full
14,Mouret,"(chef, (avocat, 63.7984382411))",0.208777110765,4.0,proximity,369.0,decreasing,full
15,Hutin,"(vendeur, (cartonnier, 71.0))",0.0533073073306,0.0,proximity,124.0,decreasing,full
16,Hutin,"(vendeur, (militaire, 60.0))",0.0737525647035,1.0,proximity,124.0,decreasing,full
17,Hutin,"(vendeur, (gantier, 36.0747522104))",0.105724182624,2.0,proximity,124.0,decreasing,full
18,Hutin,"(vendeur, (vendeur, 26.321453134))",1.0,3.0,proximity,124.0,decreasing,full
19,Hutin,"(vendeur, (barreuse, 25.0))",,4.0,proximity,124.0,decreasing,full
20,Hutin,"(commis, (cartonnier, 71.0))",0.120359750778,0.0,proximity,124.0,decreasing,full
21,Hutin,"(commis, (militaire, 60.0))",0.199961808635,1.0,proximity,124.0,decreasing,full
22,Hutin,"(commis, (gantier, 36.0747522104))",0.165150232831,2.0,proximity,124.0,decreasing,full
23,Hutin,"(commis, (vendeur, 26.321453134))",0.168599573876,3.0,proximity,124.0,decreasing,full
24,Hutin,"(commis, (barreuse, 25.0))",,4.0,proximity,124.0,decreasing,full
25,Bourdoncle,"(directeur, (acheteuse, 95.5984475349))",,0.0,proximity,117.0,decreasing,full
26,Bourdoncle,"(directeur, (consultant, 35.8560530818))",0.254240025128,1.0,proximity,117.0,decreasing,full
27,Bourdoncle,"(directeur, (entrepreneur, 30.7831711444))",0.106049056021,2.0,proximity,117.0,decreasing,full
28,Bourdoncle,"(directeur, (maîtresse, 26.2842230122))",0.0656618154022,3.0,proximity,117.0,decreasing,full
29,Bourdoncle,"(directeur, (employé, 25.3575991544))",0.182190497308,4.0,proximity,117.0,decreasing,full
30,Bourdoncle,"(adjoint, (acheteuse, 95.5984475349))",,0.0,proximity,117.0,decreasing,full
31,Bourdoncle,"(adjoint, (consultant, 35.8560530818))",0.0994979822611,1.0,proximity,117.0,decreasing,full
32,Bourdoncle,"(adjoint, (entrepreneur, 30.7831711444))",0.0494450358079,2.0,proximity,117.0,decreasing,full
33,Bourdoncle,"(adjoint, (maîtresse, 26.2842230122))",0.045665241024,3.0,proximity,117.0,decreasing,full
34,Bourdoncle,"(adjoint, (employé, 25.3575991544))",0.203010276115,4.0,proximity,117.0,decreasing,full
35,MmeDesforges,"(maîtresse, (lutteur, 63.0))",0.137985101599,0.0,proximity,102.0,decreasing,full
36,MmeDesforges,"(maîtresse, (mannequin, 60.0))",0.20193193012,1.0,proximity,102.0,decreasing,full
37,MmeDesforges,"(maîtresse, (financier, 56.1284752329))",0.0620581762899,2.0,proximity,102.0,decreasing,full
38,MmeDesforges,"(maîtresse, (fonctionnaire, 55.0))",0.0619179834862,3.0,proximity,102.0,decreasing,full
39,MmeDesforges,"(maîtresse, (banquier, 52.0741734138))",0.0956763711377,4.0,proximity,102.0,decreasing,full
40,Baudu,"(vendeuse, (bimbelotier, 62.0))",,0.0,proximity,94.0,decreasing,full
41,Baudu,"(vendeuse, (vétérinaire, 59.1689945988))",0.0375119433994,1.0,proximity,94.0,decreasing,full
42,Baudu,"(vendeuse, (maçon, 51.0))",0.112096279364,2.0,proximity,94.0,decreasing,full
43,Baudu,"(vendeuse, (tailleur, 42.0))",0.0814014651166,3.0,proximity,94.0,decreasing,full
44,Baudu,"(vendeuse, (commerçant, 36.0))",0.0972496147647,4.0,proximity,94.0,decreasing,full
45,MmeAurélie,"(vendeuse, (tailleur, 37.2900702688))",0.0814014651166,0.0,proximity,93.0,decreasing,full
46,MmeAurélie,"(vendeuse, (modèle, 26.2145112961))",0.0377675161406,1.0,proximity,93.0,decreasing,full
47,MmeAurélie,"(vendeuse, (caissier, 20.3525976218))",0.310938570036,2.0,proximity,93.0,decreasing,full
48,MmeAurélie,"(vendeuse, (gendarme, 19.1789443032))",-0.0162575501824,3.0,proximity,93.0,decreasing,full
49,MmeAurélie,"(vendeuse, (employé, 13.5494952023))",0.204189503275,4.0,proximity,93.0,decreasing,full
50,Pauline,"(vendeuse, (cordonnier, 37.9793998445))",0.0735230233486,0.0,proximity,88.0,decreasing,full
51,Pauline,"(vendeuse, (portière, 19.0330033496))",0.0274090648521,1.0,proximity,88.0,decreasing,full
52,Pauline,"(vendeuse, (commerçante, 18.3690659534))",,2.0,proximity,88.0,decreasing,full
53,Pauline,"(vendeuse, (maire, 11.6605335037))",0.0211916491593,3.0,proximity,88.0,decreasing,full
54,Pauline,"(vendeuse, (ouvrière, 8.51249109589))",0.0441279544822,4.0,proximity,88.0,decreasing,full
55,Favier,"(vendeur, (gantier, 35.1916629869))",0.105724182624,0.0,proximity,86.0,decreasing,full
56,Favier,"(vendeur, (commissaire, 26.0213871133))",0.0612444296126,1.0,proximity,86.0,decreasing,full
57,Favier,"(vendeur, (couturière, 23.0))",0.13070603365,2.0,proximity,86.0,decreasing,full
58,Favier,"(vendeur, (passementière, 18.8631530321))",,3.0,proximity,86.0,decreasing,full
59,Favier,"(vendeur, (compagnon, 16.0))",0.0419631476014,4.0,proximity,86.0,decreasing,full
60,Robineau,"(vendeur, (cocher, 14.0))",0.0672383219008,0.0,proximity,85.0,decreasing,full
61,Robineau,"(vendeur, (piqueur, 13.565121547))",0.0575696049713,1.0,proximity,85.0,decreasing,full
62,Robineau,"(vendeur, (garde, 12.6889691465))",0.101088556961,2.0,proximity,85.0,decreasing,full
63,Robineau,"(vendeur, (marchande, 5.57565379301))",0.187987808827,3.0,proximity,85.0,decreasing,full
64,Robineau,"(vendeur, (drapier, 4.72736042754))",0.0753990393465,4.0,proximity,85.0,decreasing,full
65,Henriette,"(maîtresse, (calicot, 18.3566010683))",0.0890574313729,0.0,proximity,71.0,decreasing,full
66,Henriette,"(maîtresse, (directeur, 15.0387006348))",0.0656618154022,1.0,proximity,71.0,decreasing,full
67,Henriette,"(maîtresse, (financier, 7.26364695466))",0.0620581762899,2.0,proximity,71.0,decreasing,full
68,Henriette,"(maîtresse, (ouvrière, 4.5642977018))",0.0209623370781,3.0,proximity,71.0,decreasing,full
69,Henriette,"(maîtresse, (garde, 4.31957274865))",0.165997765469,4.0,proximity,71.0,decreasing,full
70,Geneviève,"(vendeuse, (commerçant, 23.8544748087))",0.0972496147647,0.0,proximity,71.0,decreasing,full
71,Geneviève,"(vendeuse, (courtier, 12.1875840354))",0.0223315137059,1.0,proximity,71.0,decreasing,full
72,Geneviève,"(vendeuse, (vétérinaire, 10.0179529951))",0.0375119433994,2.0,proximity,71.0,decreasing,full
73,Geneviève,"(vendeuse, (bimbelotier, 6.72509726699))",,3.0,proximity,71.0,decreasing,full
74,Geneviève,"(vendeuse, (drapier, 3.820849234))",-0.00591423249792,4.0,proximity,71.0,decreasing,full
75,Clara,"(vendeuse, (institutrice, 17.2757334075))",0.130451208608,0.0,proximity,71.0,decreasing,full
76,Clara,"(vendeuse, (commise, 15.9485222489))",,1.0,proximity,71.0,decreasing,full
77,Clara,"(vendeuse, (ouvrière, 9.64216690529))",0.0441279544822,2.0,proximity,71.0,decreasing,full
78,Clara,"(vendeuse, (lingère, 7.78392582899))",0.204792011007,3.0,proximity,71.0,decreasing,full
79,Clara,"(vendeuse, (vendeuse, 5.1479879008))",1.0,4.0,proximity,71.0,decreasing,full
80,Jean,"(ivoirier, (ivoirier, 91.0))",,0.0,proximity,69.0,decreasing,full
81,Jean,"(ivoirier, (blanchisseuse, 56.0))",,1.0,proximity,69.0,decreasing,full
82,Jean,"(ivoirier, (vaguemestre, 39.0))",,2.0,proximity,69.0,decreasing,full
83,Jean,"(ivoirier, (surveillant, 29.0))",,3.0,proximity,69.0,decreasing,full
