,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Denise,neutral,3.0,23.7695833333,3.0,27.2304166667,45.0,40.375
1,Mouret,pos,8.0,15.8560416667,2.0,20.1439583333,26.0,27.0916666667
2,Hutin,neutral,0.0,5.068,0.0,6.932,12.0,9.66916666667
3,Bourdoncle,neutral,0.0,5.25,0.0,5.75,11.0,9.2875
4,MmeDesforges,pos,2.0,4.8075,0.0,5.1925,8.0,7.875
5,Baudu,neutral,0.0,4.85555555556,0.0,5.14444444444,10.0,9.53333333333
6,MmeAurélie,neutral,1.0,4.7175,1.0,5.2825,8.0,8.05
7,Pauline,pos,3.0,4.02416666667,0.0,5.97583333333,7.0,7.20416666667
8,Favier,neutral,0.0,4.68,0.0,5.32,10.0,8.7
9,Robineau,pos,2.0,4.29202380952,0.0,5.70797619048,8.0,6.44523809524
10,Boves,pos,2.0,4.40833333333,0.0,5.59166666667,8.0,8.53333333333
11,MmeMarty,neutral,1.0,4.42333333333,1.0,5.57666666667,8.0,7.14166666667
12,Henriette,pos,1.0,4.103,0.0,5.897,9.0,7.91
13,Geneviève,neg,0.0,5.19666666667,1.0,4.80333333333,9.0,8.53333333333
14,Clara,pos,1.0,4.50166666667,0.0,5.49833333333,9.0,8.5625
15,Jean,neutral,1.0,5.12541666667,1.0,4.87458333333,8.0,6.47833333333
16,Deloche,pos,2.0,4.66941666667,0.0,5.33058333333,8.0,8.47
17,Vallagnosc,neutral,0.0,4.83375,0.0,5.16625,10.0,8.7375
18,Bourras,neutral,0.0,4.78166666667,0.0,5.21833333333,10.0,8.35
19,Pépé,neg,0.0,5.4225,1.0,4.5775,9.0,7.7875
20,Bouthemont,pos,3.0,3.85375,0.0,6.14625,7.0,6.6125
21,Jouve,neg,0.0,5.39125,1.0,4.60875,9.0,9.0
22,Colomban,neutral,2.0,5.10083333333,2.0,4.89916666667,6.0,7.00833333333
23,Marguerite,pos,1.0,4.415,0.0,5.585,9.0,8.23125
24,Mignot,neutral,0.0,4.9465,0.0,5.0535,10.0,9.595
25,MmeBaudu,neutral,1.0,4.96583333333,1.0,5.03416666667,8.0,7.51666666667
26,MmeGuibal,pos,1.0,4.6275,0.0,5.3725,9.0,9.1
27,MmeBourdelais,neutral,1.0,5.01533333333,1.0,4.98466666667,8.0,7.81666666667
28,Baugé,pos,2.0,4.82875,0.0,5.17125,8.0,8.2125
29,Liénard,pos,2.0,4.5055,0.0,5.4945,8.0,7.455
30,Paris-Bonheur,neutral,0.0,4.50083333333,0.0,5.49916666667,10.0,7.97083333333
31,Hartmann,neutral,0.0,4.7135,0.0,5.2865,10.0,9.12
32,Gaujean,neutral,0.0,4.56395833333,0.0,5.43604166667,10.0,7.40208333333
33,Blanche,pos,1.0,4.31166666667,0.0,5.68833333333,9.0,8.10833333333
34,Albert,neg,1.0,5.0925,2.0,4.9075,7.0,6.65
35,Joseph,pos,1.0,4.966,0.0,5.034,9.0,8.3575
36,Vinçard,pos,2.0,4.04583333333,0.0,5.95416666667,8.0,7.88333333333
37,Valentine,pos,1.0,4.97541666667,0.0,5.02458333333,9.0,7.62916666667
