,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Denise,neg,0.0,17.63525,1.0,19.36475,36.0,33.0383333333
1,Mouret,neg,1.0,12.5295833333,2.0,13.4704166667,23.0,22.7916666667
2,Hutin,neutral,0.0,4.478,0.0,5.522,10.0,8.38866666667
3,Bourdoncle,pos,1.0,4.43041666667,0.0,5.56958333333,9.0,7.20833333333
4,MmeDesforges,pos,3.0,4.04,0.0,5.96,7.0,6.625
5,Baudu,pos,1.0,4.6,0.0,5.4,9.0,8.225
6,MmeAurélie,pos,1.0,5.00208333333,0.0,4.99791666667,9.0,8.00833333333
7,Pauline,pos,1.0,4.39625,0.0,5.60375,9.0,8.0875
8,Favier,pos,1.0,4.5775,0.0,5.4225,9.0,8.875
9,Robineau,neg,0.0,5.07,1.0,4.93,9.0,7.975
10,Boves,neg,0.0,5.0625,1.0,4.9375,9.0,9.5
11,MmeMarty,pos,1.0,4.89916666667,0.0,5.10083333333,9.0,8.03333333333
12,Henriette,pos,1.0,4.645,0.0,5.355,9.0,7.9
13,Geneviève,neg,0.0,5.425,1.0,4.575,9.0,7.825
14,Clara,neutral,0.0,5.4,0.0,4.6,10.0,7.95
15,Jean,neutral,0.0,5.37333333333,0.0,4.62666666667,10.0,8.71666666667
16,Deloche,neutral,0.0,4.975,0.0,5.025,10.0,8.59166666667
17,Vallagnosc,neutral,0.0,4.8,0.0,5.2,10.0,9.075
18,Bourras,neutral,0.0,4.988,0.0,5.012,10.0,9.00166666667
19,Pépé,neg,0.0,5.0825,1.0,4.9175,9.0,7.26666666667
20,Bouthemont,neutral,0.0,4.2975,0.0,5.7025,10.0,8.36666666667
21,Jouve,neutral,0.0,4.46822222222,0.0,5.53177777778,10.0,8.01388888889
22,Colomban,pos,2.0,4.8925,1.0,5.1075,7.0,7.64166666667
23,Marguerite,pos,2.0,3.845,0.0,6.155,8.0,7.15
24,Mignot,pos,1.0,4.4875,0.0,5.5125,9.0,8.75
25,MmeBaudu,pos,1.0,4.915,0.0,5.085,9.0,8.9625
26,MmeGuibal,pos,1.0,4.544,0.0,5.456,9.0,8.52
27,MmeBourdelais,pos,2.0,4.205,0.0,5.795,8.0,8.15
28,Baugé,pos,1.0,4.7325,0.0,5.2675,9.0,7.9
29,Liénard,neg,0.0,5.03916666667,2.0,4.96083333333,8.0,7.875
30,Paris-Bonheur,pos,2.0,4.18333333333,0.0,5.81666666667,8.0,7.58
31,Hartmann,neutral,0.0,4.88916666667,0.0,5.11083333333,10.0,9.4
32,Gaujean,neutral,0.0,4.74645833333,0.0,5.25354166667,10.0,8.20208333333
33,Blanche,neutral,0.0,4.72466666667,0.0,5.27533333333,10.0,8.69083333333
34,Albert,neg,1.0,5.09541666667,2.0,4.90458333333,7.0,6.94583333333
35,Joseph,pos,1.0,4.986,0.0,5.014,9.0,8.39916666667
36,Vinçard,pos,2.0,4.55,0.0,5.45,8.0,7.85
37,Valentine,pos,1.0,4.21416666667,0.0,4.78583333333,8.0,7.25
