,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Denise,pos,3.0,17.3545833333,1.0,20.6454166667,34.0,31.9875
1,Mouret,pos,2.0,12.4868333333,1.0,14.5131666667,24.0,22.6841666667
2,Hutin,neg,0.0,5.235,1.0,4.765,9.0,8.66666666667
3,Bourdoncle,pos,2.0,4.09,0.0,5.91,8.0,7.55833333333
4,MmeDesforges,neutral,1.0,4.86833333333,1.0,5.13166666667,8.0,7.0
5,Baudu,pos,2.0,4.6575,0.0,5.3425,8.0,8.1
6,MmeAurélie,pos,1.0,4.1775,0.0,5.8225,9.0,7.925
7,Pauline,neutral,1.0,4.795,1.0,5.205,8.0,7.6
8,Favier,pos,1.0,4.7875,0.0,5.2125,9.0,8.25
9,Robineau,pos,1.0,5.24166666667,0.0,4.75833333333,9.0,8.85
10,Boves,neutral,0.0,4.73214285714,0.0,5.26785714286,10.0,9.26428571429
11,MmeMarty,neg,0.0,4.985,1.0,5.015,9.0,7.76
12,Henriette,neutral,1.0,4.8525,1.0,5.1475,8.0,7.58
13,Geneviève,neg,0.0,6.065,3.0,3.935,7.0,6.175
14,Clara,neg,0.0,5.5825,2.0,4.4175,8.0,7.5625
15,Jean,pos,1.0,4.44083333333,0.0,5.55916666667,9.0,8.45
16,Deloche,pos,1.0,4.41208333333,0.0,5.58791666667,9.0,7.74083333333
17,Vallagnosc,neutral,0.0,4.7,0.0,5.3,10.0,9.425
18,Bourras,neutral,0.0,4.31666666667,0.0,5.68333333333,10.0,8.7
19,Pépé,neg,0.0,5.34583333333,3.0,4.65416666667,7.0,8.13333333333
20,Bouthemont,neutral,1.0,4.59333333333,1.0,5.40666666667,8.0,7.90833333333
21,Jouve,neutral,1.0,5.2575,1.0,4.7425,8.0,8.1
22,Colomban,neg,0.0,4.7875,1.0,5.2125,9.0,8.775
23,Marguerite,neutral,0.0,4.87666666667,0.0,5.12333333333,10.0,9.35666666667
24,Mignot,pos,1.0,4.79583333333,0.0,5.20416666667,9.0,8.525
25,MmeBaudu,neg,0.0,5.14833333333,1.0,4.85166666667,9.0,8.27916666667
26,MmeGuibal,neutral,0.0,4.627,0.0,5.373,10.0,8.55
27,MmeBourdelais,neg,0.0,4.92166666667,1.0,5.07833333333,9.0,8.35
