,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (docteur, 4))",0.245771869285,0.0,count,33.0,constant,exposition
1,Candide,"(maître, (conservateur, 2))",0.107226797772,1.0,count,33.0,constant,exposition
2,Candide,"(maître, (bonne, 2))",0.0905642901122,2.0,count,33.0,constant,exposition
3,Candide,"(maître, (maître, 2))",1.0,3.0,count,33.0,constant,exposition
4,Candide,"(maître, (chirurgien, 2))",0.14514804672,4.0,count,33.0,constant,exposition
5,Cunégonde,"(maîtresse, (docteur, 4))",0.110988330505,0.0,count,11.0,constant,exposition
6,Cunégonde,"(maîtresse, (maître, 4))",0.298612340847,1.0,count,11.0,constant,exposition
7,Cunégonde,"(maîtresse, (bonne, 2))",0.0176458631787,2.0,count,11.0,constant,exposition
8,Cunégonde,"(maîtresse, (précepteur, 1))",0.34423336685,3.0,count,11.0,constant,exposition
9,Martin,"(compagnon, (patron, 5))",0.202968968961,0.0,count,10.0,constant,exposition
10,Martin,"(compagnon, (capitaine, 1))",0.252946427442,1.0,count,10.0,constant,exposition
11,Pangloss,"(précepteur, (maître, 3))",0.192645937737,0.0,count,10.0,constant,exposition
12,Pangloss,"(précepteur, (précepteur, 2))",1.0,1.0,count,10.0,constant,exposition
13,Pangloss,"(précepteur, (bonne, 2))",0.00815197473139,2.0,count,10.0,constant,exposition
14,Pangloss,"(précepteur, (docteur, 2))",0.0942151652341,3.0,count,10.0,constant,exposition
15,Pangloss,"(précepteur, (novice, 1))",0.201346478745,4.0,count,10.0,constant,exposition
16,Pangloss,"(maître, (maître, 3))",1.0,0.0,count,10.0,constant,exposition
17,Pangloss,"(maître, (précepteur, 2))",0.192645937737,1.0,count,10.0,constant,exposition
18,Pangloss,"(maître, (bonne, 2))",0.0905642901122,2.0,count,10.0,constant,exposition
19,Pangloss,"(maître, (docteur, 2))",0.245771869285,3.0,count,10.0,constant,exposition
20,Pangloss,"(maître, (novice, 1))",0.187034789399,4.0,count,10.0,constant,exposition
21,Pangloss,"(professeur, (maître, 3))",0.346125715885,0.0,count,10.0,constant,exposition
22,Pangloss,"(professeur, (précepteur, 2))",0.206032785291,1.0,count,10.0,constant,exposition
23,Pangloss,"(professeur, (bonne, 2))",-0.00156222372864,2.0,count,10.0,constant,exposition
24,Pangloss,"(professeur, (docteur, 2))",0.43498816425,3.0,count,10.0,constant,exposition
25,Pangloss,"(professeur, (novice, 1))",0.113700250802,4.0,count,10.0,constant,exposition
26,Pangloss,"(docteur, (maître, 3))",0.245771869285,0.0,count,10.0,constant,exposition
27,Pangloss,"(docteur, (précepteur, 2))",0.0942151652341,1.0,count,10.0,constant,exposition
28,Pangloss,"(docteur, (bonne, 2))",0.0513683135232,2.0,count,10.0,constant,exposition
29,Pangloss,"(docteur, (docteur, 2))",1.0,3.0,count,10.0,constant,exposition
30,Pangloss,"(docteur, (novice, 1))",0.0267660608791,4.0,count,10.0,constant,exposition
31,Cacambo,"(valet, (capitaine, 4))",0.205974543356,0.0,count,10.0,constant,exposition
32,Cacambo,"(valet, (sacristain, 2))",0.118785007175,1.0,count,10.0,constant,exposition
33,Cacambo,"(valet, (facteur, 2))",0.0715200524111,2.0,count,10.0,constant,exposition
34,Cacambo,"(valet, (garde, 2))",0.139725303979,3.0,count,10.0,constant,exposition
35,Cacambo,"(valet, (valet, 2))",1.0,4.0,count,10.0,constant,exposition
36,Issachar,"(inquisiteur, (inquisiteur, 5))",1.0,0.0,count,9.0,constant,exposition
37,Issachar,"(inquisiteur, (banquier, 2))",0.06708460855,1.0,count,9.0,constant,exposition
38,Issachar,"(inquisiteur, (docteur, 2))",0.0751051295798,2.0,count,9.0,constant,exposition
39,Issachar,"(inquisiteur, (servante, 1))",0.183352674767,3.0,count,9.0,constant,exposition
40,Issachar,"(inquisiteur, (professeur, 1))",0.0804463892169,4.0,count,9.0,constant,exposition
41,Giroflée,"(moine, (moine, 2))",1.0,0.0,count,7.0,constant,exposition
42,Giroflée,"(moine, (menuisier, 1))",0.112739151071,1.0,count,7.0,constant,exposition
43,Giroflée,"(moine, (marchand, 1))",0.160723650614,2.0,count,7.0,constant,exposition
44,Giroflée,"(moine, (pâtissière, 1))",,3.0,count,7.0,constant,exposition
45,Giroflée,"(moine, (avocat, 1))",0.0879356730521,4.0,count,7.0,constant,exposition
