,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (docteur, 7.25262835403))",0.245771869285,0.0,count,33.0,decreasing,exposition
1,Candide,"(maître, (maître, 3.99728284938))",1.0,1.0,count,33.0,decreasing,exposition
2,Candide,"(maître, (bonne, 2.84988039654))",0.0905642901122,2.0,count,33.0,decreasing,exposition
3,Candide,"(maître, (précepteur, 2.3978952728))",0.192645937737,3.0,count,33.0,decreasing,exposition
4,Candide,"(maître, (chirurgien, 1.38721305664))",0.14514804672,4.0,count,33.0,decreasing,exposition
5,Cunégonde,"(maîtresse, (docteur, 4.80408934841))",0.110988330505,0.0,count,11.0,decreasing,exposition
6,Cunégonde,"(maîtresse, (maître, 4.80408934841))",0.298612340847,1.0,count,11.0,decreasing,exposition
7,Cunégonde,"(maîtresse, (précepteur, 2.3978952728))",0.34423336685,2.0,count,11.0,decreasing,exposition
8,Cunégonde,"(maîtresse, (bonne, 2.3978952728))",0.0176458631787,3.0,count,11.0,decreasing,exposition
9,Martin,"(compagnon, (patron, 5.22135632541))",0.202968968961,0.0,count,10.0,decreasing,exposition
10,Martin,"(compagnon, (capitaine, 0.105360515658))",0.252946427442,1.0,count,10.0,decreasing,exposition
11,Pangloss,"(précepteur, (précepteur, 3.91202300543))",1.0,0.0,count,10.0,decreasing,exposition
12,Pangloss,"(précepteur, (bonne, 3.91202300543))",0.00815197473139,1.0,count,10.0,decreasing,exposition
13,Pangloss,"(précepteur, (maître, 2.81341071676))",0.192645937737,2.0,count,10.0,decreasing,exposition
14,Pangloss,"(précepteur, (docteur, 2.1202635362))",0.0942151652341,3.0,count,10.0,decreasing,exposition
15,Pangloss,"(précepteur, (conservateur, 0.105360515658))",0.0364348182412,4.0,count,10.0,decreasing,exposition
16,Pangloss,"(maître, (précepteur, 3.91202300543))",0.192645937737,0.0,count,10.0,decreasing,exposition
17,Pangloss,"(maître, (bonne, 3.91202300543))",0.0905642901122,1.0,count,10.0,decreasing,exposition
18,Pangloss,"(maître, (maître, 2.81341071676))",1.0,2.0,count,10.0,decreasing,exposition
19,Pangloss,"(maître, (docteur, 2.1202635362))",0.245771869285,3.0,count,10.0,decreasing,exposition
20,Pangloss,"(maître, (conservateur, 0.105360515658))",0.107226797772,4.0,count,10.0,decreasing,exposition
21,Pangloss,"(professeur, (précepteur, 3.91202300543))",0.206032785291,0.0,count,10.0,decreasing,exposition
22,Pangloss,"(professeur, (bonne, 3.91202300543))",-0.00156222372864,1.0,count,10.0,decreasing,exposition
23,Pangloss,"(professeur, (maître, 2.81341071676))",0.346125715885,2.0,count,10.0,decreasing,exposition
24,Pangloss,"(professeur, (docteur, 2.1202635362))",0.43498816425,3.0,count,10.0,decreasing,exposition
25,Pangloss,"(professeur, (conservateur, 0.105360515658))",0.160035718257,4.0,count,10.0,decreasing,exposition
26,Pangloss,"(docteur, (précepteur, 3.91202300543))",0.0942151652341,0.0,count,10.0,decreasing,exposition
27,Pangloss,"(docteur, (bonne, 3.91202300543))",0.0513683135232,1.0,count,10.0,decreasing,exposition
28,Pangloss,"(docteur, (maître, 2.81341071676))",0.245771869285,2.0,count,10.0,decreasing,exposition
29,Pangloss,"(docteur, (docteur, 2.1202635362))",1.0,3.0,count,10.0,decreasing,exposition
30,Pangloss,"(docteur, (conservateur, 0.105360515658))",0.0977215794373,4.0,count,10.0,decreasing,exposition
31,Cacambo,"(valet, (sacristain, 3.91202300543))",0.118785007175,0.0,count,10.0,decreasing,exposition
32,Cacambo,"(valet, (facteur, 3.91202300543))",0.0715200524111,1.0,count,10.0,decreasing,exposition
33,Cacambo,"(valet, (valet, 3.91202300543))",1.0,2.0,count,10.0,decreasing,exposition
34,Cacambo,"(valet, (laquais, 3.91202300543))",0.564288541564,3.0,count,10.0,decreasing,exposition
35,Cacambo,"(valet, (moine, 3.91202300543))",0.146791280392,4.0,count,10.0,decreasing,exposition
36,Issachar,"(inquisiteur, (inquisiteur, 4.25272099484))",1.0,0.0,count,9.0,decreasing,exposition
37,Issachar,"(inquisiteur, (docteur, 2.78501124224))",0.0751051295798,1.0,count,9.0,decreasing,exposition
38,Issachar,"(inquisiteur, (banquier, 2.60268968544))",0.06708460855,2.0,count,9.0,decreasing,exposition
39,Issachar,"(inquisiteur, (cuisinière, 0.587786664902))",0.0954683691278,3.0,count,9.0,decreasing,exposition
40,Issachar,"(inquisiteur, (capitaine, 0.587786664902))",0.147629220039,4.0,count,9.0,decreasing,exposition
41,Giroflée,"(moine, (moine, 3.19867311755))",1.0,0.0,count,7.0,decreasing,exposition
42,Giroflée,"(moine, (marchand, 1.94591014906))",0.160723650614,1.0,count,7.0,decreasing,exposition
43,Giroflée,"(moine, (avocat, 1.94591014906))",0.0879356730521,2.0,count,7.0,decreasing,exposition
44,Giroflée,"(moine, (gondolier, 1.94591014906))",0.0270487164827,3.0,count,7.0,decreasing,exposition
45,Giroflée,"(moine, (menuisier, -0.0))",0.112739151071,4.0,count,7.0,decreasing,exposition
