,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (patron, 27))",0.116449546268,0.0,count,339.0,constant,full
1,Candide,"(maître, (maître, 26))",1.0,1.0,count,339.0,constant,full
2,Candide,"(maître, (bonne, 26))",0.0905642901122,2.0,count,339.0,constant,full
3,Candide,"(maître, (capitaine, 17))",0.160492415619,3.0,count,339.0,constant,full
4,Candide,"(maître, (valet, 16))",0.264081932467,4.0,count,339.0,constant,full
5,Cunégonde,"(maîtresse, (capitaine, 10))",0.192892086046,0.0,count,118.0,constant,full
6,Cunégonde,"(maîtresse, (bonne, 8))",0.0176458631787,1.0,count,118.0,constant,full
7,Cunégonde,"(maîtresse, (maître, 8))",0.298612340847,2.0,count,118.0,constant,full
8,Cunégonde,"(maîtresse, (patron, 7))",0.123436267011,3.0,count,118.0,constant,full
9,Cunégonde,"(maîtresse, (maîtresse, 6))",1.0,4.0,count,118.0,constant,full
10,Martin,"(compagnon, (patron, 11))",0.202968968961,0.0,count,98.0,constant,full
11,Martin,"(compagnon, (bonne, 10))",0.037506180778,1.0,count,98.0,constant,full
12,Martin,"(compagnon, (maître, 8))",0.264598497752,2.0,count,98.0,constant,full
13,Martin,"(compagnon, (général, 6))",0.0964695588946,3.0,count,98.0,constant,full
14,Martin,"(compagnon, (maîtresse, 6))",0.259794057582,4.0,count,98.0,constant,full
15,Pangloss,"(précepteur, (docteur, 13))",0.0942151652341,0.0,count,88.0,constant,full
16,Pangloss,"(précepteur, (maître, 9))",0.192645937737,1.0,count,88.0,constant,full
17,Pangloss,"(précepteur, (patron, 8))",0.102352295126,2.0,count,88.0,constant,full
18,Pangloss,"(précepteur, (capitaine, 7))",0.163408874503,3.0,count,88.0,constant,full
19,Pangloss,"(précepteur, (général, 6))",0.055799005308,4.0,count,88.0,constant,full
20,Pangloss,"(maître, (docteur, 13))",0.245771869285,0.0,count,88.0,constant,full
21,Pangloss,"(maître, (maître, 9))",1.0,1.0,count,88.0,constant,full
22,Pangloss,"(maître, (patron, 8))",0.116449546268,2.0,count,88.0,constant,full
23,Pangloss,"(maître, (capitaine, 7))",0.160492415619,3.0,count,88.0,constant,full
24,Pangloss,"(maître, (général, 6))",0.0945025589207,4.0,count,88.0,constant,full
25,Pangloss,"(professeur, (docteur, 13))",0.43498816425,0.0,count,88.0,constant,full
26,Pangloss,"(professeur, (maître, 9))",0.346125715885,1.0,count,88.0,constant,full
27,Pangloss,"(professeur, (patron, 8))",0.0891168578429,2.0,count,88.0,constant,full
28,Pangloss,"(professeur, (capitaine, 7))",0.0916679886788,3.0,count,88.0,constant,full
29,Pangloss,"(professeur, (général, 6))",0.0922862651615,4.0,count,88.0,constant,full
30,Pangloss,"(docteur, (docteur, 13))",1.0,0.0,count,88.0,constant,full
31,Pangloss,"(docteur, (maître, 9))",0.245771869285,1.0,count,88.0,constant,full
32,Pangloss,"(docteur, (patron, 8))",0.101725329695,2.0,count,88.0,constant,full
33,Pangloss,"(docteur, (capitaine, 7))",0.154262764414,3.0,count,88.0,constant,full
34,Pangloss,"(docteur, (général, 6))",0.158035225174,4.0,count,88.0,constant,full
35,Cacambo,"(valet, (maître, 17))",0.264081932467,0.0,count,80.0,constant,full
36,Cacambo,"(valet, (valet, 10))",1.0,1.0,count,80.0,constant,full
37,Cacambo,"(valet, (maîtresse, 10))",0.352198265214,2.0,count,80.0,constant,full
38,Cacambo,"(valet, (patron, 9))",0.225911249652,3.0,count,80.0,constant,full
39,Cacambo,"(valet, (officier, 5))",0.16878782241,4.0,count,80.0,constant,full
40,Issachar,"(inquisiteur, (inquisiteur, 5))",1.0,0.0,count,9.0,constant,full
41,Issachar,"(inquisiteur, (banquier, 2))",0.06708460855,1.0,count,9.0,constant,full
42,Issachar,"(inquisiteur, (docteur, 2))",0.0751051295798,2.0,count,9.0,constant,full
43,Issachar,"(inquisiteur, (servante, 1))",0.183352674767,3.0,count,9.0,constant,full
44,Issachar,"(inquisiteur, (professeur, 1))",0.0804463892169,4.0,count,9.0,constant,full
45,Giroflée,"(moine, (moine, 2))",1.0,0.0,count,7.0,constant,full
46,Giroflée,"(moine, (menuisier, 1))",0.112739151071,1.0,count,7.0,constant,full
47,Giroflée,"(moine, (marchand, 1))",0.160723650614,2.0,count,7.0,constant,full
48,Giroflée,"(moine, (pâtissière, 1))",,3.0,count,7.0,constant,full
49,Giroflée,"(moine, (avocat, 1))",0.0879356730521,4.0,count,7.0,constant,full
