,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (docteur, 29.9779849216))",0.245771869285,0.0,count,339.0,decreasing,full
1,Candide,"(maître, (bonne, 22.0329249216))",0.0905642901122,1.0,count,339.0,decreasing,full
2,Candide,"(maître, (maître, 21.365597182))",1.0,2.0,count,339.0,decreasing,full
3,Candide,"(maître, (capitaine, 19.7456973697))",0.160492415619,3.0,count,339.0,decreasing,full
4,Candide,"(maître, (matelot, 11.0934673083))",0.147930292416,4.0,count,339.0,decreasing,full
5,Cunégonde,"(maîtresse, (maître, 19.8093082071))",0.298612340847,0.0,count,118.0,decreasing,full
6,Cunégonde,"(maîtresse, (docteur, 17.0210938178))",0.110988330505,1.0,count,118.0,decreasing,full
7,Cunégonde,"(maîtresse, (bonne, 12.7170822137))",0.0176458631787,2.0,count,118.0,decreasing,full
8,Cunégonde,"(maîtresse, (capitaine, 12.050861686))",0.192892086046,3.0,count,118.0,decreasing,full
9,Cunégonde,"(maîtresse, (inquisiteur, 7.73978275075))",0.155193323698,4.0,count,118.0,decreasing,full
10,Martin,"(compagnon, (bonne, 3.96094042995))",0.037506180778,0.0,count,98.0,decreasing,full
11,Martin,"(compagnon, (patron, 3.21748580213))",0.202968968961,1.0,count,98.0,decreasing,full
12,Martin,"(compagnon, (capitaine, 1.5311545122))",0.252946427442,2.0,count,98.0,decreasing,full
13,Martin,"(compagnon, (maître, 1.4633366771))",0.264598497752,3.0,count,98.0,decreasing,full
14,Martin,"(compagnon, (clerc, 1.41650551544))",0.105872110806,4.0,count,98.0,decreasing,full
15,Pangloss,"(précepteur, (docteur, 28.9011358818))",0.0942151652341,0.0,count,88.0,decreasing,full
16,Pangloss,"(précepteur, (maître, 13.8999631546))",0.192645937737,1.0,count,88.0,decreasing,full
17,Pangloss,"(précepteur, (capitaine, 13.1430982042))",0.163408874503,2.0,count,88.0,decreasing,full
18,Pangloss,"(précepteur, (bonne, 11.371383744))",0.00815197473139,3.0,count,88.0,decreasing,full
19,Pangloss,"(précepteur, (matelot, 10.9688318922))",0.151693540117,4.0,count,88.0,decreasing,full
20,Pangloss,"(maître, (docteur, 28.9011358818))",0.245771869285,0.0,count,88.0,decreasing,full
21,Pangloss,"(maître, (maître, 13.8999631546))",1.0,1.0,count,88.0,decreasing,full
22,Pangloss,"(maître, (capitaine, 13.1430982042))",0.160492415619,2.0,count,88.0,decreasing,full
23,Pangloss,"(maître, (bonne, 11.371383744))",0.0905642901122,3.0,count,88.0,decreasing,full
24,Pangloss,"(maître, (matelot, 10.9688318922))",0.147930292416,4.0,count,88.0,decreasing,full
25,Pangloss,"(professeur, (docteur, 28.9011358818))",0.43498816425,0.0,count,88.0,decreasing,full
26,Pangloss,"(professeur, (maître, 13.8999631546))",0.346125715885,1.0,count,88.0,decreasing,full
27,Pangloss,"(professeur, (capitaine, 13.1430982042))",0.0916679886788,2.0,count,88.0,decreasing,full
28,Pangloss,"(professeur, (bonne, 11.371383744))",-0.00156222372864,3.0,count,88.0,decreasing,full
29,Pangloss,"(professeur, (matelot, 10.9688318922))",0.0220481267554,4.0,count,88.0,decreasing,full
30,Pangloss,"(docteur, (docteur, 28.9011358818))",1.0,0.0,count,88.0,decreasing,full
31,Pangloss,"(docteur, (maître, 13.8999631546))",0.245771869285,1.0,count,88.0,decreasing,full
32,Pangloss,"(docteur, (capitaine, 13.1430982042))",0.154262764414,2.0,count,88.0,decreasing,full
33,Pangloss,"(docteur, (bonne, 11.371383744))",0.0513683135232,3.0,count,88.0,decreasing,full
34,Pangloss,"(docteur, (matelot, 10.9688318922))",0.0177931130503,4.0,count,88.0,decreasing,full
35,Cacambo,"(valet, (maître, 11.2820655703))",0.264081932467,0.0,count,80.0,decreasing,full
36,Cacambo,"(valet, (valet, 7.42329688688))",1.0,1.0,count,80.0,decreasing,full
37,Cacambo,"(valet, (capitaine, 4.3929310219))",0.205974543356,2.0,count,80.0,decreasing,full
38,Cacambo,"(valet, (officier, 4.34418727293))",0.16878782241,3.0,count,80.0,decreasing,full
39,Cacambo,"(valet, (garde, 3.63139309498))",0.139725303979,4.0,count,80.0,decreasing,full
40,Issachar,"(inquisiteur, (inquisiteur, 8.44900235561))",1.0,0.0,count,9.0,decreasing,full
41,Issachar,"(inquisiteur, (banquier, 3.45177190419))",0.06708460855,1.0,count,9.0,decreasing,full
42,Issachar,"(inquisiteur, (docteur, 3.41393032547))",0.0751051295798,2.0,count,9.0,decreasing,full
43,Issachar,"(inquisiteur, (cuisinière, 1.66408175185))",0.0954683691278,3.0,count,9.0,decreasing,full
44,Issachar,"(inquisiteur, (capitaine, 1.66408175185))",0.147629220039,4.0,count,9.0,decreasing,full
45,Giroflée,"(moine, (moine, 0.516585249271))",1.0,0.0,count,7.0,decreasing,full
46,Giroflée,"(moine, (marchand, 0.261651159514))",0.160723650614,1.0,count,7.0,decreasing,full
47,Giroflée,"(moine, (avocat, 0.261651159514))",0.0879356730521,2.0,count,7.0,decreasing,full
48,Giroflée,"(moine, (gondolier, 0.261651159514))",0.0270487164827,3.0,count,7.0,decreasing,full
49,Giroflée,"(moine, (menuisier, 0.000648718803159))",0.112739151071,4.0,count,7.0,decreasing,full
