,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Candide,"(maître, (chirurgien, 5.94594594595))",0.14514804672,0.0,33.0,constant,exposition
1,Candide,"(maître, (bonne, 5.81081081081))",0.0905642901122,1.0,33.0,constant,exposition
2,Candide,"(maître, (précepteur, 5.67567567568))",0.192645937737,2.0,33.0,constant,exposition
3,Candide,"(maître, (docteur, 5.0))",0.245771869285,3.0,33.0,constant,exposition
4,Cunégonde,"(maîtresse, (docteur, 5.01851851852))",0.110988330505,0.0,11.0,constant,exposition
5,Cunégonde,"(maîtresse, (maître, 2.5))",0.298612340847,1.0,11.0,constant,exposition
6,Martin,"(compagnon, (patron, 5.0))",0.202968968961,0.0,10.0,constant,exposition
7,Pangloss,"(précepteur, (docteur, 5.97222222222))",0.0942151652341,0.0,10.0,constant,exposition
8,Pangloss,"(précepteur, (précepteur, 5.94444444444))",1.0,1.0,10.0,constant,exposition
9,Pangloss,"(précepteur, (maître, 5.94444444444))",0.192645937737,2.0,10.0,constant,exposition
10,Pangloss,"(précepteur, (bonne, 5.0))",0.00815197473139,3.0,10.0,constant,exposition
11,Pangloss,"(maître, (docteur, 5.97222222222))",0.245771869285,0.0,10.0,constant,exposition
12,Pangloss,"(maître, (précepteur, 5.94444444444))",0.192645937737,1.0,10.0,constant,exposition
13,Pangloss,"(maître, (maître, 5.94444444444))",1.0,2.0,10.0,constant,exposition
14,Pangloss,"(maître, (bonne, 5.0))",0.0905642901122,3.0,10.0,constant,exposition
15,Pangloss,"(professeur, (docteur, 5.97222222222))",0.43498816425,0.0,10.0,constant,exposition
16,Pangloss,"(professeur, (précepteur, 5.94444444444))",0.206032785291,1.0,10.0,constant,exposition
17,Pangloss,"(professeur, (maître, 5.94444444444))",0.346125715885,2.0,10.0,constant,exposition
18,Pangloss,"(professeur, (bonne, 5.0))",-0.00156222372864,3.0,10.0,constant,exposition
19,Pangloss,"(docteur, (docteur, 5.97222222222))",1.0,0.0,10.0,constant,exposition
20,Pangloss,"(docteur, (précepteur, 5.94444444444))",0.0942151652341,1.0,10.0,constant,exposition
21,Pangloss,"(docteur, (maître, 5.94444444444))",0.245771869285,2.0,10.0,constant,exposition
22,Pangloss,"(docteur, (bonne, 5.0))",0.0513683135232,3.0,10.0,constant,exposition
23,Cacambo,"(valet, (capitaine, 5.0))",0.205974543356,0.0,10.0,constant,exposition
24,Cacambo,"(valet, (maître, 2.5390070922))",0.264081932467,1.0,10.0,constant,exposition
25,Cacambo,"(valet, (garde, 2.41134751773))",0.139725303979,2.0,10.0,constant,exposition
26,Issachar,"(inquisiteur, (inquisiteur, 5.45454545455))",1.0,0.0,9.0,constant,exposition
27,Issachar,"(inquisiteur, (capitaine, 3.34090909091))",0.147629220039,1.0,9.0,constant,exposition
28,Issachar,"(inquisiteur, (docteur, 3.3))",0.0751051295798,2.0,9.0,constant,exposition
29,Issachar,"(inquisiteur, (servante, 3.04545454545))",0.183352674767,3.0,9.0,constant,exposition
30,Issachar,"(inquisiteur, (banquier, 3.04545454545))",0.06708460855,4.0,9.0,constant,exposition
31,Giroflée,"(moine, (menuisier, 5.0))",0.112739151071,0.0,7.0,constant,exposition
