,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Candide,"(maître, (docteur, 1.48703636718))",0.245771869285,0.0,33.0,decreasing,exposition
1,Candide,"(maître, (bonne, 1.34466958282))",0.0905642901122,1.0,33.0,decreasing,exposition
2,Candide,"(maître, (précepteur, 1.25919574237))",0.192645937737,2.0,33.0,decreasing,exposition
3,Candide,"(maître, (chirurgien, 0.959127533248))",0.14514804672,3.0,33.0,decreasing,exposition
4,Candide,"(maître, (maître, 0.958778985085))",1.0,4.0,33.0,decreasing,exposition
5,Cunégonde,"(maîtresse, (maître, 1.27678135197))",0.298612340847,0.0,11.0,decreasing,exposition
6,Cunégonde,"(maîtresse, (précepteur, 1.09964465894))",0.34423336685,1.0,11.0,decreasing,exposition
7,Cunégonde,"(maîtresse, (docteur, 1.0))",0.110988330505,2.0,11.0,decreasing,exposition
8,Cunégonde,"(maîtresse, (bonne, 0.894859566068))",0.0176458631787,3.0,11.0,decreasing,exposition
9,Martin,"(compagnon, (patron, 1.0))",0.202968968961,0.0,10.0,decreasing,exposition
10,Martin,"(compagnon, (capitaine, 0.629424319354))",0.252946427442,1.0,10.0,decreasing,exposition
11,Pangloss,"(précepteur, (précepteur, 1.9920530532))",1.0,0.0,10.0,decreasing,exposition
12,Pangloss,"(précepteur, (bonne, 1.8640134349))",0.00815197473139,1.0,10.0,decreasing,exposition
13,Pangloss,"(précepteur, (maître, 1.70749590266))",0.192645937737,2.0,10.0,decreasing,exposition
14,Pangloss,"(précepteur, (docteur, 1.43087384686))",0.0942151652341,3.0,10.0,decreasing,exposition
15,Pangloss,"(précepteur, (novice, 1.0))",0.201346478745,4.0,10.0,decreasing,exposition
16,Pangloss,"(maître, (précepteur, 1.9920530532))",0.192645937737,0.0,10.0,decreasing,exposition
17,Pangloss,"(maître, (bonne, 1.8640134349))",0.0905642901122,1.0,10.0,decreasing,exposition
18,Pangloss,"(maître, (maître, 1.70749590266))",1.0,2.0,10.0,decreasing,exposition
19,Pangloss,"(maître, (docteur, 1.43087384686))",0.245771869285,3.0,10.0,decreasing,exposition
20,Pangloss,"(maître, (novice, 1.0))",0.187034789399,4.0,10.0,decreasing,exposition
21,Pangloss,"(professeur, (précepteur, 1.9920530532))",0.206032785291,0.0,10.0,decreasing,exposition
22,Pangloss,"(professeur, (bonne, 1.8640134349))",-0.00156222372864,1.0,10.0,decreasing,exposition
23,Pangloss,"(professeur, (maître, 1.70749590266))",0.346125715885,2.0,10.0,decreasing,exposition
24,Pangloss,"(professeur, (docteur, 1.43087384686))",0.43498816425,3.0,10.0,decreasing,exposition
25,Pangloss,"(professeur, (novice, 1.0))",0.113700250802,4.0,10.0,decreasing,exposition
26,Pangloss,"(docteur, (précepteur, 1.9920530532))",0.0942151652341,0.0,10.0,decreasing,exposition
27,Pangloss,"(docteur, (bonne, 1.8640134349))",0.0513683135232,1.0,10.0,decreasing,exposition
28,Pangloss,"(docteur, (maître, 1.70749590266))",0.245771869285,2.0,10.0,decreasing,exposition
29,Pangloss,"(docteur, (docteur, 1.43087384686))",1.0,3.0,10.0,decreasing,exposition
30,Pangloss,"(docteur, (novice, 1.0))",0.0267660608791,4.0,10.0,decreasing,exposition
31,Cacambo,"(valet, (maître, 1.39226140001))",0.264081932467,0.0,10.0,decreasing,exposition
32,Cacambo,"(valet, (valet, 1.22299936027))",1.0,1.0,10.0,decreasing,exposition
33,Cacambo,"(valet, (sacristain, 1.04645820006))",0.118785007175,2.0,10.0,decreasing,exposition
34,Cacambo,"(valet, (matelot, 1.03716656004))",0.219573687661,3.0,10.0,decreasing,exposition
35,Cacambo,"(valet, (moine, 1.02787492003))",0.146791280392,4.0,10.0,decreasing,exposition
36,Issachar,"(inquisiteur, (docteur, 1.54425614241))",0.0751051295798,0.0,9.0,decreasing,exposition
37,Issachar,"(inquisiteur, (banquier, 1.2607526136))",0.06708460855,1.0,9.0,decreasing,exposition
38,Issachar,"(inquisiteur, (capitaine, 1.09025634894))",0.147629220039,2.0,9.0,decreasing,exposition
39,Issachar,"(inquisiteur, (inquisiteur, 1.0))",1.0,3.0,9.0,decreasing,exposition
40,Issachar,"(inquisiteur, (cuisinière, 0.816232217072))",0.0954683691278,4.0,9.0,decreasing,exposition
41,Giroflée,"(moine, (moine, 1.66245233594))",1.0,0.0,7.0,decreasing,exposition
42,Giroflée,"(moine, (gondolier, 0.674042604687))",0.0270487164827,1.0,7.0,decreasing,exposition
43,Giroflée,"(moine, (avocat, 0.630246984249))",0.0879356730521,2.0,7.0,decreasing,exposition
44,Giroflée,"(moine, (marchand, 0.60834917403))",0.160723650614,3.0,7.0,decreasing,exposition
45,Giroflée,"(moine, (menuisier, 0.0))",0.112739151071,4.0,7.0,decreasing,exposition
