,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Candide,"(maître, (patron, 5.68015697817))",0.116449546268,0.0,339.0,constant,full
1,Candide,"(maître, (bonne, 5.55704609347))",0.0905642901122,1.0,339.0,constant,full
2,Candide,"(maître, (maître, 5.53590498292))",1.0,2.0,339.0,constant,full
3,Candide,"(maître, (valet, 3.85120799608))",0.264081932467,3.0,339.0,constant,full
4,Candide,"(maître, (capitaine, 3.76871690545))",0.160492415619,4.0,339.0,constant,full
5,Cunégonde,"(maîtresse, (capitaine, 5.55032679739))",0.192892086046,0.0,118.0,constant,full
6,Cunégonde,"(maîtresse, (maître, 4.80207612457))",0.298612340847,1.0,118.0,constant,full
7,Cunégonde,"(maîtresse, (bonne, 4.75155709343))",0.0176458631787,2.0,118.0,constant,full
8,Cunégonde,"(maîtresse, (patron, 4.26470588235))",0.123436267011,3.0,118.0,constant,full
9,Cunégonde,"(maîtresse, (maîtresse, 3.6756302521))",1.0,4.0,118.0,constant,full
10,Martin,"(compagnon, (patron, 5.93927510398))",0.202968968961,0.0,98.0,constant,full
11,Martin,"(compagnon, (bonne, 5.49416626155))",0.037506180778,1.0,98.0,constant,full
12,Martin,"(compagnon, (maître, 4.59536541889))",0.264598497752,2.0,98.0,constant,full
13,Martin,"(compagnon, (maîtresse, 3.63689839572))",0.259794057582,3.0,98.0,constant,full
14,Martin,"(compagnon, (général, 3.57472558401))",0.0964695588946,4.0,98.0,constant,full
15,Pangloss,"(précepteur, (docteur, 5.60382231405))",0.0942151652341,0.0,88.0,constant,full
16,Pangloss,"(précepteur, (maître, 4.45635291625))",0.192645937737,1.0,88.0,constant,full
17,Pangloss,"(précepteur, (patron, 3.93221701112))",0.102352295126,2.0,88.0,constant,full
18,Pangloss,"(précepteur, (capitaine, 3.40014776378))",0.163408874503,3.0,88.0,constant,full
19,Pangloss,"(précepteur, (général, 2.9665352829))",0.055799005308,4.0,88.0,constant,full
20,Pangloss,"(maître, (docteur, 5.60382231405))",0.245771869285,0.0,88.0,constant,full
21,Pangloss,"(maître, (maître, 4.45635291625))",1.0,1.0,88.0,constant,full
22,Pangloss,"(maître, (patron, 3.93221701112))",0.116449546268,2.0,88.0,constant,full
23,Pangloss,"(maître, (capitaine, 3.40014776378))",0.160492415619,3.0,88.0,constant,full
24,Pangloss,"(maître, (général, 2.9665352829))",0.0945025589207,4.0,88.0,constant,full
25,Pangloss,"(professeur, (docteur, 5.60382231405))",0.43498816425,0.0,88.0,constant,full
26,Pangloss,"(professeur, (maître, 4.45635291625))",0.346125715885,1.0,88.0,constant,full
27,Pangloss,"(professeur, (patron, 3.93221701112))",0.0891168578429,2.0,88.0,constant,full
28,Pangloss,"(professeur, (capitaine, 3.40014776378))",0.0916679886788,3.0,88.0,constant,full
29,Pangloss,"(professeur, (général, 2.9665352829))",0.0922862651615,4.0,88.0,constant,full
30,Pangloss,"(docteur, (docteur, 5.60382231405))",1.0,0.0,88.0,constant,full
31,Pangloss,"(docteur, (maître, 4.45635291625))",0.245771869285,1.0,88.0,constant,full
32,Pangloss,"(docteur, (patron, 3.93221701112))",0.101725329695,2.0,88.0,constant,full
33,Pangloss,"(docteur, (capitaine, 3.40014776378))",0.154262764414,3.0,88.0,constant,full
34,Pangloss,"(docteur, (général, 2.9665352829))",0.158035225174,4.0,88.0,constant,full
35,Cacambo,"(valet, (maître, 5.93197126179))",0.264081932467,0.0,80.0,constant,full
36,Cacambo,"(valet, (valet, 3.79636962349))",1.0,1.0,80.0,constant,full
37,Cacambo,"(valet, (maîtresse, 3.649668837))",0.352198265214,2.0,80.0,constant,full
38,Cacambo,"(valet, (patron, 3.56259686835))",0.225911249652,3.0,80.0,constant,full
39,Cacambo,"(valet, (officier, 2.18203861697))",0.16878782241,4.0,80.0,constant,full
40,Issachar,"(inquisiteur, (inquisiteur, 5.48148148148))",1.0,0.0,9.0,constant,full
41,Issachar,"(inquisiteur, (docteur, 2.91836734694))",0.0751051295798,1.0,9.0,constant,full
42,Issachar,"(inquisiteur, (banquier, 2.42857142857))",0.06708460855,2.0,9.0,constant,full
43,Issachar,"(inquisiteur, (capitaine, 1.9880952381))",0.147629220039,3.0,9.0,constant,full
44,Issachar,"(inquisiteur, (cuisinière, 1.90178571429))",0.0954683691278,4.0,9.0,constant,full
45,Giroflée,"(moine, (moine, 5.67278989667))",1.0,0.0,7.0,constant,full
46,Giroflée,"(moine, (menuisier, 3.45895522388))",0.112739151071,1.0,7.0,constant,full
47,Giroflée,"(moine, (pâtissière, 3.42910447761))",,2.0,7.0,constant,full
48,Giroflée,"(moine, (marchand, 3.22116689281))",0.160723650614,3.0,7.0,constant,full
49,Giroflée,"(moine, (gondolier, 2.92686567164))",0.0270487164827,4.0,7.0,constant,full
