,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Candide,"(maître, (docteur, 5.50039263342))",0.245771869285,0.0,339.0,decreasing,full
1,Candide,"(maître, (bonne, 4.64917548126))",0.0905642901122,1.0,339.0,decreasing,full
2,Candide,"(maître, (maître, 4.56392398685))",1.0,2.0,339.0,decreasing,full
3,Candide,"(maître, (capitaine, 4.25671912017))",0.160492415619,3.0,339.0,decreasing,full
4,Candide,"(maître, (patron, 2.77602393754))",0.116449546268,4.0,339.0,decreasing,full
5,Cunégonde,"(maîtresse, (maître, 5.49361049175))",0.298612340847,0.0,118.0,decreasing,full
6,Cunégonde,"(maîtresse, (docteur, 4.5501741267))",0.110988330505,1.0,118.0,decreasing,full
7,Cunégonde,"(maîtresse, (bonne, 4.00705544973))",0.0176458631787,2.0,118.0,decreasing,full
8,Cunégonde,"(maîtresse, (capitaine, 3.70814588828))",0.192892086046,3.0,118.0,decreasing,full
9,Cunégonde,"(maîtresse, (inquisiteur, 2.62012445277))",0.155193323698,4.0,118.0,decreasing,full
10,Martin,"(compagnon, (patron, 5.7782607761))",0.202968968961,0.0,98.0,decreasing,full
11,Martin,"(compagnon, (bonne, 4.29918951879))",0.037506180778,1.0,98.0,decreasing,full
12,Martin,"(compagnon, (capitaine, 2.67555353094))",0.252946427442,2.0,98.0,decreasing,full
13,Martin,"(compagnon, (clerc, 2.172527528))",0.105872110806,3.0,98.0,decreasing,full
14,Martin,"(compagnon, (maître, 1.74730616067))",0.264598497752,4.0,98.0,decreasing,full
15,Pangloss,"(précepteur, (docteur, 5.79059125357))",0.0942151652341,0.0,88.0,decreasing,full
16,Pangloss,"(précepteur, (maître, 4.04440688712))",0.192645937737,1.0,88.0,decreasing,full
17,Pangloss,"(précepteur, (bonne, 3.33746510569))",0.00815197473139,2.0,88.0,decreasing,full
18,Pangloss,"(précepteur, (précepteur, 3.00918756641))",1.0,3.0,88.0,decreasing,full
19,Pangloss,"(précepteur, (capitaine, 2.95876767428))",0.163408874503,4.0,88.0,decreasing,full
20,Pangloss,"(maître, (docteur, 5.79059125357))",0.245771869285,0.0,88.0,decreasing,full
21,Pangloss,"(maître, (maître, 4.04440688712))",1.0,1.0,88.0,decreasing,full
22,Pangloss,"(maître, (bonne, 3.33746510569))",0.0905642901122,2.0,88.0,decreasing,full
23,Pangloss,"(maître, (précepteur, 3.00918756641))",0.192645937737,3.0,88.0,decreasing,full
24,Pangloss,"(maître, (capitaine, 2.95876767428))",0.160492415619,4.0,88.0,decreasing,full
25,Pangloss,"(professeur, (docteur, 5.79059125357))",0.43498816425,0.0,88.0,decreasing,full
26,Pangloss,"(professeur, (maître, 4.04440688712))",0.346125715885,1.0,88.0,decreasing,full
27,Pangloss,"(professeur, (bonne, 3.33746510569))",-0.00156222372864,2.0,88.0,decreasing,full
28,Pangloss,"(professeur, (précepteur, 3.00918756641))",0.206032785291,3.0,88.0,decreasing,full
29,Pangloss,"(professeur, (capitaine, 2.95876767428))",0.0916679886788,4.0,88.0,decreasing,full
30,Pangloss,"(docteur, (docteur, 5.79059125357))",1.0,0.0,88.0,decreasing,full
31,Pangloss,"(docteur, (maître, 4.04440688712))",0.245771869285,1.0,88.0,decreasing,full
32,Pangloss,"(docteur, (bonne, 3.33746510569))",0.0513683135232,2.0,88.0,decreasing,full
33,Pangloss,"(docteur, (précepteur, 3.00918756641))",0.0942151652341,3.0,88.0,decreasing,full
34,Pangloss,"(docteur, (capitaine, 2.95876767428))",0.154262764414,4.0,88.0,decreasing,full
35,Cacambo,"(valet, (maître, 5.94097620653))",0.264081932467,0.0,80.0,decreasing,full
36,Cacambo,"(valet, (valet, 4.47387851365))",1.0,1.0,80.0,decreasing,full
37,Cacambo,"(valet, (capitaine, 3.48229127362))",0.205974543356,2.0,80.0,decreasing,full
38,Cacambo,"(valet, (matelot, 2.91431569073))",0.219573687661,3.0,80.0,decreasing,full
39,Cacambo,"(valet, (moine, 2.8126564012))",0.146791280392,4.0,80.0,decreasing,full
40,Issachar,"(inquisiteur, (inquisiteur, 5.5530056529))",1.0,0.0,9.0,decreasing,full
41,Issachar,"(inquisiteur, (docteur, 4.17646507443))",0.0751051295798,1.0,9.0,decreasing,full
42,Issachar,"(inquisiteur, (banquier, 3.06002873055))",0.06708460855,2.0,9.0,decreasing,full
43,Issachar,"(inquisiteur, (capitaine, 1.68406561388))",0.147629220039,3.0,9.0,decreasing,full
44,Issachar,"(inquisiteur, (cuisinière, 1.61986006406))",0.0954683691278,4.0,9.0,decreasing,full
45,Giroflée,"(moine, (moine, 5.80500938768))",1.0,0.0,7.0,decreasing,full
46,Giroflée,"(moine, (marchand, 3.76263255885))",0.160723650614,1.0,7.0,decreasing,full
47,Giroflée,"(moine, (gondolier, 3.28563055298))",0.0270487164827,2.0,7.0,decreasing,full
48,Giroflée,"(moine, (avocat, 3.04174587015))",0.0879356730521,3.0,7.0,decreasing,full
49,Giroflée,"(moine, (menuisier, 1.0))",0.112739151071,4.0,7.0,decreasing,full
