,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (novice, 168.0))",0.187034789399,0.0,proximity,33.0,constant,exposition
1,Candide,"(maître, (capitaine, 139.0))",0.160492415619,1.0,proximity,33.0,constant,exposition
2,Candide,"(maître, (maître, 101.5))",1.0,2.0,proximity,33.0,constant,exposition
3,Candide,"(maître, (docteur, 83.5))",0.245771869285,3.0,proximity,33.0,constant,exposition
4,Candide,"(maître, (chef, 75.0))",0.24575255013,4.0,proximity,33.0,constant,exposition
5,Cunégonde,"(maîtresse, (docteur, 44.0))",0.110988330505,0.0,proximity,11.0,constant,exposition
6,Cunégonde,"(maîtresse, (maître, 30.0))",0.298612340847,1.0,proximity,11.0,constant,exposition
7,Cunégonde,"(maîtresse, (bonne, 21.0))",0.0176458631787,2.0,proximity,11.0,constant,exposition
8,Cunégonde,"(maîtresse, (précepteur, 14.5))",0.34423336685,3.0,proximity,11.0,constant,exposition
9,Martin,"(compagnon, (patron, 65.8))",0.202968968961,0.0,proximity,10.0,constant,exposition
10,Martin,"(compagnon, (capitaine, 33.0))",0.252946427442,1.0,proximity,10.0,constant,exposition
11,Pangloss,"(précepteur, (novice, 59.0))",0.201346478745,0.0,proximity,10.0,constant,exposition
12,Pangloss,"(précepteur, (conservateur, 59.0))",0.0364348182412,1.0,proximity,10.0,constant,exposition
13,Pangloss,"(précepteur, (capitaine, 29.6666666667))",0.163408874503,2.0,proximity,10.0,constant,exposition
14,Pangloss,"(précepteur, (docteur, 8.4))",0.0942151652341,3.0,proximity,10.0,constant,exposition
15,Pangloss,"(précepteur, (bonne, 6.0))",0.00815197473139,4.0,proximity,10.0,constant,exposition
16,Pangloss,"(maître, (novice, 59.0))",0.187034789399,0.0,proximity,10.0,constant,exposition
17,Pangloss,"(maître, (conservateur, 59.0))",0.107226797772,1.0,proximity,10.0,constant,exposition
18,Pangloss,"(maître, (capitaine, 29.6666666667))",0.160492415619,2.0,proximity,10.0,constant,exposition
19,Pangloss,"(maître, (docteur, 8.4))",0.245771869285,3.0,proximity,10.0,constant,exposition
20,Pangloss,"(maître, (bonne, 6.0))",0.0905642901122,4.0,proximity,10.0,constant,exposition
21,Pangloss,"(professeur, (novice, 59.0))",0.113700250802,0.0,proximity,10.0,constant,exposition
22,Pangloss,"(professeur, (conservateur, 59.0))",0.160035718257,1.0,proximity,10.0,constant,exposition
23,Pangloss,"(professeur, (capitaine, 29.6666666667))",0.0916679886788,2.0,proximity,10.0,constant,exposition
24,Pangloss,"(professeur, (docteur, 8.4))",0.43498816425,3.0,proximity,10.0,constant,exposition
25,Pangloss,"(professeur, (bonne, 6.0))",-0.00156222372864,4.0,proximity,10.0,constant,exposition
26,Pangloss,"(docteur, (novice, 59.0))",0.0267660608791,0.0,proximity,10.0,constant,exposition
27,Pangloss,"(docteur, (conservateur, 59.0))",0.0977215794373,1.0,proximity,10.0,constant,exposition
28,Pangloss,"(docteur, (capitaine, 29.6666666667))",0.154262764414,2.0,proximity,10.0,constant,exposition
29,Pangloss,"(docteur, (docteur, 8.4))",1.0,3.0,proximity,10.0,constant,exposition
30,Pangloss,"(docteur, (bonne, 6.0))",0.0513683135232,4.0,proximity,10.0,constant,exposition
31,Cacambo,"(valet, (sacristain, 33.0))",0.118785007175,0.0,proximity,10.0,constant,exposition
32,Cacambo,"(valet, (facteur, 33.0))",0.0715200524111,1.0,proximity,10.0,constant,exposition
33,Cacambo,"(valet, (valet, 33.0))",1.0,2.0,proximity,10.0,constant,exposition
34,Cacambo,"(valet, (laquais, 33.0))",0.564288541564,3.0,proximity,10.0,constant,exposition
35,Cacambo,"(valet, (moine, 33.0))",0.146791280392,4.0,proximity,10.0,constant,exposition
36,Issachar,"(inquisiteur, (inquisiteur, 39.2))",1.0,0.0,proximity,9.0,constant,exposition
37,Issachar,"(inquisiteur, (professeur, 14.0))",0.0804463892169,1.0,proximity,9.0,constant,exposition
38,Issachar,"(inquisiteur, (banquier, 12.0))",0.06708460855,2.0,proximity,9.0,constant,exposition
39,Issachar,"(inquisiteur, (cuisinière, 11.0))",0.0954683691278,3.0,proximity,9.0,constant,exposition
40,Issachar,"(inquisiteur, (servante, 5.0))",0.183352674767,4.0,proximity,9.0,constant,exposition
41,Giroflée,"(moine, (marchand, 137.0))",0.160723650614,0.0,proximity,7.0,constant,exposition
42,Giroflée,"(moine, (avocat, 134.0))",0.0879356730521,1.0,proximity,7.0,constant,exposition
43,Giroflée,"(moine, (gondolier, 128.0))",0.0270487164827,2.0,proximity,7.0,constant,exposition
44,Giroflée,"(moine, (moine, 47.5))",1.0,3.0,proximity,7.0,constant,exposition
45,Giroflée,"(moine, (pâtissière, 19.0))",,4.0,proximity,7.0,constant,exposition
