,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (novice, 168.0))",0.187034789399,0.0,proximity,33.0,decreasing,exposition
1,Candide,"(maître, (capitaine, 139.0))",0.160492415619,1.0,proximity,33.0,decreasing,exposition
2,Candide,"(maître, (maître, 99.518254807))",1.0,2.0,proximity,33.0,decreasing,exposition
3,Candide,"(maître, (docteur, 86.1778903133))",0.245771869285,3.0,proximity,33.0,decreasing,exposition
4,Candide,"(maître, (chef, 75.0))",0.24575255013,4.0,proximity,33.0,decreasing,exposition
5,Cunégonde,"(maîtresse, (docteur, 36.2961307234))",0.110988330505,0.0,proximity,11.0,decreasing,exposition
6,Cunégonde,"(maîtresse, (maître, 26.2500385905))",0.298612340847,1.0,proximity,11.0,decreasing,exposition
7,Cunégonde,"(maîtresse, (bonne, 21.9329065011))",0.0176458631787,2.0,proximity,11.0,decreasing,exposition
8,Cunégonde,"(maîtresse, (précepteur, 14.5))",0.34423336685,3.0,proximity,11.0,decreasing,exposition
9,Martin,"(compagnon, (patron, 106.002639318))",0.202968968961,0.0,proximity,10.0,decreasing,exposition
10,Martin,"(compagnon, (capitaine, 41.4210024293))",0.252946427442,1.0,proximity,10.0,decreasing,exposition
11,Pangloss,"(précepteur, (conservateur, 56.5316905308))",0.0364348182412,0.0,proximity,10.0,decreasing,exposition
12,Pangloss,"(précepteur, (bonne, 7.68755041436))",0.00815197473139,1.0,proximity,10.0,decreasing,exposition
13,Pangloss,"(précepteur, (docteur, 6.28138438088))",0.0942151652341,2.0,proximity,10.0,decreasing,exposition
14,Pangloss,"(précepteur, (maître, 0.659972815426))",0.192645937737,3.0,proximity,10.0,decreasing,exposition
15,Pangloss,"(précepteur, (précepteur, 0.449254337212))",1.0,4.0,proximity,10.0,decreasing,exposition
16,Pangloss,"(maître, (conservateur, 56.5316905308))",0.107226797772,0.0,proximity,10.0,decreasing,exposition
17,Pangloss,"(maître, (bonne, 7.68755041436))",0.0905642901122,1.0,proximity,10.0,decreasing,exposition
18,Pangloss,"(maître, (docteur, 6.28138438088))",0.245771869285,2.0,proximity,10.0,decreasing,exposition
19,Pangloss,"(maître, (maître, 0.659972815426))",1.0,3.0,proximity,10.0,decreasing,exposition
20,Pangloss,"(maître, (précepteur, 0.449254337212))",0.192645937737,4.0,proximity,10.0,decreasing,exposition
21,Pangloss,"(professeur, (conservateur, 56.5316905308))",0.160035718257,0.0,proximity,10.0,decreasing,exposition
22,Pangloss,"(professeur, (bonne, 7.68755041436))",-0.00156222372864,1.0,proximity,10.0,decreasing,exposition
23,Pangloss,"(professeur, (docteur, 6.28138438088))",0.43498816425,2.0,proximity,10.0,decreasing,exposition
24,Pangloss,"(professeur, (maître, 0.659972815426))",0.346125715885,3.0,proximity,10.0,decreasing,exposition
25,Pangloss,"(professeur, (précepteur, 0.449254337212))",0.206032785291,4.0,proximity,10.0,decreasing,exposition
26,Pangloss,"(docteur, (conservateur, 56.5316905308))",0.0977215794373,0.0,proximity,10.0,decreasing,exposition
27,Pangloss,"(docteur, (bonne, 7.68755041436))",0.0513683135232,1.0,proximity,10.0,decreasing,exposition
28,Pangloss,"(docteur, (docteur, 6.28138438088))",1.0,2.0,proximity,10.0,decreasing,exposition
29,Pangloss,"(docteur, (maître, 0.659972815426))",0.245771869285,3.0,proximity,10.0,decreasing,exposition
30,Pangloss,"(docteur, (précepteur, 0.449254337212))",0.0942151652341,4.0,proximity,10.0,decreasing,exposition
31,Cacambo,"(valet, (laquais, 38.1383307839))",0.564288541564,0.0,proximity,10.0,decreasing,exposition
32,Cacambo,"(valet, (facteur, 37.4295955034))",0.0715200524111,1.0,proximity,10.0,decreasing,exposition
33,Cacambo,"(valet, (moine, 37.0752278631))",0.146791280392,2.0,proximity,10.0,decreasing,exposition
34,Cacambo,"(valet, (matelot, 36.7208602228))",0.219573687661,3.0,proximity,10.0,decreasing,exposition
35,Cacambo,"(valet, (sacristain, 36.3664925826))",0.118785007175,4.0,proximity,10.0,decreasing,exposition
36,Issachar,"(inquisiteur, (inquisiteur, 34.1633963923))",1.0,0.0,proximity,9.0,decreasing,exposition
37,Issachar,"(inquisiteur, (banquier, 12.0))",0.06708460855,1.0,proximity,9.0,decreasing,exposition
38,Issachar,"(inquisiteur, (cuisinière, 11.0))",0.0954683691278,2.0,proximity,9.0,decreasing,exposition
39,Issachar,"(inquisiteur, (docteur, 3.77920087846))",0.0751051295798,3.0,proximity,9.0,decreasing,exposition
40,Issachar,"(inquisiteur, (capitaine, 1.63840496176))",0.147629220039,4.0,proximity,9.0,decreasing,exposition
41,Giroflée,"(moine, (marchand, 137.0))",0.160723650614,0.0,proximity,7.0,decreasing,exposition
42,Giroflée,"(moine, (avocat, 134.0))",0.0879356730521,1.0,proximity,7.0,decreasing,exposition
43,Giroflée,"(moine, (gondolier, 128.0))",0.0270487164827,2.0,proximity,7.0,decreasing,exposition
44,Giroflée,"(moine, (moine, 46.2440299769))",1.0,3.0,proximity,7.0,decreasing,exposition
