,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (mousse, 151.0))",0.0457222537987,0.0,proximity,339.0,constant,full
1,Candide,"(maître, (avocat, 105.0))",0.249524382218,1.0,proximity,339.0,constant,full
2,Candide,"(maître, (novice, 103.5))",0.187034789399,2.0,proximity,339.0,constant,full
3,Candide,"(maître, (général, 100.4))",0.0945025589207,3.0,proximity,339.0,constant,full
4,Candide,"(maître, (juge, 92.0))",0.171298021789,4.0,proximity,339.0,constant,full
5,Cunégonde,"(maîtresse, (cuisinière, 42.5))",0.210188653403,0.0,proximity,118.0,constant,full
6,Cunégonde,"(maîtresse, (commis, 30.3333333333))",0.205807201099,1.0,proximity,118.0,constant,full
7,Cunégonde,"(maîtresse, (inquisiteur, 23.5714285714))",0.155193323698,2.0,proximity,118.0,constant,full
8,Cunégonde,"(maîtresse, (menuisier, 22.5))",0.126643137802,3.0,proximity,118.0,constant,full
9,Cunégonde,"(maîtresse, (docteur, 20.5555555556))",0.110988330505,4.0,proximity,118.0,constant,full
10,Martin,"(compagnon, (correcteur, 187.0))",0.0296659910099,0.0,proximity,98.0,constant,full
11,Martin,"(compagnon, (avocat, 57.0))",0.100621845681,1.0,proximity,98.0,constant,full
12,Martin,"(compagnon, (gondolier, 41.25))",0.0858453631032,2.0,proximity,98.0,constant,full
13,Martin,"(compagnon, (laquais, 29.7142857143))",0.170046104828,3.0,proximity,98.0,constant,full
14,Martin,"(compagnon, (juge, 29.5))",0.0561095155953,4.0,proximity,98.0,constant,full
15,Pangloss,"(précepteur, (avoué, 60.5))",0.0798651792166,0.0,proximity,88.0,constant,full
16,Pangloss,"(précepteur, (conservateur, 59.0))",0.0364348182412,1.0,proximity,88.0,constant,full
17,Pangloss,"(précepteur, (cuisinière, 49.2857142857))",0.137689950275,2.0,proximity,88.0,constant,full
18,Pangloss,"(précepteur, (estafier, 45.0))",,3.0,proximity,88.0,constant,full
19,Pangloss,"(précepteur, (novice, 36.75))",0.201346478745,4.0,proximity,88.0,constant,full
20,Pangloss,"(maître, (avoué, 60.5))",0.168319412627,0.0,proximity,88.0,constant,full
21,Pangloss,"(maître, (conservateur, 59.0))",0.107226797772,1.0,proximity,88.0,constant,full
22,Pangloss,"(maître, (cuisinière, 49.2857142857))",0.103132760433,2.0,proximity,88.0,constant,full
23,Pangloss,"(maître, (estafier, 45.0))",,3.0,proximity,88.0,constant,full
24,Pangloss,"(maître, (novice, 36.75))",0.187034789399,4.0,proximity,88.0,constant,full
25,Pangloss,"(professeur, (avoué, 60.5))",0.0835299346646,0.0,proximity,88.0,constant,full
26,Pangloss,"(professeur, (conservateur, 59.0))",0.160035718257,1.0,proximity,88.0,constant,full
27,Pangloss,"(professeur, (cuisinière, 49.2857142857))",0.0366829447259,2.0,proximity,88.0,constant,full
28,Pangloss,"(professeur, (estafier, 45.0))",,3.0,proximity,88.0,constant,full
29,Pangloss,"(professeur, (novice, 36.75))",0.113700250802,4.0,proximity,88.0,constant,full
30,Pangloss,"(docteur, (avoué, 60.5))",0.084816812096,0.0,proximity,88.0,constant,full
31,Pangloss,"(docteur, (conservateur, 59.0))",0.0977215794373,1.0,proximity,88.0,constant,full
32,Pangloss,"(docteur, (cuisinière, 49.2857142857))",0.0775121313675,2.0,proximity,88.0,constant,full
33,Pangloss,"(docteur, (estafier, 45.0))",,3.0,proximity,88.0,constant,full
34,Pangloss,"(docteur, (novice, 36.75))",0.0267660608791,4.0,proximity,88.0,constant,full
35,Cacambo,"(valet, (colonel, 65.5))",0.121851947517,0.0,proximity,80.0,constant,full
36,Cacambo,"(valet, (mousse, 60.6666666667))",0.0372167766891,1.0,proximity,80.0,constant,full
37,Cacambo,"(valet, (domestique, 44.0))",0.115863284376,2.0,proximity,80.0,constant,full
38,Cacambo,"(valet, (maîtresse, 19.09375))",0.352198265214,3.0,proximity,80.0,constant,full
39,Cacambo,"(valet, (officier, 18.9))",0.16878782241,4.0,proximity,80.0,constant,full
40,Issachar,"(inquisiteur, (professeur, 14.0))",0.0804463892169,0.0,proximity,9.0,constant,full
41,Issachar,"(inquisiteur, (banquier, 8.0))",0.06708460855,1.0,proximity,9.0,constant,full
42,Issachar,"(inquisiteur, (inquisiteur, 7.25925925926))",1.0,2.0,proximity,9.0,constant,full
43,Issachar,"(inquisiteur, (servante, 5.0))",0.183352674767,3.0,proximity,9.0,constant,full
44,Issachar,"(inquisiteur, (cuisinière, 1.375))",0.0954683691278,4.0,proximity,9.0,constant,full
45,Giroflée,"(moine, (avocat, 44.6666666667))",0.0879356730521,0.0,proximity,7.0,constant,full
46,Giroflée,"(moine, (gondolier, 25.6))",0.0270487164827,1.0,proximity,7.0,constant,full
47,Giroflée,"(moine, (moine, 14.6153846154))",1.0,2.0,proximity,7.0,constant,full
48,Giroflée,"(moine, (marchand, 12.4545454545))",0.160723650614,3.0,proximity,7.0,constant,full
49,Giroflée,"(moine, (pâtissière, 3.16666666667))",,4.0,proximity,7.0,constant,full
