,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Candide,"(maître, (mousse, 151.0))",0.0457222537987,0.0,proximity,339.0,decreasing,full
1,Candide,"(maître, (novice, 125.113649539))",0.187034789399,1.0,proximity,339.0,decreasing,full
2,Candide,"(maître, (avocat, 105.0))",0.249524382218,2.0,proximity,339.0,decreasing,full
3,Candide,"(maître, (juge, 92.0))",0.171298021789,3.0,proximity,339.0,decreasing,full
4,Candide,"(maître, (joaillier, 89.0))",0.174496720086,4.0,proximity,339.0,decreasing,full
5,Cunégonde,"(maîtresse, (cuisinière, 35.7791472784))",0.210188653403,0.0,proximity,118.0,decreasing,full
6,Cunégonde,"(maîtresse, (menuisier, 33.4046509578))",0.126643137802,1.0,proximity,118.0,decreasing,full
7,Cunégonde,"(maîtresse, (docteur, 28.6118007346))",0.110988330505,2.0,proximity,118.0,decreasing,full
8,Cunégonde,"(maîtresse, (commis, 28.4668696595))",0.205807201099,3.0,proximity,118.0,decreasing,full
9,Cunégonde,"(maîtresse, (général, 18.9025364436))",0.0334463631745,4.0,proximity,118.0,decreasing,full
10,Martin,"(compagnon, (correcteur, 187.0))",0.0296659910099,0.0,proximity,98.0,decreasing,full
11,Martin,"(compagnon, (avocat, 78.9362898838))",0.100621845681,1.0,proximity,98.0,decreasing,full
12,Martin,"(compagnon, (gondolier, 58.3319754477))",0.0858453631032,2.0,proximity,98.0,decreasing,full
13,Martin,"(compagnon, (patron, 41.4652348687))",0.202968968961,3.0,proximity,98.0,decreasing,full
14,Martin,"(compagnon, (laquais, 36.3020433023))",0.170046104828,4.0,proximity,98.0,decreasing,full
15,Pangloss,"(précepteur, (avoué, 84.1773201203))",0.0798651792166,0.0,proximity,88.0,decreasing,full
16,Pangloss,"(précepteur, (conservateur, 56.3374255999))",0.0364348182412,1.0,proximity,88.0,decreasing,full
17,Pangloss,"(précepteur, (estafier, 45.0))",,2.0,proximity,88.0,decreasing,full
18,Pangloss,"(précepteur, (novice, 40.4370559953))",0.201346478745,3.0,proximity,88.0,decreasing,full
19,Pangloss,"(précepteur, (cuisinière, 38.0112077568))",0.137689950275,4.0,proximity,88.0,decreasing,full
20,Pangloss,"(maître, (avoué, 84.1773201203))",0.168319412627,0.0,proximity,88.0,decreasing,full
21,Pangloss,"(maître, (conservateur, 56.3374255999))",0.107226797772,1.0,proximity,88.0,decreasing,full
22,Pangloss,"(maître, (estafier, 45.0))",,2.0,proximity,88.0,decreasing,full
23,Pangloss,"(maître, (novice, 40.4370559953))",0.187034789399,3.0,proximity,88.0,decreasing,full
24,Pangloss,"(maître, (cuisinière, 38.0112077568))",0.103132760433,4.0,proximity,88.0,decreasing,full
25,Pangloss,"(professeur, (avoué, 84.1773201203))",0.0835299346646,0.0,proximity,88.0,decreasing,full
26,Pangloss,"(professeur, (conservateur, 56.3374255999))",0.160035718257,1.0,proximity,88.0,decreasing,full
27,Pangloss,"(professeur, (estafier, 45.0))",,2.0,proximity,88.0,decreasing,full
28,Pangloss,"(professeur, (novice, 40.4370559953))",0.113700250802,3.0,proximity,88.0,decreasing,full
29,Pangloss,"(professeur, (cuisinière, 38.0112077568))",0.0366829447259,4.0,proximity,88.0,decreasing,full
30,Pangloss,"(docteur, (avoué, 84.1773201203))",0.084816812096,0.0,proximity,88.0,decreasing,full
31,Pangloss,"(docteur, (conservateur, 56.3374255999))",0.0977215794373,1.0,proximity,88.0,decreasing,full
32,Pangloss,"(docteur, (estafier, 45.0))",,2.0,proximity,88.0,decreasing,full
33,Pangloss,"(docteur, (novice, 40.4370559953))",0.0267660608791,3.0,proximity,88.0,decreasing,full
34,Pangloss,"(docteur, (cuisinière, 38.0112077568))",0.0775121313675,4.0,proximity,88.0,decreasing,full
35,Cacambo,"(valet, (colonel, 82.2204233748))",0.121851947517,0.0,proximity,80.0,decreasing,full
36,Cacambo,"(valet, (mousse, 65.807056121))",0.0372167766891,1.0,proximity,80.0,decreasing,full
37,Cacambo,"(valet, (domestique, 49.1272635839))",0.115863284376,2.0,proximity,80.0,decreasing,full
38,Cacambo,"(valet, (facteur, 26.3151661909))",0.0715200524111,3.0,proximity,80.0,decreasing,full
39,Cacambo,"(valet, (sacristain, 25.9293578672))",0.118785007175,4.0,proximity,80.0,decreasing,full
40,Issachar,"(inquisiteur, (banquier, 10.1351427834))",0.06708460855,0.0,proximity,9.0,decreasing,full
41,Issachar,"(inquisiteur, (inquisiteur, 4.53035153127))",1.0,1.0,proximity,9.0,decreasing,full
42,Issachar,"(inquisiteur, (docteur, 0.992457156341))",0.0751051295798,2.0,proximity,9.0,decreasing,full
43,Issachar,"(inquisiteur, (cuisinière, 0.721735801133))",0.0954683691278,3.0,proximity,9.0,decreasing,full
44,Issachar,"(inquisiteur, (capitaine, 0.0710033861537))",0.147629220039,4.0,proximity,9.0,decreasing,full
45,Giroflée,"(moine, (avocat, 92.020590649))",0.0879356730521,0.0,proximity,7.0,decreasing,full
46,Giroflée,"(moine, (gondolier, 69.5781780852))",0.0270487164827,1.0,proximity,7.0,decreasing,full
47,Giroflée,"(moine, (marchand, 25.6841717637))",0.160723650614,2.0,proximity,7.0,decreasing,full
48,Giroflée,"(moine, (moine, 17.943151317))",1.0,3.0,proximity,7.0,decreasing,full
49,Giroflée,"(moine, (menuisier, -0.0))",0.112739151071,4.0,proximity,7.0,decreasing,full
