,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Candide,pos,4.0,14.6826041667,0.0,18.3173958333,29.0,24.696875
1,Cunégonde,pos,2.0,4.39348484848,0.0,6.60651515152,9.0,6.87159090909
2,Martin,neutral,1.0,5.03416666667,1.0,4.96583333333,8.0,7.47916666667
3,Pangloss,pos,2.0,4.92125,1.0,5.07875,7.0,6.775
4,Cacambo,pos,3.0,3.39916666667,0.0,6.60083333333,7.0,5.89166666667
5,Thunder-ten-tronckh,pos,2.0,4.00291666667,1.0,5.99708333333,7.0,6.16583333333
6,Issachar,pos,2.0,3.87383333333,0.0,5.12616666667,7.0,6.218
7,Oreillons,neutral,0.0,3.8205,0.0,4.1795,8.0,6.64666666667
8,Jacques,pos,1.0,3.81316666667,0.0,4.18683333333,7.0,6.61666666667
9,Giroflée,pos,2.0,2.94181818182,0.0,4.05818181818,5.0,4.82575757576
10,Espagne,neutral,1.0,2.8,1.0,3.2,4.0,3.6
