,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Candide,pos,1.0,9.03458333333,0.0,10.9654166667,19.0,16.6641666667
1,Cunégonde,pos,2.0,4.41666666667,0.0,5.58333333333,8.0,8.46666666667
2,Martin,neg,0.0,5.37125,1.0,4.62875,9.0,8.325
3,Pangloss,neg,0.0,5.06347222222,1.0,4.93652777778,9.0,8.42361111111
4,Cacambo,pos,2.0,4.70791666667,0.0,5.29208333333,8.0,7.39
5,Thunder-ten-tronckh,pos,2.0,1.43791666667,0.0,2.56208333333,2.0,1.74583333333
6,Issachar,pos,2.0,3.28833333333,0.0,4.71166666667,6.0,5.63
7,Oreillons,neutral,0.0,2.3075,0.0,2.6925,5.0,4.31666666667
8,Jacques,neutral,0.0,1.87166666667,0.0,2.12833333333,4.0,3.61666666667
9,Giroflée,neutral,0.0,1.55,0.0,1.45,3.0,2.76666666667
10,Espagne,neg,0.0,1.725,1.0,1.275,2.0,1.7
