,Character,Name_score
0,Gervaise,0.0
1,Coupeau,0.0
2,Lantier,0.0
3,Lorilleux,0.0
4,Boche,0.0
5,Nana,0.78
6,Virginie,1.0
7,Goujet,0.0
8,Poisson,1.0
9,Clémence,1.0
10,Lerat,0.0
11,Mes-Bottes,0.0
12,Étienne,0.0
13,MMadinier,-0.74
14,Bibi-la-Grillade,0.0
15,Augustine,-0.73
16,Putois,0.0
17,Fauconnier,0.0
18,Bazouge,0.0
19,Remanjou,0.0
20,Lalie,1.0
21,Bec-Salé,0.0
22,Pauline,1.0
23,Banban,-1.0
24,Gaudron,0.0
25,Boit-sans-Soif,0.0
26,Bru,-0.56
27,Claude,-0.81
28,Léonie,1.0
29,Fifine,0.0
30,Victor,-1.0
31,Charles,-1.0
32,Titreville,0.0
33,Cadet-Cassis,0.0
34,Jules,0.59
35,Henriette,1.0
36,Auguste,-0.92
37,Baquet,0.0
