,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (concierge, 5))",,0.0,count,68.0,constant,exposition
1,Gervaise,"(blanchisseuse, (zingueur, 2))",,1.0,count,68.0,constant,exposition
2,Gervaise,"(blanchisseuse, (blanchisseuse, 2))",,2.0,count,68.0,constant,exposition
3,Gervaise,"(blanchisseuse, (boulanger, 2))",,3.0,count,68.0,constant,exposition
4,Gervaise,"(blanchisseuse, (ouvrier, 2))",,4.0,count,68.0,constant,exposition
5,Coupeau,"(zingueur, (zingueur, 10))",1.0,0.0,count,53.0,constant,exposition
6,Coupeau,"(zingueur, (ouvrier, 6))",0.379012807931,1.0,count,53.0,constant,exposition
7,Coupeau,"(zingueur, (blanchisseuse, 2))",,2.0,count,53.0,constant,exposition
8,Coupeau,"(zingueur, (concierge, 2))",0.167139275075,3.0,count,53.0,constant,exposition
9,Coupeau,"(zingueur, (marchand, 2))",0.143531094062,4.0,count,53.0,constant,exposition
10,Lantier,"(tanneur, (blanchisseuse, 2))",,0.0,count,24.0,constant,exposition
11,Lantier,"(tanneur, (zingueur, 1))",0.174131168073,1.0,count,24.0,constant,exposition
12,Lantier,"(tanneur, (laitière, 1))",0.0742425524243,2.0,count,24.0,constant,exposition
13,Lantier,"(tanneur, (chapelier, 1))",0.163784224972,3.0,count,24.0,constant,exposition
14,Lantier,"(tanneur, (bonne, 1))",0.0356752342901,4.0,count,24.0,constant,exposition
15,Lantier,"(chapelier, (blanchisseuse, 2))",,0.0,count,24.0,constant,exposition
16,Lantier,"(chapelier, (zingueur, 1))",0.15476016278,1.0,count,24.0,constant,exposition
17,Lantier,"(chapelier, (laitière, 1))",0.105977758007,2.0,count,24.0,constant,exposition
18,Lantier,"(chapelier, (chapelier, 1))",1.0,3.0,count,24.0,constant,exposition
19,Lantier,"(chapelier, (bonne, 1))",0.0998988616375,4.0,count,24.0,constant,exposition
20,Lorilleux,"(bijoutier, (dessinateur, 1))",0.166350398206,0.0,count,21.0,constant,exposition
21,Lorilleux,"(bijoutier, (poseur, 1))",0.153036750889,1.0,count,21.0,constant,exposition
22,Lorilleux,"(bijoutier, (marchand, 1))",0.252196077704,2.0,count,21.0,constant,exposition
23,Lorilleux,"(bijoutier, (zingueur, 1))",0.230624141598,3.0,count,21.0,constant,exposition
24,Lorilleux,"(bijoutier, (ouvrier, 1))",0.256228276726,4.0,count,21.0,constant,exposition
25,Boche,"(concierge, (concierge, 2))",1.0,0.0,count,17.0,constant,exposition
26,Boche,"(concierge, (blanchisseuse, 1))",,1.0,count,17.0,constant,exposition
27,Nana,"(courtisane, (concierge, 2))",0.183016796272,0.0,count,15.0,constant,exposition
28,Nana,"(courtisane, (médecin, 1))",0.0744466612034,1.0,count,15.0,constant,exposition
29,Nana,"(courtisane, (portière, 1))",0.0329760517017,2.0,count,15.0,constant,exposition
30,Nana,"(courtisane, (patronne, 1))",0.253949656735,3.0,count,15.0,constant,exposition
31,Nana,"(courtisane, (maîtresse, 1))",0.40716025142,4.0,count,15.0,constant,exposition
32,Virginie,"(laveuse, (concierge, 1))",0.155343066244,0.0,count,13.0,constant,exposition
33,Goujet,"(forgeron, (blanchisseuse, 2))",,0.0,count,11.0,constant,exposition
34,Goujet,"(forgeron, (ouvrier, 2))",0.338424376779,1.0,count,11.0,constant,exposition
35,Goujet,"(forgeron, (calicot, 1))",0.0965118662191,2.0,count,11.0,constant,exposition
36,Goujet,"(forgeron, (forgeron, 1))",1.0,3.0,count,11.0,constant,exposition
37,Goujet,"(forgeron, (cloutier, 1))",0.284308663482,4.0,count,11.0,constant,exposition
38,Poisson,"(épicier, (blanchisseuse, 2))",,0.0,count,10.0,constant,exposition
39,Poisson,"(épicier, (ébéniste, 1))",0.333053561878,1.0,count,10.0,constant,exposition
40,Poisson,"(épicier, (couturière, 1))",0.278056308118,2.0,count,10.0,constant,exposition
41,Poisson,"(épicier, (brunisseuse, 1))",,3.0,count,10.0,constant,exposition
42,Poisson,"(patron, (blanchisseuse, 2))",,0.0,count,10.0,constant,exposition
43,Poisson,"(patron, (ébéniste, 1))",0.101173583028,1.0,count,10.0,constant,exposition
44,Poisson,"(patron, (couturière, 1))",0.221888644607,2.0,count,10.0,constant,exposition
45,Poisson,"(patron, (brunisseuse, 1))",,3.0,count,10.0,constant,exposition
46,Clémence,"(ouvrière, (ouvrière, 1))",1.0,0.0,count,10.0,constant,exposition
47,Clémence,"(ouvrière, (patronne, 1))",0.0908681394102,1.0,count,10.0,constant,exposition
48,Clémence,"(ouvrière, (repasseuse, 1))",0.0284644389501,2.0,count,10.0,constant,exposition
49,Clémence,"(ouvrière, (balancier, 1))",0.0500841600655,3.0,count,10.0,constant,exposition
50,Clémence,"(ouvrière, (apprentie, 1))",0.0491525414031,4.0,count,10.0,constant,exposition
51,Lerat,"(fleuriste, (marchand, 2))",0.124795739859,0.0,count,10.0,constant,exposition
52,Lerat,"(fleuriste, (cardeuse, 1))",,1.0,count,10.0,constant,exposition
53,Lerat,"(fleuriste, (comique, 1))",0.0135705997524,2.0,count,10.0,constant,exposition
