,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (brunisseuse, 4.10828207007))",,0.0,count,68.0,decreasing,exposition
1,Gervaise,"(blanchisseuse, (concierge, 3.30944434272))",,1.0,count,68.0,decreasing,exposition
2,Gervaise,"(blanchisseuse, (ouvrier, 1.7952256772))",,2.0,count,68.0,decreasing,exposition
3,Gervaise,"(blanchisseuse, (laitière, 1.17498526745))",,3.0,count,68.0,decreasing,exposition
4,Gervaise,"(blanchisseuse, (bonne, 1.17498526745))",,4.0,count,68.0,decreasing,exposition
5,Coupeau,"(zingueur, (zingueur, 12.9939695674))",1.0,0.0,count,53.0,decreasing,exposition
6,Coupeau,"(zingueur, (ouvrier, 10.7397102234))",0.379012807931,1.0,count,53.0,decreasing,exposition
7,Coupeau,"(zingueur, (blanchisseuse, 5.45567717732))",,2.0,count,53.0,decreasing,exposition
8,Coupeau,"(zingueur, (marchand, 1.72597572868))",0.143531094062,3.0,count,53.0,decreasing,exposition
9,Coupeau,"(zingueur, (patronne, 1.66770682056))",0.115908744909,4.0,count,53.0,decreasing,exposition
10,Lantier,"(tanneur, (brunisseuse, 2.48490664979))",,0.0,count,24.0,decreasing,exposition
11,Lantier,"(tanneur, (zingueur, 1.38629436112))",0.174131168073,1.0,count,24.0,decreasing,exposition
12,Lantier,"(tanneur, (ouvrier, 1.38629436112))",0.169502132612,2.0,count,24.0,decreasing,exposition
13,Lantier,"(tanneur, (blanchisseuse, 0.405465108108))",,3.0,count,24.0,decreasing,exposition
14,Lantier,"(tanneur, (laitière, 0.133531392625))",0.0742425524243,4.0,count,24.0,decreasing,exposition
15,Lantier,"(chapelier, (brunisseuse, 2.48490664979))",,0.0,count,24.0,decreasing,exposition
16,Lantier,"(chapelier, (zingueur, 1.38629436112))",0.15476016278,1.0,count,24.0,decreasing,exposition
17,Lantier,"(chapelier, (ouvrier, 1.38629436112))",0.185732937289,2.0,count,24.0,decreasing,exposition
18,Lantier,"(chapelier, (blanchisseuse, 0.405465108108))",,3.0,count,24.0,decreasing,exposition
19,Lantier,"(chapelier, (laitière, 0.133531392625))",0.105977758007,4.0,count,24.0,decreasing,exposition
20,Lorilleux,"(bijoutier, (zingueur, 1.94591014906))",0.230624141598,0.0,count,21.0,decreasing,exposition
21,Lorilleux,"(bijoutier, (ouvrier, 1.09861228867))",0.256228276726,1.0,count,21.0,decreasing,exposition
