,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (blanchisseuse, 38))",,0.0,count,681.0,constant,full
1,Gervaise,"(blanchisseuse, (bonne, 30))",,1.0,count,681.0,constant,full
2,Gervaise,"(blanchisseuse, (zingueur, 24))",,2.0,count,681.0,constant,full
3,Gervaise,"(blanchisseuse, (chapelier, 23))",,3.0,count,681.0,constant,full
4,Gervaise,"(blanchisseuse, (concierge, 16))",,4.0,count,681.0,constant,full
5,Coupeau,"(zingueur, (zingueur, 48))",1.0,0.0,count,539.0,constant,full
6,Coupeau,"(zingueur, (blanchisseuse, 28))",,1.0,count,539.0,constant,full
7,Coupeau,"(zingueur, (chapelier, 27))",0.15476016278,2.0,count,539.0,constant,full
8,Coupeau,"(zingueur, (bonne, 18))",0.0393903453595,3.0,count,539.0,constant,full
9,Coupeau,"(zingueur, (patron, 16))",0.116546424509,4.0,count,539.0,constant,full
10,Lantier,"(tanneur, (chapelier, 29))",0.163784224972,0.0,count,243.0,constant,full
11,Lantier,"(tanneur, (blanchisseuse, 25))",,1.0,count,243.0,constant,full
12,Lantier,"(tanneur, (zingueur, 18))",0.174131168073,2.0,count,243.0,constant,full
13,Lantier,"(tanneur, (bonne, 13))",0.0356752342901,3.0,count,243.0,constant,full
14,Lantier,"(tanneur, (tripière, 5))",,4.0,count,243.0,constant,full
15,Lantier,"(chapelier, (chapelier, 29))",1.0,0.0,count,243.0,constant,full
16,Lantier,"(chapelier, (blanchisseuse, 25))",,1.0,count,243.0,constant,full
17,Lantier,"(chapelier, (zingueur, 18))",0.15476016278,2.0,count,243.0,constant,full
18,Lantier,"(chapelier, (bonne, 13))",0.0998988616375,3.0,count,243.0,constant,full
19,Lantier,"(chapelier, (tripière, 5))",,4.0,count,243.0,constant,full
20,Lorilleux,"(bijoutier, (blanchisseuse, 10))",,0.0,count,211.0,constant,full
21,Lorilleux,"(bijoutier, (bonne, 7))",0.0739934252484,1.0,count,211.0,constant,full
22,Lorilleux,"(bijoutier, (marchand, 6))",0.252196077704,2.0,count,211.0,constant,full
23,Lorilleux,"(bijoutier, (chapelier, 5))",0.172526671114,3.0,count,211.0,constant,full
24,Lorilleux,"(bijoutier, (ouvrier, 4))",0.256228276726,4.0,count,211.0,constant,full
25,Boche,"(concierge, (blanchisseuse, 11))",,0.0,count,176.0,constant,full
26,Boche,"(concierge, (concierge, 10))",1.0,1.0,count,176.0,constant,full
27,Boche,"(concierge, (marchand, 8))",0.105354889199,2.0,count,176.0,constant,full
28,Boche,"(concierge, (bonne, 8))",0.0266490015837,3.0,count,176.0,constant,full
29,Boche,"(concierge, (zingueur, 6))",0.167139275075,4.0,count,176.0,constant,full
30,Nana,"(courtisane, (zingueur, 7))",0.0998379223846,0.0,count,151.0,constant,full
31,Nana,"(courtisane, (patronne, 6))",0.253949656735,1.0,count,151.0,constant,full
32,Nana,"(courtisane, (bonne, 6))",0.0329941485494,2.0,count,151.0,constant,full
33,Nana,"(courtisane, (ouvrière, 5))",-0.0163531679581,3.0,count,151.0,constant,full
34,Nana,"(courtisane, (chapelier, 5))",0.109778898352,4.0,count,151.0,constant,full
35,Virginie,"(laveuse, (blanchisseuse, 17))",,0.0,count,136.0,constant,full
36,Virginie,"(laveuse, (chapelier, 16))",0.0474741897759,1.0,count,136.0,constant,full
37,Virginie,"(laveuse, (épicière, 4))",,2.0,count,136.0,constant,full
38,Virginie,"(laveuse, (couturière, 4))",0.161937502111,3.0,count,136.0,constant,full
39,Virginie,"(laveuse, (forgeron, 3))",0.0935070114326,4.0,count,136.0,constant,full
40,Goujet,"(forgeron, (blanchisseuse, 19))",,0.0,count,110.0,constant,full
41,Goujet,"(forgeron, (forgeron, 14))",1.0,1.0,count,110.0,constant,full
42,Goujet,"(forgeron, (bonne, 6))",0.0473338376056,2.0,count,110.0,constant,full
43,Goujet,"(forgeron, (marchand, 4))",0.274087756125,3.0,count,110.0,constant,full
44,Goujet,"(forgeron, (ouvrier, 4))",0.338424376779,4.0,count,110.0,constant,full
45,Poisson,"(épicier, (chapelier, 8))",0.242312391182,0.0,count,81.0,constant,full
46,Poisson,"(épicier, (blanchisseuse, 6))",,1.0,count,81.0,constant,full
47,Poisson,"(épicier, (zingueur, 3))",0.274057633172,2.0,count,81.0,constant,full
48,Poisson,"(épicier, (patronne, 3))",0.206278246861,3.0,count,81.0,constant,full
49,Poisson,"(épicier, (bonne, 3))",0.0332059074732,4.0,count,81.0,constant,full
50,Poisson,"(patron, (chapelier, 8))",0.126851520338,0.0,count,81.0,constant,full
51,Poisson,"(patron, (blanchisseuse, 6))",,1.0,count,81.0,constant,full
52,Poisson,"(patron, (zingueur, 3))",0.116546424509,2.0,count,81.0,constant,full
53,Poisson,"(patron, (patronne, 3))",0.50007737159,3.0,count,81.0,constant,full
54,Poisson,"(patron, (bonne, 3))",0.0433745049986,4.0,count,81.0,constant,full
55,Clémence,"(ouvrière, (apprentie, 7))",0.0491525414031,0.0,count,71.0,constant,full
56,Clémence,"(ouvrière, (ouvrière, 5))",1.0,1.0,count,71.0,constant,full
57,Clémence,"(ouvrière, (patronne, 5))",0.0908681394102,2.0,count,71.0,constant,full
58,Clémence,"(ouvrière, (zingueur, 3))",0.0478278106213,3.0,count,71.0,constant,full
59,Clémence,"(ouvrière, (blanchisseuse, 3))",,4.0,count,71.0,constant,full
60,Lerat,"(fleuriste, (blanchisseuse, 7))",,0.0,count,67.0,constant,full
61,Lerat,"(fleuriste, (chapelier, 6))",0.0387972049106,1.0,count,67.0,constant,full
62,Lerat,"(fleuriste, (ouvrière, 4))",0.0445621916333,2.0,count,67.0,constant,full
63,Lerat,"(fleuriste, (fleuriste, 3))",1.0,3.0,count,67.0,constant,full
64,Lerat,"(fleuriste, (marchand, 2))",0.124795739859,4.0,count,67.0,constant,full
65,Étienne,"(ouvrier, (ouvrier, 4))",1.0,0.0,count,54.0,constant,full
66,Étienne,"(ouvrier, (forgeron, 3))",0.338424376779,1.0,count,54.0,constant,full
67,Étienne,"(ouvrier, (blanchisseuse, 3))",,2.0,count,54.0,constant,full
