,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (blanchisseuse, 29.2495623052))",,0.0,count,681.0,decreasing,full
1,Gervaise,"(blanchisseuse, (concierge, 25.2498854939))",,1.0,count,681.0,decreasing,full
2,Gervaise,"(blanchisseuse, (bonne, 23.9318627876))",,2.0,count,681.0,decreasing,full
3,Gervaise,"(blanchisseuse, (zingueur, 22.2389482152))",,3.0,count,681.0,decreasing,full
4,Gervaise,"(blanchisseuse, (marchand, 17.7463270105))",,4.0,count,681.0,decreasing,full
5,Coupeau,"(zingueur, (zingueur, 64.5441721036))",1.0,0.0,count,539.0,decreasing,full
6,Coupeau,"(zingueur, (ouvrier, 26.825076995))",0.379012807931,1.0,count,539.0,decreasing,full
7,Coupeau,"(zingueur, (blanchisseuse, 25.2566319028))",,2.0,count,539.0,decreasing,full
8,Coupeau,"(zingueur, (marchand, 21.9621101981))",0.143531094062,3.0,count,539.0,decreasing,full
9,Coupeau,"(zingueur, (bonne, 16.4938953341))",0.0393903453595,4.0,count,539.0,decreasing,full
10,Lantier,"(tanneur, (blanchisseuse, 20.8937954508))",,0.0,count,243.0,decreasing,full
11,Lantier,"(tanneur, (zingueur, 17.4691671099))",0.174131168073,1.0,count,243.0,decreasing,full
12,Lantier,"(tanneur, (chapelier, 12.6458026893))",0.163784224972,2.0,count,243.0,decreasing,full
13,Lantier,"(tanneur, (bonne, 11.0741696578))",0.0356752342901,3.0,count,243.0,decreasing,full
14,Lantier,"(tanneur, (brunisseuse, 7.47808460419))",,4.0,count,243.0,decreasing,full
15,Lantier,"(chapelier, (blanchisseuse, 20.8937954508))",,0.0,count,243.0,decreasing,full
16,Lantier,"(chapelier, (zingueur, 17.4691671099))",0.15476016278,1.0,count,243.0,decreasing,full
17,Lantier,"(chapelier, (chapelier, 12.6458026893))",1.0,2.0,count,243.0,decreasing,full
18,Lantier,"(chapelier, (bonne, 11.0741696578))",0.0998988616375,3.0,count,243.0,decreasing,full
19,Lantier,"(chapelier, (brunisseuse, 7.47808460419))",,4.0,count,243.0,decreasing,full
20,Lorilleux,"(bijoutier, (marchand, 10.3655576844))",0.252196077704,0.0,count,211.0,decreasing,full
21,Lorilleux,"(bijoutier, (zingueur, 6.04233598393))",0.230624141598,1.0,count,211.0,decreasing,full
22,Lorilleux,"(bijoutier, (blanchisseuse, 5.44921072137))",,2.0,count,211.0,decreasing,full
23,Lorilleux,"(bijoutier, (ouvrier, 4.60761461891))",0.256228276726,3.0,count,211.0,decreasing,full
24,Lorilleux,"(bijoutier, (bonne, 3.63327026634))",0.0739934252484,4.0,count,211.0,decreasing,full
25,Boche,"(concierge, (concierge, 14.6240227556))",1.0,0.0,count,176.0,decreasing,full
26,Boche,"(concierge, (marchand, 11.5373056848))",0.105354889199,1.0,count,176.0,decreasing,full
27,Boche,"(concierge, (blanchisseuse, 7.54581390872))",,2.0,count,176.0,decreasing,full
28,Boche,"(concierge, (bonne, 7.27507773358))",0.0266490015837,3.0,count,176.0,decreasing,full
29,Boche,"(concierge, (zingueur, 5.59338400379))",0.167139275075,4.0,count,176.0,decreasing,full
30,Nana,"(courtisane, (maîtresse, 7.71881649606))",0.40716025142,0.0,count,151.0,decreasing,full
31,Nana,"(courtisane, (concierge, 7.59546530098))",0.183016796272,1.0,count,151.0,decreasing,full
32,Nana,"(courtisane, (blanchisseuse, 6.21486896098))",,2.0,count,151.0,decreasing,full
33,Nana,"(courtisane, (chapelier, 6.09016631289))",0.109778898352,3.0,count,151.0,decreasing,full
34,Nana,"(courtisane, (patronne, 5.71178868341))",0.253949656735,4.0,count,151.0,decreasing,full
35,Virginie,"(laveuse, (blanchisseuse, 11.4318882772))",,0.0,count,136.0,decreasing,full
36,Virginie,"(laveuse, (concierge, 5.65364112582))",0.155343066244,1.0,count,136.0,decreasing,full
37,Virginie,"(laveuse, (couturière, 3.33691500407))",0.161937502111,2.0,count,136.0,decreasing,full
38,Virginie,"(laveuse, (chapelier, 3.10613392668))",0.0474741897759,3.0,count,136.0,decreasing,full
39,Virginie,"(laveuse, (patronne, 2.33227095781))",0.0963996440259,4.0,count,136.0,decreasing,full
40,Goujet,"(forgeron, (blanchisseuse, 20.5122660901))",,0.0,count,110.0,decreasing,full
41,Goujet,"(forgeron, (forgeron, 10.9615878954))",1.0,1.0,count,110.0,decreasing,full
42,Goujet,"(forgeron, (ouvrier, 8.32069758158))",0.338424376779,2.0,count,110.0,decreasing,full
43,Goujet,"(forgeron, (bonne, 6.89653434243))",0.0473338376056,3.0,count,110.0,decreasing,full
44,Goujet,"(forgeron, (cloutier, 3.09104245336))",0.284308663482,4.0,count,110.0,decreasing,full
45,Poisson,"(épicier, (blanchisseuse, 7.74832334216))",,0.0,count,81.0,decreasing,full
46,Poisson,"(épicier, (zingueur, 5.2067520547))",0.274057633172,1.0,count,81.0,decreasing,full
47,Poisson,"(épicier, (ébéniste, 3.295836866))",0.333053561878,2.0,count,81.0,decreasing,full
48,Poisson,"(épicier, (brunisseuse, 3.00815479355))",,3.0,count,81.0,decreasing,full
49,Poisson,"(épicier, (patronne, 2.72270429013))",0.206278246861,4.0,count,81.0,decreasing,full
50,Poisson,"(patron, (blanchisseuse, 7.74832334216))",,0.0,count,81.0,decreasing,full
51,Poisson,"(patron, (zingueur, 5.2067520547))",0.116546424509,1.0,count,81.0,decreasing,full
52,Poisson,"(patron, (ébéniste, 3.295836866))",0.101173583028,2.0,count,81.0,decreasing,full
53,Poisson,"(patron, (brunisseuse, 3.00815479355))",,3.0,count,81.0,decreasing,full
54,Poisson,"(patron, (patronne, 2.72270429013))",0.50007737159,4.0,count,81.0,decreasing,full
55,Clémence,"(ouvrière, (apprentie, 10.4149202968))",0.0491525414031,0.0,count,71.0,decreasing,full
56,Clémence,"(ouvrière, (ouvrière, 7.08445554948))",1.0,1.0,count,71.0,decreasing,full
57,Clémence,"(ouvrière, (patronne, 5.15169267279))",0.0908681394102,2.0,count,71.0,decreasing,full
58,Clémence,"(ouvrière, (repasseuse, 4.83648029997))",0.0284644389501,3.0,count,71.0,decreasing,full
59,Clémence,"(ouvrière, (zingueur, 3.39788083257))",0.0478278106213,4.0,count,71.0,decreasing,full
60,Lerat,"(fleuriste, (blanchisseuse, 8.84556887041))",,0.0,count,67.0,decreasing,full
61,Lerat,"(fleuriste, (marchand, 6.3299436971))",0.124795739859,1.0,count,67.0,decreasing,full
62,Lerat,"(fleuriste, (bonne, 3.80421505279))",0.0428212051629,2.0,count,67.0,decreasing,full
63,Lerat,"(fleuriste, (fleuriste, 3.60340868133))",1.0,3.0,count,67.0,decreasing,full
64,Lerat,"(fleuriste, (ouvrière, 3.53428825068))",0.0445621916333,4.0,count,67.0,decreasing,full
65,Étienne,"(ouvrier, (ouvrier, 4.5404030673))",1.0,0.0,count,54.0,decreasing,full
66,Étienne,"(ouvrier, (forgeron, 2.49040872694))",0.338424376779,1.0,count,54.0,decreasing,full
67,Étienne,"(ouvrier, (cloutier, 2.25438299118))",0.156727430195,2.0,count,54.0,decreasing,full
68,Étienne,"(ouvrier, (surveillant, 2.15492219765))",0.220622544749,3.0,count,54.0,decreasing,full
69,Étienne,"(ouvrier, (bonne, 2.00926053314))",-0.000846327506632,4.0,count,54.0,decreasing,full
70,Étienne,"(hercheur, (ouvrier, 4.5404030673))",,0.0,count,54.0,decreasing,full
71,Étienne,"(hercheur, (forgeron, 2.49040872694))",,1.0,count,54.0,decreasing,full
72,Étienne,"(hercheur, (cloutier, 2.25438299118))",,2.0,count,54.0,decreasing,full
73,Étienne,"(hercheur, (surveillant, 2.15492219765))",,3.0,count,54.0,decreasing,full
74,Étienne,"(hercheur, (bonne, 2.00926053314))",,4.0,count,54.0,decreasing,full
75,MMadinier,"(patron, (marchand, 6.31913718753))",0.179286265982,0.0,count,49.0,decreasing,full
76,MMadinier,"(patron, (patron, 6.14603180682))",1.0,1.0,count,49.0,decreasing,full
77,MMadinier,"(patron, (dessinateur, 3.89182029811))",0.102462262893,2.0,count,49.0,decreasing,full
