,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Gervaise,f,f,123.0,0.00881057268722,0.0,0.0161527165932,0.14684287812,0.0,0.0
1,Coupeau,m,f,10.0,-0.0185528756957,0.0,-0.0371057513915,0.0927643784787,0.0,0.0
2,Lantier,m,f,44.0,-0.00411522633745,0.0,0.0329218106996,0.156378600823,0.0,0.0
3,Lorilleux,m,f,90.0,0.36018957346,0.0,-0.398104265403,0.104265402844,0.0,0.0
4,Boche,f,f,87.0,0.278409090909,0.0,-0.0568181818182,-0.00568181818182,0.0,0.0
5,Nana,f,f,52.78,0.0,0.0,-0.0198675496689,0.364238410596,0.0,0.78
6,Virginie,f,f,44.0,0.0,0.0,0.0367647058824,0.279411764706,0.0,1.0
7,Goujet,m,f,57.0,0.0454545454545,0.0,0.0454545454545,0.381818181818,0.0,0.0
8,Poisson,m,m,-6.0,0.037037037037,0.0,0.0,-0.16049382716,0.0,1.0
9,Clémence,f,f,11.0,0.0281690140845,0.0,-0.0140845070423,0.0985915492958,0.0,1.0
10,Lerat,f,f,132.0,1.0,0.0,-0.0298507462687,0.0,0.0,0.0
11,Mes-Bottes,m,m,-10.0,0.0,0.0,0.0,-0.16393442623,0.0,0.0
12,Étienne,m,f,5.0,0.0,0.0,-0.0185185185185,0.111111111111,0.0,0.0
13,MMadinier,m,m,-157.74,0.0,-1.0,-0.0816326530612,-0.122448979592,0.0,-0.74
14,Bibi-la-Grillade,m,m,-1.0,0.0,0.0,0.027027027027,-0.0540540540541,0.0,0.0
15,Augustine,f,f,0.27,0.0,0.0,-0.0277777777778,0.0555555555556,0.0,-0.73
16,Putois,f,f,71.0,1.0,0.0,-0.0285714285714,0.0571428571429,0.0,0.0
17,Fauconnier,f,f,65.0,1.0,0.0,0.0,0.0967741935484,0.0,0.0
18,Bazouge,m,m,-38.0,-0.633333333333,0.0,0.0,0.0,0.0,0.0
19,Remanjou,f,f,57.0,1.0,0.0,-0.0344827586207,0.0,0.0,0.0
20,Lalie,f,f,1.0,0.0,0.0,-0.0357142857143,0.0357142857143,0.0,1.0
21,Bec-Salé,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Pauline,f,f,2.0,0.0,0.0,0.0384615384615,0.0,0.0,1.0
23,Banban,f,f,79.0,0.0,0.0,0.0,0.0769230769231,1.0,-1.0
24,Gaudron,f,f,38.0,0.76,0.0,0.0,0.0,0.0,0.0
25,Boit-sans-Soif,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bru,m,m,-40.56,-1.0,0.0,0.0,0.0,0.0,-0.56
27,Claude,m,m,-0.81,0.0,0.0,0.0,0.0,0.0,-0.81
28,Léonie,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,Fifine,f,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Victor,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
31,Charles,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
32,Titreville,f,f,4.0,0.285714285714,0.0,0.0,0.0,0.0,0.0
33,Cadet-Cassis,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Jules,m,f,0.59,0.0,0.0,0.0,0.0,0.0,0.59
35,Henriette,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36,Auguste,m,m,-0.92,0.0,0.0,0.0,0.0,0.0,-0.92
37,Baquet,f,f,8.0,0.8,0.0,0.0,0.0,0.0,0.0
