,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Gervaise,f,f,88.0,0.00852878464819,0.0,0.0426439232409,0.136460554371,0.0,0.0
1,Coupeau,m,f,20.0,-0.0227272727273,0.0,-0.00852272727273,0.0880681818182,0.0,0.0
2,Lantier,m,f,14.0,0.0,0.0,-0.00649350649351,0.0974025974026,0.0,0.0
3,Lorilleux,m,m,-5.0,0.34375,0.0,-0.4375,0.0546875,0.0,0.0
4,Boche,f,f,20.0,0.314606741573,0.0,-0.0224719101124,-0.0674157303371,0.0,0.0
5,Nana,f,f,33.78,0.0,0.0,0.0,0.320388349515,0.0,0.78
6,Virginie,f,f,29.0,0.0,0.0,0.0,0.341463414634,0.0,1.0
7,Goujet,m,f,30.0,0.0675675675676,0.0,0.0135135135135,0.324324324324,0.0,0.0
8,Poisson,m,f,-3.0,0.0,0.0,-0.0434782608696,-0.0434782608696,0.0,1.0
9,Clémence,f,f,3.0,0.0434782608696,0.0,-0.0217391304348,0.0217391304348,0.0,1.0
10,Lerat,f,f,42.0,1.0,0.0,0.0263157894737,0.0789473684211,0.0,0.0
11,Mes-Bottes,m,m,-2.0,0.0,0.0,-0.0277777777778,-0.0277777777778,0.0,0.0
12,Étienne,m,f,1.0,0.0,0.0,0.0,0.037037037037,0.0,0.0
13,MMadinier,m,m,-30.0,0.0,-1.0,0.0,-0.0344827586207,0.0,0.0
14,Bibi-la-Grillade,m,m,-4.0,0.0,0.0,-0.117647058824,-0.117647058824,0.0,0.0
15,Augustine,f,m,-0.73,0.0,0.0,0.0,0.0,0.0,-0.73
16,Putois,f,f,20.0,1.0,0.0,0.0,0.0526315789474,0.0,0.0
17,Fauconnier,f,f,13.0,1.0,0.0,0.0,0.0,0.0,0.0
18,Bazouge,m,m,-19.0,-0.678571428571,0.0,-0.0357142857143,0.0357142857143,0.0,0.0
19,Remanjou,f,f,11.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Lalie,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Bec-Salé,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Pauline,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,Banban,f,m,13.0,0.0,0.0,0.0,0.0,1.0,-1.0
24,Gaudron,f,f,10.0,0.909090909091,0.0,0.0,0.0,0.0,0.0
25,Boit-sans-Soif,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bru,m,m,-12.56,-1.0,0.0,0.0,0.0,0.0,-0.56
27,Claude,m,m,-0.81,0.0,0.0,0.0,0.0,0.0,-0.81
28,Léonie,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,Fifine,f,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Victor,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
31,Charles,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
32,Titreville,f,f,2.0,0.5,0.0,0.0,0.0,0.0,0.0
33,Cadet-Cassis,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Jules,m,f,0.59,0.0,0.0,0.0,0.0,0.0,0.59
35,Henriette,f,f,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36,Auguste,m,m,-0.92,0.0,0.0,0.0,0.0,0.0,-0.92
37,Baquet,f,f,4.0,0.8,0.0,0.0,0.0,0.0,0.0
