,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score
0,Gervaise,f,f,92.0,0.00852878464819,0.0,0.0426439232409,0.136460554371,0.0
1,Coupeau,m,f,12.0,-0.0227272727273,0.0,-0.00852272727273,0.0880681818182,0.0
2,Lantier,m,f,14.0,0.0,0.0,-0.00649350649351,0.0974025974026,0.0
3,Lorilleux,m,f,39.0,0.34375,0.0,-0.4375,0.0546875,0.0
4,Boche,f,f,48.0,0.314606741573,0.0,-0.0224719101124,-0.0674157303371,0.0
5,Nana,f,f,33.0,0.0,0.0,0.0,0.320388349515,0.0
6,Virginie,f,f,28.0,0.0,0.0,0.0,0.341463414634,0.0
7,Goujet,m,f,35.0,0.0675675675676,0.0,0.0135135135135,0.324324324324,0.0
8,Poisson,m,m,-4.0,0.0,0.0,-0.0434782608696,-0.0434782608696,0.0
9,Clémence,f,f,4.0,0.0434782608696,0.0,-0.0217391304348,0.0217391304348,0.0
10,Lerat,f,f,80.0,1.0,0.0,0.0263157894737,0.0789473684211,0.0
11,Mes-Bottes,m,m,-2.0,0.0,0.0,-0.0277777777778,-0.0277777777778,0.0
12,Étienne,m,f,1.0,0.0,0.0,0.0,0.037037037037,0.0
13,MMadinier,m,m,-88.0,0.0,-1.0,0.0,-0.0344827586207,0.0
14,Bibi-la-Grillade,m,m,-4.0,0.0,0.0,-0.117647058824,-0.117647058824,0.0
15,Augustine,f,,0.0,0.0,0.0,0.0,0.0,0.0
16,Putois,f,f,39.0,1.0,0.0,0.0,0.0526315789474,0.0
17,Fauconnier,f,f,26.0,1.0,0.0,0.0,0.0,0.0
18,Bazouge,m,m,-38.0,-0.678571428571,0.0,-0.0357142857143,0.0357142857143,0.0
19,Remanjou,f,f,22.0,1.0,0.0,0.0,0.0,0.0
20,Lalie,f,,0.0,0.0,0.0,0.0,0.0,0.0
21,Bec-Salé,m,,0.0,0.0,0.0,0.0,0.0,0.0
22,Pauline,f,,0.0,0.0,0.0,0.0,0.0,0.0
23,Banban,f,f,42.0,0.0,0.0,0.0,0.0,1.0
24,Gaudron,f,f,20.0,0.909090909091,0.0,0.0,0.0,0.0
25,Boit-sans-Soif,m,,0.0,0.0,0.0,0.0,0.0,0.0
26,Bru,m,m,-24.0,-1.0,0.0,0.0,0.0,0.0
27,Claude,m,,0.0,0.0,0.0,0.0,0.0,0.0
28,Léonie,f,,0.0,0.0,0.0,0.0,0.0,0.0
29,Fifine,f,,0.0,0.0,0.0,0.0,0.0,0.0
30,Victor,m,,0.0,0.0,0.0,0.0,0.0,0.0
31,Charles,m,,0.0,0.0,0.0,0.0,0.0,0.0
32,Titreville,f,f,4.0,0.5,0.0,0.0,0.0,0.0
33,Cadet-Cassis,m,,0.0,0.0,0.0,0.0,0.0,0.0
34,Jules,m,,0.0,0.0,0.0,0.0,0.0,0.0
35,Henriette,f,,0.0,0.0,0.0,0.0,0.0,0.0
36,Auguste,m,,0.0,0.0,0.0,0.0,0.0,0.0
37,Baquet,f,f,8.0,0.8,0.0,0.0,0.0,0.0
