,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (brunisseuse, 1.53772557313))",,0.0,68.0,decreasing,exposition
1,Gervaise,"(blanchisseuse, (concierge, 1.39277674653))",,1.0,68.0,decreasing,exposition
2,Gervaise,"(blanchisseuse, (bonne, 1.23224059864))",,2.0,68.0,decreasing,exposition
3,Gervaise,"(blanchisseuse, (ouvrier, 1.20659107558))",,3.0,68.0,decreasing,exposition
4,Gervaise,"(blanchisseuse, (laitière, 1.16772446961))",,4.0,68.0,decreasing,exposition
5,Coupeau,"(zingueur, (zingueur, 1.84574518148))",1.0,0.0,53.0,decreasing,exposition
6,Coupeau,"(zingueur, (ouvrier, 1.73951706308))",0.379012807931,1.0,53.0,decreasing,exposition
7,Coupeau,"(zingueur, (patronne, 1.02733457549))",0.115908744909,2.0,53.0,decreasing,exposition
8,Coupeau,"(zingueur, (giletière, 1.02056563319))",,3.0,53.0,decreasing,exposition
9,Coupeau,"(zingueur, (concierge, 1.0111905587))",0.167139275075,4.0,53.0,decreasing,exposition
10,Lantier,"(tanneur, (zingueur, 1.27434500836))",0.174131168073,0.0,24.0,decreasing,exposition
11,Lantier,"(tanneur, (ouvrier, 1.26724551068))",0.169502132612,1.0,24.0,decreasing,exposition
12,Lantier,"(tanneur, (blanchisseuse, 1.01648995862))",,2.0,24.0,decreasing,exposition
13,Lantier,"(tanneur, (brunisseuse, 1.0))",,3.0,24.0,decreasing,exposition
14,Lantier,"(tanneur, (mousse, 0.960454925607))",0.0316785208244,4.0,24.0,decreasing,exposition
15,Lantier,"(chapelier, (zingueur, 1.27434500836))",0.15476016278,0.0,24.0,decreasing,exposition
16,Lantier,"(chapelier, (ouvrier, 1.26724551068))",0.185732937289,1.0,24.0,decreasing,exposition
17,Lantier,"(chapelier, (blanchisseuse, 1.01648995862))",,2.0,24.0,decreasing,exposition
18,Lantier,"(chapelier, (brunisseuse, 1.0))",,3.0,24.0,decreasing,exposition
19,Lantier,"(chapelier, (mousse, 0.960454925607))",0.00348637355799,4.0,24.0,decreasing,exposition
