,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (blanchisseuse, 1.55685936152))",,0.0,681.0,constant,full
1,Gervaise,"(blanchisseuse, (bonne, 1.51767040552))",,1.0,681.0,constant,full
2,Gervaise,"(blanchisseuse, (zingueur, 1.3586281277))",,2.0,681.0,constant,full
3,Gervaise,"(blanchisseuse, (chapelier, 1.22080129047))",,3.0,681.0,constant,full
4,Gervaise,"(blanchisseuse, (forgeron, 1.11169111303))",,4.0,681.0,constant,full
5,Coupeau,"(zingueur, (zingueur, 1.67969348659))",1.0,0.0,539.0,constant,full
6,Coupeau,"(zingueur, (blanchisseuse, 1.34446185998))",,1.0,539.0,constant,full
7,Coupeau,"(zingueur, (chapelier, 1.33739655172))",0.15476016278,2.0,539.0,constant,full
8,Coupeau,"(zingueur, (bonne, 1.13908045977))",0.0393903453595,3.0,539.0,constant,full
9,Coupeau,"(zingueur, (ouvrier, 1.04171737661))",0.379012807931,4.0,539.0,constant,full
10,Lantier,"(tanneur, (blanchisseuse, 1.6549683738))",,0.0,243.0,constant,full
11,Lantier,"(tanneur, (chapelier, 1.60856864654))",0.163784224972,1.0,243.0,constant,full
12,Lantier,"(tanneur, (zingueur, 1.4899204244))",0.174131168073,2.0,243.0,constant,full
13,Lantier,"(tanneur, (bonne, 1.28223971243))",0.0356752342901,3.0,243.0,constant,full
14,Lantier,"(tanneur, (patron, 1.01832007073))",0.117952695958,4.0,243.0,constant,full
15,Lantier,"(chapelier, (blanchisseuse, 1.6549683738))",,0.0,243.0,constant,full
16,Lantier,"(chapelier, (chapelier, 1.60856864654))",1.0,1.0,243.0,constant,full
17,Lantier,"(chapelier, (zingueur, 1.4899204244))",0.15476016278,2.0,243.0,constant,full
18,Lantier,"(chapelier, (bonne, 1.28223971243))",0.0998988616375,3.0,243.0,constant,full
19,Lantier,"(chapelier, (patron, 1.01832007073))",0.126851520338,4.0,243.0,constant,full
20,Lorilleux,"(bijoutier, (blanchisseuse, 1.95677372615))",,0.0,211.0,constant,full
21,Lorilleux,"(bijoutier, (bonne, 1.64476327116))",0.0739934252484,1.0,211.0,constant,full
22,Lorilleux,"(bijoutier, (marchand, 1.56784922395))",0.252196077704,2.0,211.0,constant,full
23,Lorilleux,"(bijoutier, (chapelier, 1.45993031359))",0.172526671114,3.0,211.0,constant,full
24,Lorilleux,"(bijoutier, (ouvrier, 1.32576882291))",0.256228276726,4.0,211.0,constant,full
25,Boche,"(concierge, (blanchisseuse, 1.96738338192))",,0.0,176.0,constant,full
26,Boche,"(concierge, (concierge, 1.68868274583))",1.0,1.0,176.0,constant,full
27,Boche,"(concierge, (bonne, 1.62979689483))",0.0266490015837,2.0,176.0,constant,full
28,Boche,"(concierge, (marchand, 1.58192678402))",0.105354889199,3.0,176.0,constant,full
29,Boche,"(concierge, (zingueur, 1.47887033601))",0.167139275075,4.0,176.0,constant,full
30,Nana,"(courtisane, (zingueur, 1.97506738544))",0.0998379223846,0.0,151.0,constant,full
31,Nana,"(courtisane, (bonne, 1.81445993031))",0.0329941485494,1.0,151.0,constant,full
32,Nana,"(courtisane, (patronne, 1.76666666667))",0.253949656735,2.0,151.0,constant,full
33,Nana,"(courtisane, (chapelier, 1.67882472138))",0.109778898352,3.0,151.0,constant,full
34,Nana,"(courtisane, (ouvrière, 1.63305322129))",-0.0163531679581,4.0,151.0,constant,full
35,Virginie,"(laveuse, (blanchisseuse, 1.87110633727))",,0.0,136.0,constant,full
36,Virginie,"(laveuse, (chapelier, 1.76870893812))",0.0474741897759,1.0,136.0,constant,full
37,Virginie,"(laveuse, (zingueur, 1.15759771799))",0.107214289569,2.0,136.0,constant,full
38,Virginie,"(laveuse, (bonne, 1.1512605042))",0.0653169618795,3.0,136.0,constant,full
39,Virginie,"(laveuse, (forgeron, 1.10218487395))",0.0935070114326,4.0,136.0,constant,full
40,Goujet,"(forgeron, (blanchisseuse, 1.94246208742))",,0.0,110.0,constant,full
41,Goujet,"(forgeron, (forgeron, 1.52171824607))",1.0,1.0,110.0,constant,full
42,Goujet,"(forgeron, (bonne, 1.29399770613))",0.0473338376056,2.0,110.0,constant,full
43,Goujet,"(forgeron, (zingueur, 1.19207723824))",0.317940792902,3.0,110.0,constant,full
44,Goujet,"(forgeron, (marchand, 1.17213129676))",0.274087756125,4.0,110.0,constant,full
45,Poisson,"(épicier, (chapelier, 1.9578))",0.242312391182,0.0,81.0,constant,full
46,Poisson,"(épicier, (blanchisseuse, 1.73420253165))",,1.0,81.0,constant,full
47,Poisson,"(épicier, (bonne, 1.35763829787))",0.0332059074732,2.0,81.0,constant,full
48,Poisson,"(épicier, (zingueur, 1.32782758621))",0.274057633172,3.0,81.0,constant,full
49,Poisson,"(épicier, (patronne, 1.30754054054))",0.206278246861,4.0,81.0,constant,full
50,Poisson,"(patron, (chapelier, 1.9578))",0.126851520338,0.0,81.0,constant,full
51,Poisson,"(patron, (blanchisseuse, 1.73420253165))",,1.0,81.0,constant,full
52,Poisson,"(patron, (bonne, 1.35763829787))",0.0433745049986,2.0,81.0,constant,full
53,Poisson,"(patron, (zingueur, 1.32782758621))",0.116546424509,3.0,81.0,constant,full
54,Poisson,"(patron, (patronne, 1.30754054054))",0.50007737159,4.0,81.0,constant,full
55,Clémence,"(ouvrière, (patronne, 1.51948051948))",0.0908681394102,0.0,71.0,constant,full
56,Clémence,"(ouvrière, (ouvrière, 1.42407592408))",1.0,1.0,71.0,constant,full
57,Clémence,"(ouvrière, (zingueur, 1.40756302521))",0.0478278106213,2.0,71.0,constant,full
58,Clémence,"(ouvrière, (blanchisseuse, 1.395256917))",,3.0,71.0,constant,full
59,Clémence,"(ouvrière, (bonne, 1.27008928571))",0.0535138622722,4.0,71.0,constant,full
60,Lerat,"(fleuriste, (blanchisseuse, 1.94011544012))",,0.0,67.0,constant,full
61,Lerat,"(fleuriste, (chapelier, 1.81657974571))",0.0387972049106,1.0,67.0,constant,full
62,Lerat,"(fleuriste, (ouvrière, 1.42395382395))",0.0445621916333,2.0,67.0,constant,full
63,Lerat,"(fleuriste, (fleuriste, 1.33533133533))",1.0,3.0,67.0,constant,full
64,Lerat,"(fleuriste, (marchand, 1.26415251415))",0.124795739859,4.0,67.0,constant,full
65,Étienne,"(ouvrier, (ouvrier, 1.78851540616))",1.0,0.0,54.0,constant,full
66,Étienne,"(ouvrier, (blanchisseuse, 1.72449846991))",,1.0,54.0,constant,full
67,Étienne,"(ouvrier, (bonne, 1.68896578239))",-0.000846327506632,2.0,54.0,constant,full
68,Étienne,"(ouvrier, (forgeron, 1.62188057041))",0.338424376779,3.0,54.0,constant,full
69,Étienne,"(ouvrier, (marchand, 1.4323867478))",0.191785032415,4.0,54.0,constant,full
70,Étienne,"(hercheur, (ouvrier, 1.78851540616))",,0.0,54.0,constant,full
71,Étienne,"(hercheur, (blanchisseuse, 1.72449846991))",,1.0,54.0,constant,full
72,Étienne,"(hercheur, (bonne, 1.68896578239))",,2.0,54.0,constant,full
73,Étienne,"(hercheur, (forgeron, 1.62188057041))",,3.0,54.0,constant,full
74,Étienne,"(hercheur, (marchand, 1.4323867478))",,4.0,54.0,constant,full
75,MMadinier,"(patron, (marchand, 1.7661637931))",0.179286265982,0.0,49.0,constant,full
76,MMadinier,"(patron, (patron, 1.43403298351))",1.0,1.0,49.0,constant,full
77,MMadinier,"(patron, (patronne, 1.18940529735))",0.50007737159,2.0,49.0,constant,full
78,MMadinier,"(patron, (zingueur, 1.15373563218))",0.116546424509,3.0,49.0,constant,full
79,MMadinier,"(patron, (bonne, 1.07895324183))",0.0433745049986,4.0,49.0,constant,full
80,MMadinier,"(ouvrier, (marchand, 1.7661637931))",0.191785032415,0.0,49.0,constant,full
81,MMadinier,"(ouvrier, (patron, 1.43403298351))",0.377311079447,1.0,49.0,constant,full
82,MMadinier,"(ouvrier, (patronne, 1.18940529735))",0.156295360935,2.0,49.0,constant,full
83,MMadinier,"(ouvrier, (zingueur, 1.15373563218))",0.379012807931,3.0,49.0,constant,full
84,MMadinier,"(ouvrier, (bonne, 1.07895324183))",-0.000846327506632,4.0,49.0,constant,full
85,Bibi-la-Grillade,"(ouvrier, (marchand, 1.88602442334))",0.191785032415,0.0,37.0,constant,full
86,Bibi-la-Grillade,"(ouvrier, (bonne, 1.64848484848))",-0.000846327506632,1.0,37.0,constant,full
87,Bibi-la-Grillade,"(ouvrier, (patron, 1.61931818182))",0.377311079447,2.0,37.0,constant,full
88,Bibi-la-Grillade,"(ouvrier, (blanchisseuse, 1.61367965368))",,3.0,37.0,constant,full
89,Bibi-la-Grillade,"(ouvrier, (chapelier, 1.33191287879))",0.185732937289,4.0,37.0,constant,full
90,Bibi-la-Grillade,"(tanneur, (marchand, 1.88602442334))",0.302145244307,0.0,37.0,constant,full
91,Bibi-la-Grillade,"(tanneur, (bonne, 1.64848484848))",0.0356752342901,1.0,37.0,constant,full
92,Bibi-la-Grillade,"(tanneur, (patron, 1.61931818182))",0.117952695958,2.0,37.0,constant,full
93,Bibi-la-Grillade,"(tanneur, (blanchisseuse, 1.61367965368))",,3.0,37.0,constant,full
94,Bibi-la-Grillade,"(tanneur, (chapelier, 1.33191287879))",0.163784224972,4.0,37.0,constant,full
95,Augustine,"(apprentie, (apprentie, 1.63235294118))",1.0,0.0,36.0,constant,full
96,Augustine,"(apprentie, (patronne, 1.51971557854))",0.174219115351,1.0,36.0,constant,full
97,Augustine,"(apprentie, (blanchisseuse, 1.2690974695))",,2.0,36.0,constant,full
98,Augustine,"(apprentie, (zingueur, 1.25877221117))",0.160775977925,3.0,36.0,constant,full
99,Augustine,"(apprentie, (bonne, 1.12343427937))",0.103107927307,4.0,36.0,constant,full
100,Augustine,"(ouvrière, (apprentie, 1.63235294118))",0.0491525414031,0.0,36.0,constant,full
101,Augustine,"(ouvrière, (patronne, 1.51971557854))",0.0908681394102,1.0,36.0,constant,full
102,Augustine,"(ouvrière, (blanchisseuse, 1.2690974695))",,2.0,36.0,constant,full
103,Augustine,"(ouvrière, (zingueur, 1.25877221117))",0.0478278106213,3.0,36.0,constant,full
104,Augustine,"(ouvrière, (bonne, 1.12343427937))",0.0535138622722,4.0,36.0,constant,full
105,Putois,"(ouvrière, (blanchisseuse, 1.96452991453))",,0.0,35.0,constant,full
106,Putois,"(ouvrière, (patronne, 1.82097902098))",0.0908681394102,1.0,35.0,constant,full
107,Putois,"(ouvrière, (apprentie, 1.80659340659))",0.0491525414031,2.0,35.0,constant,full
108,Putois,"(ouvrière, (ouvrière, 1.62703962704))",1.0,3.0,35.0,constant,full
109,Putois,"(ouvrière, (zingueur, 1.32867132867))",0.0478278106213,4.0,35.0,constant,full
