,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (blanchisseuse, 1.65158044084))",,0.0,681.0,decreasing,full
1,Gervaise,"(blanchisseuse, (bonne, 1.57739358588))",,1.0,681.0,decreasing,full
2,Gervaise,"(blanchisseuse, (concierge, 1.57001351836))",,2.0,681.0,decreasing,full
3,Gervaise,"(blanchisseuse, (zingueur, 1.50176955388))",,3.0,681.0,decreasing,full
4,Gervaise,"(blanchisseuse, (marchand, 1.30542581458))",,4.0,681.0,decreasing,full
5,Coupeau,"(zingueur, (zingueur, 1.70455273908))",1.0,0.0,539.0,decreasing,full
6,Coupeau,"(zingueur, (ouvrier, 1.27131640788))",0.379012807931,1.0,539.0,decreasing,full
7,Coupeau,"(zingueur, (blanchisseuse, 1.08173691229))",,2.0,539.0,decreasing,full
8,Coupeau,"(zingueur, (marchand, 1.02600746603))",0.143531094062,3.0,539.0,decreasing,full
9,Coupeau,"(zingueur, (garde, 1.02277690226))",0.13815136859,4.0,539.0,decreasing,full
10,Lantier,"(tanneur, (blanchisseuse, 1.78717695755))",,0.0,243.0,decreasing,full
11,Lantier,"(tanneur, (zingueur, 1.70334688823))",0.174131168073,1.0,243.0,decreasing,full
12,Lantier,"(tanneur, (bonne, 1.35697891942))",0.0356752342901,2.0,243.0,decreasing,full
13,Lantier,"(tanneur, (chapelier, 1.26210675747))",0.163784224972,3.0,243.0,decreasing,full
14,Lantier,"(tanneur, (forgeron, 1.06121419432))",0.308287099122,4.0,243.0,decreasing,full
15,Lantier,"(chapelier, (blanchisseuse, 1.78717695755))",,0.0,243.0,decreasing,full
16,Lantier,"(chapelier, (zingueur, 1.70334688823))",0.15476016278,1.0,243.0,decreasing,full
17,Lantier,"(chapelier, (bonne, 1.35697891942))",0.0998988616375,2.0,243.0,decreasing,full
18,Lantier,"(chapelier, (chapelier, 1.26210675747))",1.0,3.0,243.0,decreasing,full
19,Lantier,"(chapelier, (forgeron, 1.06121419432))",0.163889970066,4.0,243.0,decreasing,full
20,Lorilleux,"(bijoutier, (marchand, 1.96186293064))",0.252196077704,0.0,211.0,decreasing,full
21,Lorilleux,"(bijoutier, (zingueur, 1.5738268964))",0.230624141598,1.0,211.0,decreasing,full
22,Lorilleux,"(bijoutier, (blanchisseuse, 1.48941190794))",,2.0,211.0,decreasing,full
23,Lorilleux,"(bijoutier, (ouvrier, 1.41531216209))",0.256228276726,3.0,211.0,decreasing,full
24,Lorilleux,"(bijoutier, (bonne, 1.2994910057))",0.0739934252484,4.0,211.0,decreasing,full
25,Boche,"(concierge, (concierge, 1.81467759833))",1.0,0.0,176.0,decreasing,full
26,Boche,"(concierge, (marchand, 1.64789299707))",0.105354889199,1.0,176.0,decreasing,full
27,Boche,"(concierge, (blanchisseuse, 1.48980808328))",,2.0,176.0,decreasing,full
28,Boche,"(concierge, (zingueur, 1.34096320874))",0.167139275075,3.0,176.0,decreasing,full
29,Boche,"(concierge, (bonne, 1.33360793947))",0.0266490015837,4.0,176.0,decreasing,full
30,Nana,"(courtisane, (concierge, 1.92301133062))",0.183016796272,0.0,151.0,decreasing,full
31,Nana,"(courtisane, (maîtresse, 1.88755655418))",0.40716025142,1.0,151.0,decreasing,full
32,Nana,"(courtisane, (blanchisseuse, 1.78034716306))",,2.0,151.0,decreasing,full
33,Nana,"(courtisane, (chapelier, 1.70155155394))",0.109778898352,3.0,151.0,decreasing,full
34,Nana,"(courtisane, (zingueur, 1.64813953868))",0.0998379223846,4.0,151.0,decreasing,full
35,Virginie,"(laveuse, (blanchisseuse, 1.92515105656))",,0.0,136.0,decreasing,full
36,Virginie,"(laveuse, (concierge, 1.41992772121))",0.155343066244,1.0,136.0,decreasing,full
37,Virginie,"(laveuse, (chapelier, 1.21389874566))",0.0474741897759,2.0,136.0,decreasing,full
38,Virginie,"(laveuse, (zingueur, 1.14181709359))",0.107214289569,3.0,136.0,decreasing,full
39,Virginie,"(laveuse, (forgeron, 1.14022035141))",0.0935070114326,4.0,136.0,decreasing,full
40,Goujet,"(forgeron, (blanchisseuse, 1.91812410897))",,0.0,110.0,decreasing,full
41,Goujet,"(forgeron, (ouvrier, 1.36488992865))",0.338424376779,1.0,110.0,decreasing,full
42,Goujet,"(forgeron, (bonne, 1.31058215468))",0.0473338376056,2.0,110.0,decreasing,full
43,Goujet,"(forgeron, (forgeron, 1.29263262458))",1.0,3.0,110.0,decreasing,full
44,Goujet,"(forgeron, (marchand, 1.12839776967))",0.274087756125,4.0,110.0,decreasing,full
45,Poisson,"(épicier, (blanchisseuse, 1.98495540024))",,0.0,81.0,decreasing,full
46,Poisson,"(épicier, (zingueur, 1.62753303113))",0.274057633172,1.0,81.0,decreasing,full
47,Poisson,"(épicier, (patronne, 1.3267294291))",0.206278246861,2.0,81.0,decreasing,full
48,Poisson,"(épicier, (bonne, 1.29166512287))",0.0332059074732,3.0,81.0,decreasing,full
49,Poisson,"(épicier, (chapelier, 1.2747068498))",0.242312391182,4.0,81.0,decreasing,full
50,Poisson,"(patron, (blanchisseuse, 1.98495540024))",,0.0,81.0,decreasing,full
51,Poisson,"(patron, (zingueur, 1.62753303113))",0.116546424509,1.0,81.0,decreasing,full
52,Poisson,"(patron, (patronne, 1.3267294291))",0.50007737159,2.0,81.0,decreasing,full
