,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (boulanger, 98.0))",,0.0,proximity,68.0,constant,exposition
1,Gervaise,"(blanchisseuse, (fruitière, 57.0))",,1.0,proximity,68.0,constant,exposition
2,Gervaise,"(blanchisseuse, (mousse, 53.0))",,2.0,proximity,68.0,constant,exposition
3,Gervaise,"(blanchisseuse, (brunisseuse, 45.5))",,3.0,proximity,68.0,constant,exposition
4,Gervaise,"(blanchisseuse, (concierge, 37.8))",,4.0,proximity,68.0,constant,exposition
5,Coupeau,"(zingueur, (repasseuse, 99.0))",0.295091337363,0.0,proximity,53.0,constant,exposition
6,Coupeau,"(zingueur, (marchand, 55.5))",0.143531094062,1.0,proximity,53.0,constant,exposition
7,Coupeau,"(zingueur, (patron, 43.0))",0.116546424509,2.0,proximity,53.0,constant,exposition
8,Coupeau,"(zingueur, (blanchisseuse, 25.5))",,3.0,proximity,53.0,constant,exposition
9,Coupeau,"(zingueur, (zingueur, 21.75))",1.0,4.0,proximity,53.0,constant,exposition
10,Lantier,"(tanneur, (laitière, 28.0))",0.0742425524243,0.0,proximity,24.0,constant,exposition
11,Lantier,"(tanneur, (bonne, 20.0))",0.0356752342901,1.0,proximity,24.0,constant,exposition
12,Lantier,"(tanneur, (brunisseuse, 20.0))",,2.0,proximity,24.0,constant,exposition
13,Lantier,"(tanneur, (mousse, 14.0))",0.0316785208244,3.0,proximity,24.0,constant,exposition
14,Lantier,"(tanneur, (blanchisseuse, 12.3333333333))",,4.0,proximity,24.0,constant,exposition
15,Lantier,"(chapelier, (laitière, 28.0))",0.105977758007,0.0,proximity,24.0,constant,exposition
16,Lantier,"(chapelier, (bonne, 20.0))",0.0998988616375,1.0,proximity,24.0,constant,exposition
17,Lantier,"(chapelier, (brunisseuse, 20.0))",,2.0,proximity,24.0,constant,exposition
18,Lantier,"(chapelier, (mousse, 14.0))",0.00348637355799,3.0,proximity,24.0,constant,exposition
19,Lantier,"(chapelier, (blanchisseuse, 12.3333333333))",,4.0,proximity,24.0,constant,exposition
20,Lorilleux,"(bijoutier, (poseur, 93.0))",0.153036750889,0.0,proximity,21.0,constant,exposition
21,Lorilleux,"(bijoutier, (dessinateur, 82.0))",0.166350398206,1.0,proximity,21.0,constant,exposition
22,Lorilleux,"(bijoutier, (marchand, 6.0))",0.252196077704,2.0,proximity,21.0,constant,exposition
23,Lorilleux,"(bijoutier, (ouvrier, 2.2))",0.256228276726,3.0,proximity,21.0,constant,exposition
24,Lorilleux,"(bijoutier, (zingueur, 0.428571428571))",0.230624141598,4.0,proximity,21.0,constant,exposition
25,Boche,"(concierge, (concierge, 5.44444444444))",1.0,0.0,proximity,17.0,constant,exposition
26,Boche,"(concierge, (blanchisseuse, 0.428571428571))",,1.0,proximity,17.0,constant,exposition
27,Nana,"(courtisane, (patronne, 25.5))",0.253949656735,0.0,proximity,15.0,constant,exposition
28,Nana,"(courtisane, (maîtresse, 23.5))",0.40716025142,1.0,proximity,15.0,constant,exposition
29,Nana,"(courtisane, (portière, 21.0))",0.0329760517017,2.0,proximity,15.0,constant,exposition
