,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (boulanger, 93.0))",,0.0,proximity,68.0,decreasing,exposition
1,Gervaise,"(blanchisseuse, (mousse, 53.0))",,1.0,proximity,68.0,decreasing,exposition
2,Gervaise,"(blanchisseuse, (brunisseuse, 42.991521699))",,2.0,proximity,68.0,decreasing,exposition
3,Gervaise,"(blanchisseuse, (concierge, 38.3883137307))",,3.0,proximity,68.0,decreasing,exposition
4,Gervaise,"(blanchisseuse, (maîtresse, 29.0))",,4.0,proximity,68.0,decreasing,exposition
5,Coupeau,"(zingueur, (repasseuse, 99.0))",0.295091337363,0.0,proximity,53.0,decreasing,exposition
6,Coupeau,"(zingueur, (marchand, 58.4089226581))",0.143531094062,1.0,proximity,53.0,decreasing,exposition
7,Coupeau,"(zingueur, (blanchisseuse, 43.205080467))",,2.0,proximity,53.0,decreasing,exposition
8,Coupeau,"(zingueur, (patron, 43.0))",0.116546424509,3.0,proximity,53.0,decreasing,exposition
9,Coupeau,"(zingueur, (zingueur, 15.2712270338))",1.0,4.0,proximity,53.0,decreasing,exposition
10,Lantier,"(tanneur, (brunisseuse, 22.6133977537))",,0.0,proximity,24.0,decreasing,exposition
11,Lantier,"(tanneur, (ouvrier, 6.57236653039))",0.169502132612,1.0,proximity,24.0,decreasing,exposition
12,Lantier,"(tanneur, (zingueur, 6.41182276547))",0.174131168073,2.0,proximity,24.0,decreasing,exposition
13,Lantier,"(tanneur, (laitière, 5.71468305687))",0.0742425524243,3.0,proximity,24.0,decreasing,exposition
14,Lantier,"(tanneur, (bonne, 4.08191646919))",0.0356752342901,4.0,proximity,24.0,decreasing,exposition
15,Lantier,"(chapelier, (brunisseuse, 22.6133977537))",,0.0,proximity,24.0,decreasing,exposition
16,Lantier,"(chapelier, (ouvrier, 6.57236653039))",0.185732937289,1.0,proximity,24.0,decreasing,exposition
17,Lantier,"(chapelier, (zingueur, 6.41182276547))",0.15476016278,2.0,proximity,24.0,decreasing,exposition
18,Lantier,"(chapelier, (laitière, 5.71468305687))",0.105977758007,3.0,proximity,24.0,decreasing,exposition
19,Lantier,"(chapelier, (bonne, 4.08191646919))",0.0998988616375,4.0,proximity,24.0,decreasing,exposition
