,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (cardeuse, 101.666666667))",,0.0,proximity,681.0,constant,full
1,Gervaise,"(blanchisseuse, (maire, 98.0))",,1.0,proximity,681.0,constant,full
2,Gervaise,"(blanchisseuse, (boulanger, 91.6666666667))",,2.0,proximity,681.0,constant,full
3,Gervaise,"(blanchisseuse, (mercier, 90.0))",,3.0,proximity,681.0,constant,full
4,Gervaise,"(blanchisseuse, (comique, 90.0))",,4.0,proximity,681.0,constant,full
5,Coupeau,"(zingueur, (commis, 72.5))",0.295695350183,0.0,proximity,539.0,constant,full
6,Coupeau,"(zingueur, (chantre, 66.0))",0.0520531695504,1.0,proximity,539.0,constant,full
7,Coupeau,"(zingueur, (chanteuse, 57.0))",0.0622685723145,2.0,proximity,539.0,constant,full
8,Coupeau,"(zingueur, (maire, 56.0))",0.0504981716917,3.0,proximity,539.0,constant,full
9,Coupeau,"(zingueur, (juré, 48.8))",0.0717024642706,4.0,proximity,539.0,constant,full
10,Lantier,"(tanneur, (cuisinier, 39.0))",0.13627310922,0.0,proximity,243.0,constant,full
11,Lantier,"(tanneur, (épicière, 35.8333333333))",,1.0,proximity,243.0,constant,full
12,Lantier,"(tanneur, (mousse, 29.3333333333))",0.0316785208244,2.0,proximity,243.0,constant,full
13,Lantier,"(tanneur, (laitière, 28.0))",0.0742425524243,3.0,proximity,243.0,constant,full
14,Lantier,"(tanneur, (avocat, 28.0))",0.0133323231691,4.0,proximity,243.0,constant,full
15,Lantier,"(chapelier, (cuisinier, 39.0))",0.0987400235556,0.0,proximity,243.0,constant,full
16,Lantier,"(chapelier, (épicière, 35.8333333333))",,1.0,proximity,243.0,constant,full
17,Lantier,"(chapelier, (mousse, 29.3333333333))",0.00348637355799,2.0,proximity,243.0,constant,full
18,Lantier,"(chapelier, (laitière, 28.0))",0.105977758007,3.0,proximity,243.0,constant,full
19,Lantier,"(chapelier, (avocat, 28.0))",0.0677630736412,4.0,proximity,243.0,constant,full
20,Lorilleux,"(bijoutier, (dessinateur, 82.0))",0.166350398206,0.0,proximity,211.0,constant,full
21,Lorilleux,"(bijoutier, (poseur, 46.5))",0.153036750889,1.0,proximity,211.0,constant,full
22,Lorilleux,"(bijoutier, (arracheur, 40.0))",0.189024177677,2.0,proximity,211.0,constant,full
23,Lorilleux,"(bijoutier, (doublure, 24.0))",0.0568728660551,3.0,proximity,211.0,constant,full
24,Lorilleux,"(bijoutier, (croque-mort, 23.5))",0.113744518412,4.0,proximity,211.0,constant,full
25,Boche,"(concierge, (portière, 49.0))",0.179418399745,0.0,proximity,176.0,constant,full
26,Boche,"(concierge, (commerçante, 46.0))",,1.0,proximity,176.0,constant,full
27,Boche,"(concierge, (intendant, 31.0))",0.198397786223,2.0,proximity,176.0,constant,full
28,Boche,"(concierge, (cardeuse, 19.5))",,3.0,proximity,176.0,constant,full
29,Boche,"(concierge, (cartonnier, 19.5))",0.0564486666241,4.0,proximity,176.0,constant,full
30,Nana,"(courtisane, (herboriste, 84.0))",0.100523086044,0.0,proximity,151.0,constant,full
31,Nana,"(courtisane, (pastourelle, 39.2))",0.209217982181,1.0,proximity,151.0,constant,full
32,Nana,"(courtisane, (commerçant, 18.8571428571))",0.0660936404359,2.0,proximity,151.0,constant,full
33,Nana,"(courtisane, (arbitre, 15.75))",0.0347327556216,3.0,proximity,151.0,constant,full
34,Nana,"(courtisane, (portière, 10.5))",0.0329760517017,4.0,proximity,151.0,constant,full
35,Virginie,"(laveuse, (commissaire, 35.0))",0.0402154772388,0.0,proximity,136.0,constant,full
36,Virginie,"(laveuse, (charcutier, 18.0))",0.134533645594,1.0,proximity,136.0,constant,full
37,Virginie,"(laveuse, (épicière, 17.1))",,2.0,proximity,136.0,constant,full
38,Virginie,"(laveuse, (mousse, 17.0))",0.210197314305,3.0,proximity,136.0,constant,full
39,Virginie,"(laveuse, (couturière, 15.1764705882))",0.161937502111,4.0,proximity,136.0,constant,full
40,Goujet,"(forgeron, (frappeur, 59.0))",0.163008660548,0.0,proximity,110.0,constant,full
41,Goujet,"(forgeron, (dentellière, 28.6666666667))",0.202019622808,1.0,proximity,110.0,constant,full
42,Goujet,"(forgeron, (calicot, 23.5))",0.0965118662191,2.0,proximity,110.0,constant,full
43,Goujet,"(forgeron, (forgeron, 12.6923076923))",1.0,3.0,proximity,110.0,constant,full
44,Goujet,"(forgeron, (cloutier, 12.0))",0.284308663482,4.0,proximity,110.0,constant,full
45,Poisson,"(épicier, (danseuse, 41.6666666667))",0.0694356406513,0.0,proximity,81.0,constant,full
46,Poisson,"(épicier, (vidangeur, 27.0))",0.152528197673,1.0,proximity,81.0,constant,full
47,Poisson,"(épicier, (repasseuse, 6.6))",0.235748760781,2.0,proximity,81.0,constant,full
48,Poisson,"(épicier, (brunisseuse, 5.9))",,3.0,proximity,81.0,constant,full
49,Poisson,"(épicier, (ébéniste, 5.8))",0.333053561878,4.0,proximity,81.0,constant,full
50,Poisson,"(patron, (danseuse, 41.6666666667))",0.0480284496399,0.0,proximity,81.0,constant,full
51,Poisson,"(patron, (vidangeur, 27.0))",0.119227520258,1.0,proximity,81.0,constant,full
52,Poisson,"(patron, (repasseuse, 6.6))",0.156720950572,2.0,proximity,81.0,constant,full
53,Poisson,"(patron, (brunisseuse, 5.9))",,3.0,proximity,81.0,constant,full
54,Poisson,"(patron, (ébéniste, 5.8))",0.101173583028,4.0,proximity,81.0,constant,full
55,Clémence,"(ouvrière, (danseuse, 22.0))",0.0139643532969,0.0,proximity,71.0,constant,full
56,Clémence,"(ouvrière, (apprentie, 17.0))",0.0491525414031,1.0,proximity,71.0,constant,full
57,Clémence,"(ouvrière, (notaire, 14.0))",0.0700715518897,2.0,proximity,71.0,constant,full
58,Clémence,"(ouvrière, (balancier, 11.0))",0.0500841600655,3.0,proximity,71.0,constant,full
59,Clémence,"(ouvrière, (fleuriste, 10.9))",0.0445621916333,4.0,proximity,71.0,constant,full
60,Lerat,"(fleuriste, (domestique, 33.0))",0.0528479165401,0.0,proximity,67.0,constant,full
61,Lerat,"(fleuriste, (gendarme, 20.75))",0.0656867630036,1.0,proximity,67.0,constant,full
62,Lerat,"(fleuriste, (juré, 19.6))",0.000558741841065,2.0,proximity,67.0,constant,full
63,Lerat,"(fleuriste, (boulanger, 12.75))",0.196763112489,3.0,proximity,67.0,constant,full
64,Lerat,"(fleuriste, (cardeuse, 11.1428571429))",,4.0,proximity,67.0,constant,full
65,Étienne,"(ouvrier, (cloutier, 20.4))",0.156727430195,0.0,proximity,54.0,constant,full
66,Étienne,"(ouvrier, (notaire, 13.0))",0.0430441037819,1.0,proximity,54.0,constant,full
67,Étienne,"(ouvrier, (surveillant, 11.75))",0.220622544749,2.0,proximity,54.0,constant,full
68,Étienne,"(ouvrier, (maître, 11.3333333333))",0.155388297666,3.0,proximity,54.0,constant,full
69,Étienne,"(ouvrier, (mécanicien, 9.11111111111))",0.407853232448,4.0,proximity,54.0,constant,full
70,Étienne,"(hercheur, (cloutier, 20.4))",,0.0,proximity,54.0,constant,full
71,Étienne,"(hercheur, (notaire, 13.0))",,1.0,proximity,54.0,constant,full
72,Étienne,"(hercheur, (surveillant, 11.75))",,2.0,proximity,54.0,constant,full
73,Étienne,"(hercheur, (maître, 11.3333333333))",,3.0,proximity,54.0,constant,full
74,Étienne,"(hercheur, (mécanicien, 9.11111111111))",,4.0,proximity,54.0,constant,full
75,MMadinier,"(patron, (dessinateur, 14.5))",0.102462262893,0.0,proximity,49.0,constant,full
76,MMadinier,"(patron, (cardeuse, 11.625))",,1.0,proximity,49.0,constant,full
77,MMadinier,"(patron, (pastourelle, 10.0))",0.0764135560559,2.0,proximity,49.0,constant,full
78,MMadinier,"(patron, (cartonnier, 8.0))",0.117710951921,3.0,proximity,49.0,constant,full
79,MMadinier,"(patron, (gardien, 7.83333333333))",0.158127636011,4.0,proximity,49.0,constant,full
80,MMadinier,"(ouvrier, (dessinateur, 14.5))",0.154000562187,0.0,proximity,49.0,constant,full
81,MMadinier,"(ouvrier, (cardeuse, 11.625))",,1.0,proximity,49.0,constant,full
82,MMadinier,"(ouvrier, (pastourelle, 10.0))",0.0472044630522,2.0,proximity,49.0,constant,full
83,MMadinier,"(ouvrier, (cartonnier, 8.0))",0.200519898717,3.0,proximity,49.0,constant,full
84,MMadinier,"(ouvrier, (gardien, 7.83333333333))",0.108113738691,4.0,proximity,49.0,constant,full
85,Bibi-la-Grillade,"(ouvrier, (président, 11.0))",0.0584659895667,0.0,proximity,37.0,constant,full
86,Bibi-la-Grillade,"(ouvrier, (pastourelle, 8.0))",0.0472044630522,1.0,proximity,37.0,constant,full
87,Bibi-la-Grillade,"(ouvrier, (apprentie, 2.36))",0.0624238546799,2.0,proximity,37.0,constant,full
88,Bibi-la-Grillade,"(ouvrier, (cardeuse, 1.55555555556))",,3.0,proximity,37.0,constant,full
89,Bibi-la-Grillade,"(ouvrier, (chanteuse, 1.5))",-0.0114331863628,4.0,proximity,37.0,constant,full
90,Bibi-la-Grillade,"(tanneur, (président, 11.0))",0.04216406118,0.0,proximity,37.0,constant,full
91,Bibi-la-Grillade,"(tanneur, (pastourelle, 8.0))",0.0907734963536,1.0,proximity,37.0,constant,full
92,Bibi-la-Grillade,"(tanneur, (apprentie, 2.36))",0.0762210060754,2.0,proximity,37.0,constant,full
93,Bibi-la-Grillade,"(tanneur, (cardeuse, 1.55555555556))",,3.0,proximity,37.0,constant,full
94,Bibi-la-Grillade,"(tanneur, (chanteuse, 1.5))",0.0180037870686,4.0,proximity,37.0,constant,full
95,Augustine,"(apprentie, (soigneuse, 17.0))",,0.0,proximity,36.0,constant,full
96,Augustine,"(apprentie, (apprentie, 6.25))",1.0,1.0,proximity,36.0,constant,full
97,Augustine,"(apprentie, (boucher, 4.5))",0.142590740094,2.0,proximity,36.0,constant,full
98,Augustine,"(apprentie, (juré, 4.0))",0.0143191269611,3.0,proximity,36.0,constant,full
99,Augustine,"(apprentie, (patronne, 3.30769230769))",0.174219115351,4.0,proximity,36.0,constant,full
100,Augustine,"(ouvrière, (soigneuse, 17.0))",,0.0,proximity,36.0,constant,full
101,Augustine,"(ouvrière, (apprentie, 6.25))",0.0491525414031,1.0,proximity,36.0,constant,full
102,Augustine,"(ouvrière, (boucher, 4.5))",0.0669561221276,2.0,proximity,36.0,constant,full
103,Augustine,"(ouvrière, (juré, 4.0))",0.0335902486226,3.0,proximity,36.0,constant,full
104,Augustine,"(ouvrière, (patronne, 3.30769230769))",0.0908681394102,4.0,proximity,36.0,constant,full
105,Putois,"(ouvrière, (commissaire, 13.0))",0.0385387543679,0.0,proximity,35.0,constant,full
106,Putois,"(ouvrière, (fruitière, 3.30769230769))",0.0459725404109,1.0,proximity,35.0,constant,full
107,Putois,"(ouvrière, (apprentie, 2.51428571429))",0.0491525414031,2.0,proximity,35.0,constant,full
108,Putois,"(ouvrière, (patronne, 2.32727272727))",0.0908681394102,3.0,proximity,35.0,constant,full
109,Putois,"(ouvrière, (charcutier, 1.05882352941))",0.0654612828838,4.0,proximity,35.0,constant,full
