,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Gervaise,"(blanchisseuse, (maître, 116.061692205))",,0.0,proximity,681.0,decreasing,full
1,Gervaise,"(blanchisseuse, (cardeuse, 99.6228802426))",,1.0,proximity,681.0,decreasing,full
2,Gervaise,"(blanchisseuse, (maire, 98.0))",,2.0,proximity,681.0,decreasing,full
3,Gervaise,"(blanchisseuse, (mécanicien, 97.1624495702))",,3.0,proximity,681.0,decreasing,full
4,Gervaise,"(blanchisseuse, (boulanger, 96.4302185561))",,4.0,proximity,681.0,decreasing,full
5,Coupeau,"(zingueur, (commis, 72.5378361773))",0.295695350183,0.0,proximity,539.0,decreasing,full
6,Coupeau,"(zingueur, (chantre, 66.0))",0.0520531695504,1.0,proximity,539.0,decreasing,full
7,Coupeau,"(zingueur, (maire, 62.1135261684))",0.0504981716917,2.0,proximity,539.0,decreasing,full
8,Coupeau,"(zingueur, (chanteuse, 57.0))",0.0622685723145,3.0,proximity,539.0,decreasing,full
9,Coupeau,"(zingueur, (ébéniste, 51.3717243052))",0.383505469431,4.0,proximity,539.0,decreasing,full
10,Lantier,"(tanneur, (cuisinier, 39.0))",0.13627310922,0.0,proximity,243.0,decreasing,full
11,Lantier,"(tanneur, (producteur, 30.4530558873))",0.0283653116602,1.0,proximity,243.0,decreasing,full
12,Lantier,"(tanneur, (avocat, 28.0))",0.0133323231691,2.0,proximity,243.0,decreasing,full
13,Lantier,"(tanneur, (gendarme, 27.6298458918))",0.0793353871582,3.0,proximity,243.0,decreasing,full
14,Lantier,"(tanneur, (épicière, 27.1262145508))",,4.0,proximity,243.0,decreasing,full
15,Lantier,"(chapelier, (cuisinier, 39.0))",0.0987400235556,0.0,proximity,243.0,decreasing,full
16,Lantier,"(chapelier, (producteur, 30.4530558873))",0.0664990416668,1.0,proximity,243.0,decreasing,full
17,Lantier,"(chapelier, (avocat, 28.0))",0.0677630736412,2.0,proximity,243.0,decreasing,full
18,Lantier,"(chapelier, (gendarme, 27.6298458918))",0.109970376043,3.0,proximity,243.0,decreasing,full
19,Lantier,"(chapelier, (épicière, 27.1262145508))",,4.0,proximity,243.0,decreasing,full
20,Lorilleux,"(bijoutier, (dessinateur, 82.0))",0.166350398206,0.0,proximity,211.0,decreasing,full
21,Lorilleux,"(bijoutier, (poseur, 65.9170269365))",0.153036750889,1.0,proximity,211.0,decreasing,full
22,Lorilleux,"(bijoutier, (arracheur, 37.3644043154))",0.189024177677,2.0,proximity,211.0,decreasing,full
23,Lorilleux,"(bijoutier, (doublure, 24.0))",0.0568728660551,3.0,proximity,211.0,decreasing,full
24,Lorilleux,"(bijoutier, (maire, 23.0483395041))",0.0634078736808,4.0,proximity,211.0,decreasing,full
25,Boche,"(concierge, (portière, 49.0))",0.179418399745,0.0,proximity,176.0,decreasing,full
26,Boche,"(concierge, (commerçante, 46.0))",,1.0,proximity,176.0,decreasing,full
27,Boche,"(concierge, (intendant, 31.0))",0.198397786223,2.0,proximity,176.0,decreasing,full
28,Boche,"(concierge, (médecin, 19.2507346632))",0.0602368887266,3.0,proximity,176.0,decreasing,full
29,Boche,"(concierge, (cardeuse, 19.1381017649))",,4.0,proximity,176.0,decreasing,full
30,Nana,"(courtisane, (herboriste, 84.0))",0.100523086044,0.0,proximity,151.0,decreasing,full
31,Nana,"(courtisane, (arbitre, 30.2807493625))",0.0347327556216,1.0,proximity,151.0,decreasing,full
32,Nana,"(courtisane, (portière, 16.7102729316))",0.0329760517017,2.0,proximity,151.0,decreasing,full
33,Nana,"(courtisane, (médecin, 12.0282409551))",0.0744466612034,3.0,proximity,151.0,decreasing,full
34,Nana,"(courtisane, (pastourelle, 11.8974080587))",0.209217982181,4.0,proximity,151.0,decreasing,full
35,Virginie,"(laveuse, (commissaire, 46.3300534387))",0.0402154772388,0.0,proximity,136.0,decreasing,full
36,Virginie,"(laveuse, (épicière, 17.7101633162))",,1.0,proximity,136.0,decreasing,full
37,Virginie,"(laveuse, (ébéniste, 14.5960193624))",0.07277715056,2.0,proximity,136.0,decreasing,full
38,Virginie,"(laveuse, (couturière, 12.517018011))",0.161937502111,3.0,proximity,136.0,decreasing,full
39,Virginie,"(laveuse, (charcutier, 11.7531503705))",0.134533645594,4.0,proximity,136.0,decreasing,full
40,Goujet,"(forgeron, (frappeur, 59.0))",0.163008660548,0.0,proximity,110.0,decreasing,full
41,Goujet,"(forgeron, (calicot, 30.9534035864))",0.0965118662191,1.0,proximity,110.0,decreasing,full
42,Goujet,"(forgeron, (chef, 23.5777302308))",0.130242239406,2.0,proximity,110.0,decreasing,full
43,Goujet,"(forgeron, (cloutier, 20.0407479355))",0.284308663482,3.0,proximity,110.0,decreasing,full
44,Goujet,"(forgeron, (dentellière, 16.1878806231))",0.202019622808,4.0,proximity,110.0,decreasing,full
45,Poisson,"(épicier, (danseuse, 69.4492848381))",0.0694356406513,0.0,proximity,81.0,decreasing,full
46,Poisson,"(épicier, (vidangeur, 31.0626664908))",0.152528197673,1.0,proximity,81.0,decreasing,full
47,Poisson,"(épicier, (ébéniste, 10.9029431596))",0.333053561878,2.0,proximity,81.0,decreasing,full
48,Poisson,"(épicier, (couturière, 8.52871378737))",0.278056308118,3.0,proximity,81.0,decreasing,full
49,Poisson,"(épicier, (horloger, 8.0396589263))",0.294189142548,4.0,proximity,81.0,decreasing,full
50,Poisson,"(patron, (danseuse, 69.4492848381))",0.0480284496399,0.0,proximity,81.0,decreasing,full
51,Poisson,"(patron, (vidangeur, 31.0626664908))",0.119227520258,1.0,proximity,81.0,decreasing,full
52,Poisson,"(patron, (ébéniste, 10.9029431596))",0.101173583028,2.0,proximity,81.0,decreasing,full
53,Poisson,"(patron, (couturière, 8.52871378737))",0.221888644607,3.0,proximity,81.0,decreasing,full
54,Poisson,"(patron, (horloger, 8.0396589263))",0.164498058848,4.0,proximity,81.0,decreasing,full
55,Clémence,"(ouvrière, (fleuriste, 19.2989266957))",0.0445621916333,0.0,proximity,71.0,decreasing,full
56,Clémence,"(ouvrière, (apprentie, 17.3361200077))",0.0491525414031,1.0,proximity,71.0,decreasing,full
57,Clémence,"(ouvrière, (ouvrière, 14.7386410864))",1.0,2.0,proximity,71.0,decreasing,full
58,Clémence,"(ouvrière, (notaire, 14.0))",0.0700715518897,3.0,proximity,71.0,decreasing,full
59,Clémence,"(ouvrière, (balancier, 13.170382999))",0.0500841600655,4.0,proximity,71.0,decreasing,full
60,Lerat,"(fleuriste, (domestique, 33.0))",0.0528479165401,0.0,proximity,67.0,decreasing,full
61,Lerat,"(fleuriste, (juré, 28.0059507698))",0.000558741841065,1.0,proximity,67.0,decreasing,full
62,Lerat,"(fleuriste, (cardeuse, 15.3225293648))",,2.0,proximity,67.0,decreasing,full
63,Lerat,"(fleuriste, (comique, 9.56439127608))",0.0135705997524,3.0,proximity,67.0,decreasing,full
64,Lerat,"(fleuriste, (fleuriste, 6.5676890504))",1.0,4.0,proximity,67.0,decreasing,full
65,Étienne,"(ouvrier, (notaire, 18.7371775197))",0.0430441037819,0.0,proximity,54.0,decreasing,full
66,Étienne,"(ouvrier, (cloutier, 14.573329526))",0.156727430195,1.0,proximity,54.0,decreasing,full
67,Étienne,"(ouvrier, (surveillant, 6.75674563578))",0.220622544749,2.0,proximity,54.0,decreasing,full
68,Étienne,"(ouvrier, (laveuse, 3.9463652743))",0.164136499282,3.0,proximity,54.0,decreasing,full
69,Étienne,"(ouvrier, (mécanicien, 3.82551465498))",0.407853232448,4.0,proximity,54.0,decreasing,full
70,Étienne,"(hercheur, (notaire, 18.7371775197))",,0.0,proximity,54.0,decreasing,full
71,Étienne,"(hercheur, (cloutier, 14.573329526))",,1.0,proximity,54.0,decreasing,full
72,Étienne,"(hercheur, (surveillant, 6.75674563578))",,2.0,proximity,54.0,decreasing,full
73,Étienne,"(hercheur, (laveuse, 3.9463652743))",,3.0,proximity,54.0,decreasing,full
74,Étienne,"(hercheur, (mécanicien, 3.82551465498))",,4.0,proximity,54.0,decreasing,full
75,MMadinier,"(patron, (gardien, 17.5563187764))",0.158127636011,0.0,proximity,49.0,decreasing,full
76,MMadinier,"(patron, (dessinateur, 17.4410792795))",0.102462262893,1.0,proximity,49.0,decreasing,full
77,MMadinier,"(patron, (cardeuse, 9.44803205625))",,2.0,proximity,49.0,decreasing,full
78,MMadinier,"(patron, (poseur, 9.30214284874))",0.124574617703,3.0,proximity,49.0,decreasing,full
79,MMadinier,"(patron, (comique, 6.46914362383))",0.109225614172,4.0,proximity,49.0,decreasing,full
80,MMadinier,"(ouvrier, (gardien, 17.5563187764))",0.108113738691,0.0,proximity,49.0,decreasing,full
81,MMadinier,"(ouvrier, (dessinateur, 17.4410792795))",0.154000562187,1.0,proximity,49.0,decreasing,full
82,MMadinier,"(ouvrier, (cardeuse, 9.44803205625))",,2.0,proximity,49.0,decreasing,full
83,MMadinier,"(ouvrier, (poseur, 9.30214284874))",0.284948788744,3.0,proximity,49.0,decreasing,full
84,MMadinier,"(ouvrier, (comique, 6.46914362383))",0.0436012466349,4.0,proximity,49.0,decreasing,full
85,Bibi-la-Grillade,"(ouvrier, (pastourelle, 11.4858065402))",0.0472044630522,0.0,proximity,37.0,decreasing,full
86,Bibi-la-Grillade,"(ouvrier, (président, 6.78816895393))",0.0584659895667,1.0,proximity,37.0,decreasing,full
