,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Gervaise,pos,6.0,33.9067261905,4.0,34.0932738095,58.0,56.3875
1,Coupeau,pos,4.0,25.1282936508,1.0,27.8717063492,48.0,43.5021428571
2,Lantier,neg,1.0,12.315,2.0,11.685,21.0,17.2779166667
3,Lorilleux,neutral,2.0,10.3554166667,2.0,10.6445833333,17.0,17.5166666667
4,Boche,neg,0.0,8.10113095238,1.0,8.89886904762,16.0,14.630952381
5,Nana,neg,1.0,8.121,2.0,6.879,12.0,12.3583333333
6,Virginie,pos,1.0,5.90691666667,0.0,7.09308333333,12.0,9.905
7,Goujet,neg,0.0,5.91071428571,1.0,5.08928571429,10.0,9.1
8,Poisson,pos,2.0,4.8825,0.0,5.1175,8.0,8.79833333333
9,Clémence,neutral,0.0,4.875,0.0,5.125,10.0,9.31666666667
10,Lerat,neutral,0.0,4.58347222222,0.0,5.41652777778,10.0,8.76388888889
11,Mes-Bottes,pos,1.0,4.90166666667,0.0,5.09833333333,9.0,8.77666666667
12,Étienne,neutral,0.0,4.65625,0.0,5.34375,10.0,8.35
13,MMadinier,pos,2.0,4.72416666667,0.0,5.27583333333,8.0,8.03333333333
14,Bibi-la-Grillade,neg,0.0,5.13333333333,1.0,4.86666666667,9.0,8.16666666667
15,Augustine,neutral,1.0,4.7025,1.0,5.2975,8.0,7.64
16,Putois,neg,0.0,5.21141666667,1.0,4.78858333333,9.0,8.48791666667
17,Bijard,neg,0.0,5.1525,1.0,4.8475,9.0,9.28333333333
18,Fauconnier,pos,2.0,4.33833333333,1.0,5.66166666667,7.0,7.4
19,Colombe,neutral,1.0,4.6,1.0,5.4,8.0,7.0
20,Bazouge,pos,3.0,4.25982142857,0.0,5.74017857143,7.0,6.66547619048
21,Remanjou,pos,1.0,4.6175,0.0,5.3825,9.0,8.4375
22,Lalie,pos,1.0,4.82083333333,0.0,5.17916666667,9.0,8.52083333333
23,Bec-Salé,neutral,1.0,5.43285714286,1.0,4.56714285714,8.0,7.27142857143
24,Pauline,neutral,0.0,4.72821428571,0.0,5.27178571429,10.0,9.28095238095
