,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Gervaise,pos,4.0,21.4385,3.0,25.5615,40.0,36.7633333333
1,Coupeau,neg,2.0,17.9847142857,4.0,17.0152857143,29.0,25.9442857143
2,Lantier,neutral,1.0,7.54416666667,1.0,7.45583333333,13.0,12.075
3,Lorilleux,neutral,0.0,6.68225,0.0,6.31775,13.0,10.485
4,Boche,neutral,0.0,4.41520833333,0.0,5.58479166667,10.0,8.80833333333
5,Nana,neutral,1.0,5.485,1.0,4.515,8.0,7.7
6,Virginie,neg,0.0,5.2464047619,1.0,4.7535952381,9.0,8.13642857143
7,Goujet,neutral,0.0,4.96666666667,0.0,5.03333333333,10.0,8.86666666667
8,Poisson,pos,2.0,4.76,0.0,5.24,8.0,7.78333333333
9,Clémence,neutral,0.0,4.92033333333,0.0,5.07966666667,10.0,8.6
10,Lerat,pos,2.0,4.87683333333,0.0,5.12316666667,8.0,6.66666666667
11,Mes-Bottes,pos,2.0,4.69875,0.0,5.30125,8.0,7.83333333333
12,Étienne,neg,0.0,4.87833333333,1.0,5.12166666667,9.0,8.5
13,MMadinier,pos,1.0,5.085,0.0,4.915,9.0,8.3
14,Bibi-la-Grillade,neg,0.0,5.15333333333,1.0,4.84666666667,9.0,8.68333333333
15,Augustine,neutral,1.0,4.64666666667,1.0,5.35333333333,8.0,8.25
16,Putois,pos,2.0,4.23666666667,0.0,5.76333333333,8.0,7.95
17,Bijard,neg,1.0,5.63416666667,3.0,4.36583333333,6.0,6.725
18,Fauconnier,neutral,1.0,4.64833333333,1.0,5.35166666667,8.0,7.55
19,Colombe,neutral,0.0,4.88,0.0,5.12,10.0,8.825
20,Bazouge,neutral,1.0,4.99333333333,1.0,5.00666666667,8.0,7.97833333333
21,Remanjou,neutral,0.0,4.70194444444,0.0,5.29805555556,10.0,8.55
22,Lalie,neutral,0.0,5.13666666667,0.0,4.86333333333,10.0,8.83416666667
23,Bec-Salé,pos,2.0,5.01,0.0,4.99,8.0,8.6
24,Pauline,neutral,0.0,3.24083333333,0.0,3.75916666667,7.0,6.19166666667
