,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (maître, 16))",0.264081932467,0.0,count,40.0,constant,exposition
1,Passepartout,"(valet, (domestique, 7))",0.115863284376,1.0,count,40.0,constant,exposition
2,Passepartout,"(valet, (valet, 3))",1.0,2.0,count,40.0,constant,exposition
3,Passepartout,"(valet, (guide, 2))",0.0309550251997,3.0,count,40.0,constant,exposition
4,Passepartout,"(valet, (cocher, 1))",0.149529722864,4.0,count,40.0,constant,exposition
5,Passepartout,"(domestique, (maître, 16))",0.110151265263,0.0,count,40.0,constant,exposition
6,Passepartout,"(domestique, (domestique, 7))",1.0,1.0,count,40.0,constant,exposition
7,Passepartout,"(domestique, (valet, 3))",0.115863284376,2.0,count,40.0,constant,exposition
8,Passepartout,"(domestique, (guide, 2))",0.121254268357,3.0,count,40.0,constant,exposition
9,Passepartout,"(domestique, (cocher, 1))",0.052121165061,4.0,count,40.0,constant,exposition
10,PhileasFogg,"(gentleman, (domestique, 9))",0.0705495726606,0.0,count,28.0,constant,exposition
11,PhileasFogg,"(gentleman, (maître, 4))",0.12426094498,1.0,count,28.0,constant,exposition
12,PhileasFogg,"(gentleman, (armateur, 2))",0.101237398195,2.0,count,28.0,constant,exposition
13,PhileasFogg,"(gentleman, (valet, 1))",0.198387729539,3.0,count,28.0,constant,exposition
14,PhileasFogg,"(gentleman, (chanteur, 1))",0.179358437347,4.0,count,28.0,constant,exposition
15,PhileasFogg,"(maître, (domestique, 9))",0.110151265263,0.0,count,28.0,constant,exposition
16,PhileasFogg,"(maître, (maître, 4))",1.0,1.0,count,28.0,constant,exposition
17,PhileasFogg,"(maître, (armateur, 2))",0.0894132307555,2.0,count,28.0,constant,exposition
18,PhileasFogg,"(maître, (valet, 1))",0.264081932467,3.0,count,28.0,constant,exposition
19,PhileasFogg,"(maître, (chanteur, 1))",0.0976885605486,4.0,count,28.0,constant,exposition
20,MrFogg,"(gentleman, (maître, 5))",0.12426094498,0.0,count,26.0,constant,exposition
21,MrFogg,"(gentleman, (cocher, 2))",0.0360199513867,1.0,count,26.0,constant,exposition
