,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (maître, 53.025334529))",0.264081932467,0.0,count,40.0,decreasing,exposition
1,Passepartout,"(valet, (domestique, 20.2726506852))",0.115863284376,1.0,count,40.0,decreasing,exposition
2,Passepartout,"(valet, (valet, 11.8615394866))",1.0,2.0,count,40.0,decreasing,exposition
3,Passepartout,"(valet, (guide, 5.15392048368))",0.0309550251997,3.0,count,40.0,decreasing,exposition
4,Passepartout,"(valet, (professeur, 4.26245268177))",0.0751307020031,4.0,count,40.0,decreasing,exposition
5,Passepartout,"(domestique, (maître, 53.025334529))",0.110151265263,0.0,count,40.0,decreasing,exposition
6,Passepartout,"(domestique, (domestique, 20.2726506852))",1.0,1.0,count,40.0,decreasing,exposition
7,Passepartout,"(domestique, (valet, 11.8615394866))",0.115863284376,2.0,count,40.0,decreasing,exposition
8,Passepartout,"(domestique, (guide, 5.15392048368))",0.121254268357,3.0,count,40.0,decreasing,exposition
9,Passepartout,"(domestique, (professeur, 4.26245268177))",0.0422295542551,4.0,count,40.0,decreasing,exposition
10,PhileasFogg,"(gentleman, (domestique, 36.5851325466))",0.0705495726606,0.0,count,28.0,decreasing,exposition
11,PhileasFogg,"(gentleman, (maître, 15.3892475869))",0.12426094498,1.0,count,28.0,decreasing,exposition
12,PhileasFogg,"(gentleman, (armateur, 12.3971474989))",0.101237398195,2.0,count,28.0,decreasing,exposition
13,PhileasFogg,"(gentleman, (valet, 4.26245268177))",0.198387729539,3.0,count,28.0,decreasing,exposition
14,PhileasFogg,"(gentleman, (chanteur, 4.26245268177))",0.179358437347,4.0,count,28.0,decreasing,exposition
15,PhileasFogg,"(maître, (domestique, 36.5851325466))",0.110151265263,0.0,count,28.0,decreasing,exposition
16,PhileasFogg,"(maître, (maître, 15.3892475869))",1.0,1.0,count,28.0,decreasing,exposition
17,PhileasFogg,"(maître, (armateur, 12.3971474989))",0.0894132307555,2.0,count,28.0,decreasing,exposition
18,PhileasFogg,"(maître, (valet, 4.26245268177))",0.264081932467,3.0,count,28.0,decreasing,exposition
19,PhileasFogg,"(maître, (chanteur, 4.26245268177))",0.0976885605486,4.0,count,28.0,decreasing,exposition
20,MrFogg,"(gentleman, (maître, 12.7123538946))",0.12426094498,0.0,count,26.0,decreasing,exposition
21,MrFogg,"(gentleman, (guide, 5.15989065067))",0.0433833818058,1.0,count,26.0,decreasing,exposition
22,MrFogg,"(gentleman, (cocher, 5.04340916356))",0.0360199513867,2.0,count,26.0,decreasing,exposition
23,MrFogg,"(gentleman, (domestique, 4.5237019858))",0.0705495726606,3.0,count,26.0,decreasing,exposition
24,MrFogg,"(gentleman, (auteur, 2.42344032769))",0.115470402055,4.0,count,26.0,decreasing,exposition
25,MrFogg,"(maître, (maître, 12.7123538946))",1.0,0.0,count,26.0,decreasing,exposition
26,MrFogg,"(maître, (guide, 5.15989065067))",0.0930086275723,1.0,count,26.0,decreasing,exposition
27,MrFogg,"(maître, (cocher, 5.04340916356))",0.103165109895,2.0,count,26.0,decreasing,exposition
28,MrFogg,"(maître, (domestique, 4.5237019858))",0.110151265263,3.0,count,26.0,decreasing,exposition
29,MrFogg,"(maître, (auteur, 2.42344032769))",0.195937076281,4.0,count,26.0,decreasing,exposition
30,Fix,"(détective, (consul, 19.0570823036))",0.0770179069394,0.0,count,25.0,decreasing,exposition
31,Fix,"(détective, (maître, 8.28218692033))",0.131508443374,1.0,count,25.0,decreasing,exposition
32,Fix,"(détective, (domestique, 8.26731675785))",0.0418233887439,2.0,count,25.0,decreasing,exposition
33,Fix,"(détective, (directeur, 6.81447445796))",0.0425585888437,3.0,count,25.0,decreasing,exposition
34,Fix,"(détective, (auteur, 6.81447445796))",0.238515386461,4.0,count,25.0,decreasing,exposition
35,Fix,"(inspecteur, (consul, 19.0570823036))",0.138407274754,0.0,count,25.0,decreasing,exposition
36,Fix,"(inspecteur, (maître, 8.28218692033))",0.190245275842,1.0,count,25.0,decreasing,exposition
37,Fix,"(inspecteur, (domestique, 8.26731675785))",0.0131766478479,2.0,count,25.0,decreasing,exposition
38,Fix,"(inspecteur, (directeur, 6.81447445796))",0.411780732762,3.0,count,25.0,decreasing,exposition
39,Fix,"(inspecteur, (auteur, 6.81447445796))",0.12063251792,4.0,count,25.0,decreasing,exposition
40,Fix,"(agent, (consul, 19.0570823036))",0.108799554307,0.0,count,25.0,decreasing,exposition
41,Fix,"(agent, (maître, 8.28218692033))",0.10249944802,1.0,count,25.0,decreasing,exposition
42,Fix,"(agent, (domestique, 8.26731675785))",0.0964640831033,2.0,count,25.0,decreasing,exposition
43,Fix,"(agent, (directeur, 6.81447445796))",0.243156822139,3.0,count,25.0,decreasing,exposition
44,Fix,"(agent, (auteur, 6.81447445796))",0.0819832970858,4.0,count,25.0,decreasing,exposition
45,MrsAouda,"(veuve, (policeman, 3.23063866758))",,0.0,count,12.0,decreasing,exposition
46,MrsAouda,"(veuve, (brigadier, 2.26089780243))",0.105217455927,1.0,count,12.0,decreasing,exposition
47,MrsAouda,"(veuve, (général, 2.26089780243))",0.0546498735535,2.0,count,12.0,decreasing,exposition
48,MrsAouda,"(veuve, (guide, 1.13682464876))",0.0151711190346,3.0,count,12.0,decreasing,exposition
49,MrsAouda,"(veuve, (bonne, 1.11857852853))",0.010403797894,4.0,count,12.0,decreasing,exposition
50,MrsAouda,"(épouse, (policeman, 3.23063866758))",,0.0,count,12.0,decreasing,exposition
51,MrsAouda,"(épouse, (brigadier, 2.26089780243))",0.138575585244,1.0,count,12.0,decreasing,exposition
52,MrsAouda,"(épouse, (général, 2.26089780243))",0.0825115468982,2.0,count,12.0,decreasing,exposition
53,MrsAouda,"(épouse, (guide, 1.13682464876))",0.0449659635365,3.0,count,12.0,decreasing,exposition
54,MrsAouda,"(épouse, (bonne, 1.11857852853))",0.0202696172326,4.0,count,12.0,decreasing,exposition
55,Fogg,"(gentleman, (domestique, 3.56225722624))",0.0705495726606,0.0,count,10.0,decreasing,exposition
56,Fogg,"(gentleman, (directeur, 3.2421890315))",0.088786038607,1.0,count,10.0,decreasing,exposition
57,Fogg,"(gentleman, (employé, 2.82506665949))",0.0544270996411,2.0,count,10.0,decreasing,exposition
58,Fogg,"(gentleman, (consul, 1.83707917978))",0.0381452874025,3.0,count,10.0,decreasing,exposition
59,Fogg,"(gentleman, (inspecteur, 1.72517804646))",0.157377830054,4.0,count,10.0,decreasing,exposition
60,Fogg,"(maître, (domestique, 3.56225722624))",0.110151265263,0.0,count,10.0,decreasing,exposition
61,Fogg,"(maître, (directeur, 3.2421890315))",0.190178591302,1.0,count,10.0,decreasing,exposition
62,Fogg,"(maître, (employé, 2.82506665949))",0.11730903422,2.0,count,10.0,decreasing,exposition
63,Fogg,"(maître, (consul, 1.83707917978))",0.102537303992,3.0,count,10.0,decreasing,exposition
64,Fogg,"(maître, (inspecteur, 1.72517804646))",0.190245275842,4.0,count,10.0,decreasing,exposition
65,FrancisCromarty,"(brigadier, (brigadier, 7.75202885515))",1.0,0.0,count,10.0,decreasing,exposition
66,FrancisCromarty,"(brigadier, (général, 7.75202885515))",0.247270929523,1.0,count,10.0,decreasing,exposition
67,FrancisCromarty,"(brigadier, (maître, 4.60011671406))",0.139653614523,2.0,count,10.0,decreasing,exposition
68,FrancisCromarty,"(brigadier, (conducteur, 4.49702792439))",0.129156371712,3.0,count,10.0,decreasing,exposition
69,FrancisCromarty,"(brigadier, (domestique, 1.55011062858))",0.073397005682,4.0,count,10.0,decreasing,exposition
70,FrancisCromarty,"(général, (brigadier, 7.75202885515))",0.247270929523,0.0,count,10.0,decreasing,exposition
71,FrancisCromarty,"(général, (général, 7.75202885515))",1.0,1.0,count,10.0,decreasing,exposition
72,FrancisCromarty,"(général, (maître, 4.60011671406))",0.0945025589207,2.0,count,10.0,decreasing,exposition
73,FrancisCromarty,"(général, (conducteur, 4.49702792439))",0.00984581754214,3.0,count,10.0,decreasing,exposition
74,FrancisCromarty,"(général, (domestique, 1.55011062858))",0.0835481702835,4.0,count,10.0,decreasing,exposition
75,AndrewStuart,"(ingénieur, (ingénieur, 6.56731991744))",1.0,0.0,count,10.0,decreasing,exposition
76,AndrewStuart,"(ingénieur, (brasseur, 6.56731991744))",0.0677224750335,1.0,count,10.0,decreasing,exposition
77,AndrewStuart,"(ingénieur, (auteur, 3.27759927845))",0.0579231526173,2.0,count,10.0,decreasing,exposition
78,AndrewStuart,"(ingénieur, (maîtresse, 2.97348666461))",0.0753654795829,3.0,count,10.0,decreasing,exposition
79,Proctor,"(colonel, (colonel, 3.08526425314))",1.0,0.0,count,10.0,decreasing,exposition
80,Proctor,"(colonel, (coach, 0.396980414411))",0.0507329906175,1.0,count,10.0,decreasing,exposition
81,Proctor,"(colonel, (conducteur, 0.30873064717))",0.0416459408613,2.0,count,10.0,decreasing,exposition
82,Proctor,"(colonel, (chef, 0.30873064717))",0.335354573375,3.0,count,10.0,decreasing,exposition
83,Proctor,"(colonel, (mécanicien, 0.30873064717))",0.175716809593,4.0,count,10.0,decreasing,exposition
84,JohnBunsby,"(patron, (patron, 3.24815253578))",1.0,0.0,count,10.0,decreasing,exposition
85,JohnBunsby,"(patron, (pilote, 1.87592635307))",0.0732592126941,1.0,count,10.0,decreasing,exposition
86,JohnBunsby,"(patron, (détective, 0.641990228118))",0.154334736028,2.0,count,10.0,decreasing,exposition
87,JohnBunsby,"(patron, (météorologiste, 0.600132500724))",0.0396154899011,3.0,count,10.0,decreasing,exposition
88,JohnBunsby,"(patron, (privé, 0.59600026344))",0.275560671036,4.0,count,10.0,decreasing,exposition
89,JohnBunsby,"(pilote, (patron, 3.24815253578))",0.0732592126941,0.0,count,10.0,decreasing,exposition
90,JohnBunsby,"(pilote, (pilote, 1.87592635307))",1.0,1.0,count,10.0,decreasing,exposition
91,JohnBunsby,"(pilote, (détective, 0.641990228118))",0.0672144542153,2.0,count,10.0,decreasing,exposition
92,JohnBunsby,"(pilote, (météorologiste, 0.600132500724))",0.191324907048,3.0,count,10.0,decreasing,exposition
93,JohnBunsby,"(pilote, (privé, 0.59600026344))",0.1374368287,4.0,count,10.0,decreasing,exposition
94,JohnBunsby,"(capitaine, (patron, 3.24815253578))",0.171242458658,0.0,count,10.0,decreasing,exposition
95,JohnBunsby,"(capitaine, (pilote, 1.87592635307))",0.154968264959,1.0,count,10.0,decreasing,exposition
96,JohnBunsby,"(capitaine, (détective, 0.641990228118))",0.209351760748,2.0,count,10.0,decreasing,exposition
97,JohnBunsby,"(capitaine, (météorologiste, 0.600132500724))",0.0940909163417,3.0,count,10.0,decreasing,exposition
98,JohnBunsby,"(capitaine, (privé, 0.59600026344))",0.0311286478779,4.0,count,10.0,decreasing,exposition
99,Stuart,"(ingénieur, (consultant, 2.79116510781))",0.351407849382,0.0,count,8.0,decreasing,exposition
100,Obadiah,"(juge, (juge, 8.37451544471))",1.0,0.0,count,8.0,decreasing,exposition
101,Obadiah,"(juge, (greffier, 3.17101046787))",0.536921700239,1.0,count,8.0,decreasing,exposition
102,Obadiah,"(juge, (policeman, 3.11952872776))",,2.0,count,8.0,decreasing,exposition
103,Obadiah,"(juge, (détective, 2.04249515905))",0.141279581859,3.0,count,8.0,decreasing,exposition
104,Obadiah,"(juge, (magistrat, 1.06049333056))",0.641025070167,4.0,count,8.0,decreasing,exposition
105,Mudge,"(conducteur, (guide, 0.313762184558))",0.0597297619141,0.0,count,8.0,decreasing,exposition
106,Mudge,"(conducteur, (inspecteur, 0.177289928581))",0.0916994176812,1.0,count,8.0,decreasing,exposition
107,ThomasFlanagan,"(brasseur, (ingénieur, 6.59937359596))",0.0677224750335,0.0,count,7.0,decreasing,exposition
108,ThomasFlanagan,"(brasseur, (brasseur, 6.59937359596))",1.0,1.0,count,7.0,decreasing,exposition
109,ThomasFlanagan,"(brasseur, (auteur, 3.28364159291))",0.116676855278,2.0,count,7.0,decreasing,exposition
110,ThomasFlanagan,"(brasseur, (administrateur, 0.0260113640605))",0.0426997087265,3.0,count,7.0,decreasing,exposition
111,JohnSullivan,"(banquier, (ingénieur, 3.31573200305))",0.0456023835773,0.0,count,7.0,decreasing,exposition
112,JohnSullivan,"(banquier, (brasseur, 3.31573200305))",0.0819297988068,1.0,count,7.0,decreasing,exposition
113,JohnSullivan,"(banquier, (industriel, 3.22480109289))",0.150392030743,2.0,count,7.0,decreasing,exposition
114,JohnSullivan,"(banquier, (administrateur, 0.0260113640605))",0.0371063883606,3.0,count,7.0,decreasing,exposition
115,Batulcar,"(directeur, (directeur, 0.508027149754))",1.0,0.0,count,7.0,decreasing,exposition
116,Batulcar,"(directeur, (domestique, 0.47496935777))",0.0927712239777,1.0,count,7.0,decreasing,exposition
117,Batulcar,"(directeur, (héraut, 0.47496935777))",0.0899513322212,2.0,count,7.0,decreasing,exposition
118,AndrewSpeedy,"(capitaine, (capitaine, 0.187830995419))",1.0,0.0,count,5.0,decreasing,exposition
119,AndrewSpeedy,"(capitaine, (vendeur, 0.0925419177293))",0.0321982304002,1.0,count,5.0,decreasing,exposition
