,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (maître, 103))",0.264081932467,0.0,count,402.0,constant,full
1,Passepartout,"(valet, (inspecteur, 41))",0.096434566945,1.0,count,402.0,constant,full
2,Passepartout,"(valet, (domestique, 29))",0.115863284376,2.0,count,402.0,constant,full
3,Passepartout,"(valet, (colonel, 14))",0.121851947517,3.0,count,402.0,constant,full
4,Passepartout,"(valet, (juge, 13))",0.0986742473299,4.0,count,402.0,constant,full
5,Passepartout,"(domestique, (maître, 103))",0.110151265263,0.0,count,402.0,constant,full
6,Passepartout,"(domestique, (inspecteur, 41))",0.0131766478479,1.0,count,402.0,constant,full
7,Passepartout,"(domestique, (domestique, 29))",1.0,2.0,count,402.0,constant,full
8,Passepartout,"(domestique, (colonel, 14))",0.0620714858146,3.0,count,402.0,constant,full
9,Passepartout,"(domestique, (juge, 13))",0.0294490185444,4.0,count,402.0,constant,full
10,PhileasFogg,"(gentleman, (maître, 34))",0.12426094498,0.0,count,280.0,constant,full
11,PhileasFogg,"(gentleman, (domestique, 25))",0.0705495726606,1.0,count,280.0,constant,full
12,PhileasFogg,"(gentleman, (inspecteur, 19))",0.157377830054,2.0,count,280.0,constant,full
13,PhileasFogg,"(gentleman, (capitaine, 18))",0.285914284586,3.0,count,280.0,constant,full
14,PhileasFogg,"(gentleman, (général, 13))",0.114258326849,4.0,count,280.0,constant,full
15,PhileasFogg,"(maître, (maître, 34))",1.0,0.0,count,280.0,constant,full
16,PhileasFogg,"(maître, (domestique, 25))",0.110151265263,1.0,count,280.0,constant,full
17,PhileasFogg,"(maître, (inspecteur, 19))",0.190245275842,2.0,count,280.0,constant,full
18,PhileasFogg,"(maître, (capitaine, 18))",0.160492415619,3.0,count,280.0,constant,full
19,PhileasFogg,"(maître, (général, 13))",0.0945025589207,4.0,count,280.0,constant,full
20,MrFogg,"(gentleman, (maître, 37))",0.12426094498,0.0,count,264.0,constant,full
21,MrFogg,"(gentleman, (domestique, 21))",0.0705495726606,1.0,count,264.0,constant,full
22,MrFogg,"(gentleman, (inspecteur, 19))",0.157377830054,2.0,count,264.0,constant,full
23,MrFogg,"(gentleman, (colonel, 14))",0.161010288191,3.0,count,264.0,constant,full
24,MrFogg,"(gentleman, (pilote, 14))",0.0687961697163,4.0,count,264.0,constant,full
25,MrFogg,"(maître, (maître, 37))",1.0,0.0,count,264.0,constant,full
26,MrFogg,"(maître, (domestique, 21))",0.110151265263,1.0,count,264.0,constant,full
27,MrFogg,"(maître, (inspecteur, 19))",0.190245275842,2.0,count,264.0,constant,full
28,MrFogg,"(maître, (colonel, 14))",0.0852575971483,3.0,count,264.0,constant,full
29,MrFogg,"(maître, (pilote, 14))",0.11081858506,4.0,count,264.0,constant,full
