,Character,Label,Title_score,Title_score_div,Title_in_name,Adj_score,Adj_score_div,Pron_score,Pron_score_div,Mention_count,Book_length,Span,Interaction_count,Char_count
0,Passepartout,m,-2.0,-0.00497512437811,0.0,-93.0,-0.231343283582,-414.0,-1.02985074627,402.0,4401.0,5.0,103.0,25.0
1,PhileasFogg,m,-2.0,-0.00714285714286,0.0,-21.0,-0.075,-120.0,-0.428571428571,280.0,4401.0,1019.0,68.0,25.0
2,MrFogg,m,0.0,0.0,-264.0,-36.0,-0.136363636364,-255.0,-0.965909090909,264.0,4401.0,515.0,78.0,25.0
3,Fix,m,-14.0,-0.0557768924303,0.0,-42.0,-0.167330677291,-297.0,-1.18326693227,251.0,4401.0,171.0,87.0,25.0
4,MrsAouda,f,0.0,0.0,129.0,3.0,0.0232558139535,-3.0,-0.0232558139535,129.0,4401.0,936.0,71.0,25.0
5,Fogg,m,-22.0,-0.338461538462,0.0,-3.0,-0.0461538461538,0.0,0.0,65.0,4401.0,3.0,11.0,25.0
6,FrancisCromarty,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4401.0,446.0,20.0,25.0
7,AndrewStuart,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4401.0,88.0,7.0,25.0
8,Proctor,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4401.0,386.0,5.0,25.0
9,JohnBunsby,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4401.0,188.0,7.0,25.0
10,Stuart,m,-3.0,-0.375,0.0,0.0,0.0,0.0,0.0,8.0,4401.0,10.0,2.0,25.0
11,Obadiah,m,-1.0,-0.125,0.0,0.0,0.0,0.0,0.0,8.0,4401.0,21.0,2.0,25.0
12,Mudge,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4401.0,7.0,3.0,25.0
13,ThomasFlanagan,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4401.0,3.0,3.0,25.0
14,JohnSullivan,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4401.0,4030.0,2.0,25.0
15,Batulcar,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4401.0,38.0,2.0,25.0
16,AndrewSpeedy,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4401.0,30.0,1.0,25.0
