,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score,Name_score
0,Passepartout,m,m,-173.0,-0.00497512437811,0.0,-0.0771144278607,-0.34328358209,0.0,0.0
1,PhileasFogg,m,m,-94.0,-0.00714285714286,0.0,-0.0285714285714,-0.292857142857,0.0,0.0
2,MrFogg,m,m,-889.0,0.0,-1.0,-0.0454545454545,-0.32196969697,0.0,0.0
3,Fix,m,m,-142.0,-0.0557768924303,0.0,-0.0557768924303,-0.394422310757,0.0,-1.0
4,MrsAouda,f,f,375.0,0.0,1.0,0.0542635658915,-0.147286821705,0.0,0.0
5,Fogg,m,m,-59.0,-0.338461538462,0.0,0.0307692307692,-0.261538461538,0.0,0.0
6,FrancisCromarty,m,m,-1.89,0.0,0.0,0.0,-0.0294117647059,0.0,-0.89
7,AndrewStuart,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
8,Proctor,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,JohnBunsby,m,m,-1.99,0.0,0.0,-0.0625,0.0,0.0,-0.99
10,Stuart,m,m,-6.99,-0.375,0.0,0.0,0.0,0.0,-0.99
11,Obadiah,m,m,-2.0,-0.125,0.0,0.0,0.0,0.0,0.0
12,Mudge,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ThomasFlanagan,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
14,JohnSullivan,m,m,-0.99,0.0,0.0,0.0,0.0,0.0,-0.99
15,Batulcar,m,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AndrewSpeedy,m,m,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
