,Character,Label,Title_score,Title_score_div,Title_in_name,Adj_score,Adj_score_div,Pron_score,Pron_score_div,Mention_count,Book_length,Span,Interaction_count,Char_count
0,Passepartout,m,-2.0,-0.0066889632107,0.0,6.0,0.0200668896321,-3.0,-0.0100334448161,299.0,4401.0,1534.0,103.0,25.0
1,PhileasFogg,m,-1.0,-0.00471698113208,0.0,-30.0,-0.141509433962,-147.0,-0.693396226415,212.0,4401.0,1924.0,68.0,25.0
2,MrFogg,m,0.0,0.0,-186.0,-6.0,-0.0322580645161,-33.0,-0.177419354839,186.0,4401.0,515.0,78.0,25.0
3,Fix,m,-14.0,-0.0853658536585,0.0,-36.0,-0.219512195122,-165.0,-1.00609756098,164.0,4401.0,509.0,87.0,25.0
4,MrsAouda,f,0.0,0.0,58.0,-3.0,-0.051724137931,-3.0,-0.051724137931,58.0,4401.0,1003.0,71.0,25.0
5,Fogg,m,-16.0,-0.296296296296,0.0,-3.0,-0.0555555555556,0.0,0.0,54.0,4401.0,1788.0,11.0,25.0
6,FrancisCromarty,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4401.0,223.0,20.0,25.0
7,AndrewStuart,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4401.0,4037.0,7.0,25.0
8,Proctor,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4401.0,386.0,5.0,25.0
9,JohnBunsby,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4401.0,124.0,7.0,25.0
10,Stuart,m,-2.0,-0.333333333333,0.0,0.0,0.0,0.0,0.0,6.0,4401.0,15.0,2.0,25.0
11,Obadiah,m,-1.0,-0.166666666667,0.0,0.0,0.0,0.0,0.0,6.0,4401.0,21.0,2.0,25.0
12,Mudge,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4401.0,41.0,3.0,25.0
13,ThomasFlanagan,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4401.0,4152.0,3.0,25.0
14,JohnSullivan,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4401.0,83.0,2.0,25.0
15,Batulcar,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4401.0,33.0,2.0,25.0
16,AndrewSpeedy,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4401.0,164.0,1.0,25.0
