,Character,Label,Prediction,Score,Title_score,Title_in_name,Adj_score,Pron_score,Art_score
0,Passepartout,m,m,-119.0,-0.0066889632107,0.0,-0.0802675585284,-0.304347826087,0.0
1,PhileasFogg,m,m,-68.0,-0.00471698113208,0.0,-0.0377358490566,-0.27358490566,0.0
2,MrFogg,m,m,-624.0,0.0,-1.0,-0.0430107526882,-0.311827956989,0.0
3,Fix,m,m,-97.0,-0.0853658536585,0.0,-0.0792682926829,-0.341463414634,0.0
4,MrsAouda,f,f,175.0,0.0,1.0,0.103448275862,-0.0862068965517,0.0
5,Fogg,m,m,-38.0,-0.296296296296,0.0,0.12962962963,-0.240740740741,0.0
6,FrancisCromarty,m,f,1.0,0.0,0.0,0.0714285714286,0.0,0.0
7,AndrewStuart,m,,0.0,0.0,0.0,0.0,0.0,0.0
8,Proctor,m,,0.0,0.0,0.0,0.0,0.0,0.0
9,JohnBunsby,m,,0.0,0.0,0.0,0.0,0.0,0.0
10,Stuart,m,m,-4.0,-0.333333333333,0.0,0.0,0.0,0.0
11,Obadiah,m,m,-2.0,-0.166666666667,0.0,0.0,0.0,0.0
12,Mudge,m,,0.0,0.0,0.0,0.0,0.0,0.0
13,ThomasFlanagan,m,,0.0,0.0,0.0,0.0,0.0,0.0
14,JohnSullivan,m,,0.0,0.0,0.0,0.0,0.0,0.0
15,Batulcar,m,,0.0,0.0,0.0,0.0,0.0,0.0
16,AndrewSpeedy,m,,0.0,0.0,0.0,0.0,0.0,0.0
