,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Passepartout,"(valet, (maître, 5.32738095238))",0.264081932467,0.0,40.0,constant,exposition
1,Passepartout,"(valet, (domestique, 1.54761904762))",0.115863284376,1.0,40.0,constant,exposition
2,Passepartout,"(valet, (valet, 0.714285714286))",1.0,2.0,40.0,constant,exposition
3,Passepartout,"(domestique, (maître, 5.32738095238))",0.110151265263,0.0,40.0,constant,exposition
4,Passepartout,"(domestique, (domestique, 1.54761904762))",1.0,1.0,40.0,constant,exposition
5,Passepartout,"(domestique, (valet, 0.714285714286))",0.115863284376,2.0,40.0,constant,exposition
6,PhileasFogg,"(gentleman, (domestique, 5.0))",0.0705495726606,0.0,28.0,constant,exposition
7,PhileasFogg,"(gentleman, (armateur, 3.28571428571))",0.101237398195,1.0,28.0,constant,exposition
8,PhileasFogg,"(gentleman, (maître, 3.20535714286))",0.12426094498,2.0,28.0,constant,exposition
9,PhileasFogg,"(maître, (domestique, 5.0))",0.110151265263,0.0,28.0,constant,exposition
10,PhileasFogg,"(maître, (armateur, 3.28571428571))",0.0894132307555,1.0,28.0,constant,exposition
11,PhileasFogg,"(maître, (maître, 3.20535714286))",1.0,2.0,28.0,constant,exposition
12,MrFogg,"(gentleman, (maître, 5.46666666667))",0.12426094498,0.0,26.0,constant,exposition
13,MrFogg,"(gentleman, (domestique, 5.0))",0.0705495726606,1.0,26.0,constant,exposition
14,MrFogg,"(maître, (maître, 5.46666666667))",1.0,0.0,26.0,constant,exposition
15,MrFogg,"(maître, (domestique, 5.0))",0.110151265263,1.0,26.0,constant,exposition
16,Fix,"(détective, (consul, 5.81609195402))",0.0770179069394,0.0,25.0,constant,exposition
17,Fix,"(détective, (directeur, 2.52873563218))",0.0425585888437,1.0,25.0,constant,exposition
18,Fix,"(détective, (auteur, 2.2183908046))",0.238515386461,2.0,25.0,constant,exposition
19,Fix,"(détective, (commis, 1.66666666667))",0.155319740301,3.0,25.0,constant,exposition
20,Fix,"(inspecteur, (consul, 5.81609195402))",0.138407274754,0.0,25.0,constant,exposition
21,Fix,"(inspecteur, (directeur, 2.52873563218))",0.411780732762,1.0,25.0,constant,exposition
22,Fix,"(inspecteur, (auteur, 2.2183908046))",0.12063251792,2.0,25.0,constant,exposition
23,Fix,"(inspecteur, (commis, 1.66666666667))",0.180264858967,3.0,25.0,constant,exposition
24,Fix,"(agent, (consul, 5.81609195402))",0.108799554307,0.0,25.0,constant,exposition
25,Fix,"(agent, (directeur, 2.52873563218))",0.243156822139,1.0,25.0,constant,exposition
26,Fix,"(agent, (auteur, 2.2183908046))",0.0819832970858,2.0,25.0,constant,exposition
27,Fix,"(agent, (commis, 1.66666666667))",0.223787141481,3.0,25.0,constant,exposition
