,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Passepartout,"(valet, (maître, 5.28717140173))",0.264081932467,0.0,40.0,decreasing,exposition
1,Passepartout,"(valet, (domestique, 1.41392905486))",0.115863284376,1.0,40.0,decreasing,exposition
2,Passepartout,"(valet, (valet, 0.783867483369))",1.0,2.0,40.0,decreasing,exposition
3,Passepartout,"(domestique, (maître, 5.28717140173))",0.110151265263,0.0,40.0,decreasing,exposition
4,Passepartout,"(domestique, (domestique, 1.41392905486))",1.0,1.0,40.0,decreasing,exposition
5,Passepartout,"(domestique, (valet, 0.783867483369))",0.115863284376,2.0,40.0,decreasing,exposition
6,PhileasFogg,"(gentleman, (armateur, 5.58818861161))",0.101237398195,0.0,28.0,decreasing,exposition
7,PhileasFogg,"(gentleman, (domestique, 2.83601837904))",0.0705495726606,1.0,28.0,decreasing,exposition
8,PhileasFogg,"(gentleman, (maître, 2.08757312747))",0.12426094498,2.0,28.0,decreasing,exposition
9,PhileasFogg,"(maître, (armateur, 5.58818861161))",0.0894132307555,0.0,28.0,decreasing,exposition
10,PhileasFogg,"(maître, (domestique, 2.83601837904))",0.110151265263,1.0,28.0,decreasing,exposition
11,PhileasFogg,"(maître, (maître, 2.08757312747))",1.0,2.0,28.0,decreasing,exposition
12,MrFogg,"(gentleman, (maître, 5.0))",0.12426094498,0.0,26.0,decreasing,exposition
13,MrFogg,"(gentleman, (domestique, 1.0))",0.0705495726606,1.0,26.0,decreasing,exposition
14,MrFogg,"(maître, (maître, 5.0))",1.0,0.0,26.0,decreasing,exposition
15,MrFogg,"(maître, (domestique, 1.0))",0.110151265263,1.0,26.0,decreasing,exposition
16,Fix,"(détective, (commis, 5.0))",0.155319740301,0.0,25.0,decreasing,exposition
17,Fix,"(détective, (consul, 4.64986345358))",0.0770179069394,1.0,25.0,decreasing,exposition
18,Fix,"(détective, (directeur, 4.1555534793))",0.0425585888437,2.0,25.0,decreasing,exposition
19,Fix,"(détective, (auteur, 3.84520865172))",0.238515386461,3.0,25.0,decreasing,exposition
20,Fix,"(inspecteur, (commis, 5.0))",0.180264858967,0.0,25.0,decreasing,exposition
21,Fix,"(inspecteur, (consul, 4.64986345358))",0.138407274754,1.0,25.0,decreasing,exposition
22,Fix,"(inspecteur, (directeur, 4.1555534793))",0.411780732762,2.0,25.0,decreasing,exposition
23,Fix,"(inspecteur, (auteur, 3.84520865172))",0.12063251792,3.0,25.0,decreasing,exposition
24,Fix,"(agent, (commis, 5.0))",0.223787141481,0.0,25.0,decreasing,exposition
25,Fix,"(agent, (consul, 4.64986345358))",0.108799554307,1.0,25.0,decreasing,exposition
26,Fix,"(agent, (directeur, 4.1555534793))",0.243156822139,2.0,25.0,decreasing,exposition
27,Fix,"(agent, (auteur, 3.84520865172))",0.0819832970858,3.0,25.0,decreasing,exposition
28,MrsAouda,"(veuve, (policeman, 5.0))",,0.0,12.0,decreasing,exposition
29,MrsAouda,"(veuve, (magistrat, 0.0))",0.116225556977,1.0,12.0,decreasing,exposition
30,MrsAouda,"(veuve, (greffier, 0.0))",0.174690165597,2.0,12.0,decreasing,exposition
31,MrsAouda,"(épouse, (policeman, 5.0))",,0.0,12.0,decreasing,exposition
32,MrsAouda,"(épouse, (magistrat, 0.0))",0.134704166361,1.0,12.0,decreasing,exposition
33,MrsAouda,"(épouse, (greffier, 0.0))",0.159364669697,2.0,12.0,decreasing,exposition
34,Fogg,"(gentleman, (domestique, 5.93241115066))",0.0705495726606,0.0,10.0,decreasing,exposition
35,Fogg,"(gentleman, (inspecteur, 2.12141678753))",0.157377830054,1.0,10.0,decreasing,exposition
36,Fogg,"(gentleman, (directeur, 1.86321557818))",0.088786038607,2.0,10.0,decreasing,exposition
37,Fogg,"(gentleman, (brigadier, 0.0))",0.187416358272,3.0,10.0,decreasing,exposition
38,Fogg,"(gentleman, (général, 0.0))",0.114258326849,4.0,10.0,decreasing,exposition
39,Fogg,"(maître, (domestique, 5.93241115066))",0.110151265263,0.0,10.0,decreasing,exposition
40,Fogg,"(maître, (inspecteur, 2.12141678753))",0.190245275842,1.0,10.0,decreasing,exposition
41,Fogg,"(maître, (directeur, 1.86321557818))",0.190178591302,2.0,10.0,decreasing,exposition
42,Fogg,"(maître, (brigadier, 0.0))",0.139653614523,3.0,10.0,decreasing,exposition
43,Fogg,"(maître, (général, 0.0))",0.0945025589207,4.0,10.0,decreasing,exposition
44,FrancisCromarty,"(brigadier, (général, 5.04214739469))",0.247270929523,0.0,10.0,decreasing,exposition
45,FrancisCromarty,"(brigadier, (brigadier, 5.0))",1.0,1.0,10.0,decreasing,exposition
46,FrancisCromarty,"(général, (général, 5.04214739469))",1.0,0.0,10.0,decreasing,exposition
47,FrancisCromarty,"(général, (brigadier, 5.0))",0.247270929523,1.0,10.0,decreasing,exposition
48,AndrewStuart,"(ingénieur, (ingénieur, 5.9))",1.0,0.0,10.0,decreasing,exposition
49,AndrewStuart,"(ingénieur, (brasseur, 5.1))",0.0677224750335,1.0,10.0,decreasing,exposition
