,Character,Label_Guess,Similarity,Rank,Mention_Count,Increment,Size
0,Passepartout,"(valet, (maître, 1.71659731854))",0.264081932467,0.0,402.0,constant,full
1,Passepartout,"(valet, (inspecteur, 0.990392747201))",0.096434566945,1.0,402.0,constant,full
2,Passepartout,"(valet, (avoué, 0.981322237633))",0.0919074974592,2.0,402.0,constant,full
3,Passepartout,"(valet, (militaire, 0.971613499769))",0.133156218951,3.0,402.0,constant,full
4,Passepartout,"(valet, (huissier, 0.943042071197))",0.12035556282,4.0,402.0,constant,full
5,Passepartout,"(domestique, (maître, 1.71659731854))",0.110151265263,0.0,402.0,constant,full
6,Passepartout,"(domestique, (inspecteur, 0.990392747201))",0.0131766478479,1.0,402.0,constant,full
7,Passepartout,"(domestique, (avoué, 0.981322237633))",0.0358607339043,2.0,402.0,constant,full
8,Passepartout,"(domestique, (militaire, 0.971613499769))",0.068316758893,3.0,402.0,constant,full
9,Passepartout,"(domestique, (huissier, 0.943042071197))",0.0349018839644,4.0,402.0,constant,full
10,PhileasFogg,"(gentleman, (maître, 1.91364742314))",0.12426094498,0.0,280.0,constant,full
11,PhileasFogg,"(gentleman, (domestique, 1.57233115468))",0.0705495726606,1.0,280.0,constant,full
12,PhileasFogg,"(gentleman, (inspecteur, 1.46084373143))",0.157377830054,2.0,280.0,constant,full
13,PhileasFogg,"(gentleman, (général, 1.25601261484))",0.114258326849,3.0,280.0,constant,full
14,PhileasFogg,"(gentleman, (capitaine, 1.25365418895))",0.285914284586,4.0,280.0,constant,full
15,PhileasFogg,"(maître, (maître, 1.91364742314))",1.0,0.0,280.0,constant,full
16,PhileasFogg,"(maître, (domestique, 1.57233115468))",0.110151265263,1.0,280.0,constant,full
17,PhileasFogg,"(maître, (inspecteur, 1.46084373143))",0.190245275842,2.0,280.0,constant,full
18,PhileasFogg,"(maître, (général, 1.25601261484))",0.0945025589207,3.0,280.0,constant,full
19,PhileasFogg,"(maître, (capitaine, 1.25365418895))",0.160492415619,4.0,280.0,constant,full
20,MrFogg,"(gentleman, (maître, 1.79026924894))",0.12426094498,0.0,264.0,constant,full
21,MrFogg,"(gentleman, (inspecteur, 1.33525792135))",0.157377830054,1.0,264.0,constant,full
22,MrFogg,"(gentleman, (domestique, 1.32793286437))",0.0705495726606,2.0,264.0,constant,full
23,MrFogg,"(gentleman, (guide, 1.11190916944))",0.0433833818058,3.0,264.0,constant,full
24,MrFogg,"(gentleman, (colonel, 1.10089330637))",0.161010288191,4.0,264.0,constant,full
25,MrFogg,"(maître, (maître, 1.79026924894))",1.0,0.0,264.0,constant,full
26,MrFogg,"(maître, (inspecteur, 1.33525792135))",0.190245275842,1.0,264.0,constant,full
27,MrFogg,"(maître, (domestique, 1.32793286437))",0.110151265263,2.0,264.0,constant,full
