,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (chanteur, 108.0))",0.0984268485762,0.0,proximity,40.0,constant,exposition
1,Passepartout,"(valet, (écuyer, 105.0))",0.368914605412,1.0,proximity,40.0,constant,exposition
2,Passepartout,"(valet, (professeur, 81.0))",0.0751307020031,2.0,proximity,40.0,constant,exposition
3,Passepartout,"(valet, (domestique, 37.8571428571))",0.115863284376,3.0,proximity,40.0,constant,exposition
4,Passepartout,"(valet, (guide, 37.5))",0.0309550251997,4.0,proximity,40.0,constant,exposition
5,Passepartout,"(domestique, (chanteur, 108.0))",-0.00378148736566,0.0,proximity,40.0,constant,exposition
6,Passepartout,"(domestique, (écuyer, 105.0))",0.135175268815,1.0,proximity,40.0,constant,exposition
7,Passepartout,"(domestique, (professeur, 81.0))",0.0422295542551,2.0,proximity,40.0,constant,exposition
8,Passepartout,"(domestique, (domestique, 37.8571428571))",1.0,3.0,proximity,40.0,constant,exposition
9,Passepartout,"(domestique, (guide, 37.5))",0.121254268357,4.0,proximity,40.0,constant,exposition
10,PhileasFogg,"(gentleman, (armateur, 82.5))",0.101237398195,0.0,proximity,28.0,constant,exposition
11,PhileasFogg,"(gentleman, (chanteur, 36.5))",0.179358437347,1.0,proximity,28.0,constant,exposition
12,PhileasFogg,"(gentleman, (écuyer, 35.0))",0.201428140634,2.0,proximity,28.0,constant,exposition
13,PhileasFogg,"(gentleman, (professeur, 23.0))",0.0503623839415,3.0,proximity,28.0,constant,exposition
14,PhileasFogg,"(gentleman, (domestique, 13.4375))",0.0705495726606,4.0,proximity,28.0,constant,exposition
15,PhileasFogg,"(maître, (armateur, 82.5))",0.0894132307555,0.0,proximity,28.0,constant,exposition
16,PhileasFogg,"(maître, (chanteur, 36.5))",0.0976885605486,1.0,proximity,28.0,constant,exposition
17,PhileasFogg,"(maître, (écuyer, 35.0))",0.163183350829,2.0,proximity,28.0,constant,exposition
18,PhileasFogg,"(maître, (professeur, 23.0))",0.346125715885,3.0,proximity,28.0,constant,exposition
19,PhileasFogg,"(maître, (domestique, 13.4375))",0.110151265263,4.0,proximity,28.0,constant,exposition
20,MrFogg,"(gentleman, (auteur, 44.0))",0.115470402055,0.0,proximity,26.0,constant,exposition
21,MrFogg,"(gentleman, (cocher, 29.3333333333))",0.0360199513867,1.0,proximity,26.0,constant,exposition
22,MrFogg,"(gentleman, (inspecteur, 13.0))",0.157377830054,2.0,proximity,26.0,constant,exposition
23,MrFogg,"(gentleman, (guide, 8.5))",0.0433833818058,3.0,proximity,26.0,constant,exposition
24,MrFogg,"(gentleman, (consul, 6.5))",0.0381452874025,4.0,proximity,26.0,constant,exposition
25,MrFogg,"(maître, (auteur, 44.0))",0.195937076281,0.0,proximity,26.0,constant,exposition
26,MrFogg,"(maître, (cocher, 29.3333333333))",0.103165109895,1.0,proximity,26.0,constant,exposition
27,MrFogg,"(maître, (inspecteur, 13.0))",0.190245275842,2.0,proximity,26.0,constant,exposition
28,MrFogg,"(maître, (guide, 8.5))",0.0930086275723,3.0,proximity,26.0,constant,exposition
29,MrFogg,"(maître, (consul, 6.5))",0.102537303992,4.0,proximity,26.0,constant,exposition
30,Fix,"(détective, (détective, 90.5))",1.0,0.0,proximity,25.0,constant,exposition
31,Fix,"(détective, (directeur, 83.0))",0.0425585888437,1.0,proximity,25.0,constant,exposition
32,Fix,"(détective, (auteur, 69.0))",0.238515386461,2.0,proximity,25.0,constant,exposition
33,Fix,"(détective, (commis, 29.0))",0.155319740301,3.0,proximity,25.0,constant,exposition
34,Fix,"(détective, (consul, 25.5454545455))",0.0770179069394,4.0,proximity,25.0,constant,exposition
35,Fix,"(inspecteur, (détective, 90.5))",0.260133760666,0.0,proximity,25.0,constant,exposition
36,Fix,"(inspecteur, (directeur, 83.0))",0.411780732762,1.0,proximity,25.0,constant,exposition
37,Fix,"(inspecteur, (auteur, 69.0))",0.12063251792,2.0,proximity,25.0,constant,exposition
38,Fix,"(inspecteur, (commis, 29.0))",0.180264858967,3.0,proximity,25.0,constant,exposition
39,Fix,"(inspecteur, (consul, 25.5454545455))",0.138407274754,4.0,proximity,25.0,constant,exposition
40,Fix,"(agent, (détective, 90.5))",0.14530268382,0.0,proximity,25.0,constant,exposition
41,Fix,"(agent, (directeur, 83.0))",0.243156822139,1.0,proximity,25.0,constant,exposition
42,Fix,"(agent, (auteur, 69.0))",0.0819832970858,2.0,proximity,25.0,constant,exposition
43,Fix,"(agent, (commis, 29.0))",0.223787141481,3.0,proximity,25.0,constant,exposition
44,Fix,"(agent, (consul, 25.5454545455))",0.108799554307,4.0,proximity,25.0,constant,exposition
45,MrsAouda,"(veuve, (bonne, 52.0))",0.010403797894,0.0,proximity,12.0,constant,exposition
46,MrsAouda,"(veuve, (brigadier, 33.5))",0.105217455927,1.0,proximity,12.0,constant,exposition
47,MrsAouda,"(veuve, (général, 32.5))",0.0546498735535,2.0,proximity,12.0,constant,exposition
48,MrsAouda,"(veuve, (policeman, 25.3333333333))",,3.0,proximity,12.0,constant,exposition
49,MrsAouda,"(veuve, (juge, 22.0))",0.159200302658,4.0,proximity,12.0,constant,exposition
50,MrsAouda,"(épouse, (bonne, 52.0))",0.0202696172326,0.0,proximity,12.0,constant,exposition
51,MrsAouda,"(épouse, (brigadier, 33.5))",0.138575585244,1.0,proximity,12.0,constant,exposition
52,MrsAouda,"(épouse, (général, 32.5))",0.0825115468982,2.0,proximity,12.0,constant,exposition
53,MrsAouda,"(épouse, (policeman, 25.3333333333))",,3.0,proximity,12.0,constant,exposition
54,MrsAouda,"(épouse, (juge, 22.0))",0.190648477256,4.0,proximity,12.0,constant,exposition
