,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (chanteur, 108.0))",0.0984268485762,0.0,proximity,40.0,decreasing,exposition
1,Passepartout,"(valet, (écuyer, 105.0))",0.368914605412,1.0,proximity,40.0,decreasing,exposition
2,Passepartout,"(valet, (professeur, 81.0))",0.0751307020031,2.0,proximity,40.0,decreasing,exposition
3,Passepartout,"(valet, (domestique, 52.8318599849))",0.115863284376,3.0,proximity,40.0,decreasing,exposition
4,Passepartout,"(valet, (guide, 38.3488980793))",0.0309550251997,4.0,proximity,40.0,decreasing,exposition
5,Passepartout,"(domestique, (chanteur, 108.0))",-0.00378148736566,0.0,proximity,40.0,decreasing,exposition
6,Passepartout,"(domestique, (écuyer, 105.0))",0.135175268815,1.0,proximity,40.0,decreasing,exposition
7,Passepartout,"(domestique, (professeur, 81.0))",0.0422295542551,2.0,proximity,40.0,decreasing,exposition
8,Passepartout,"(domestique, (domestique, 52.8318599849))",1.0,3.0,proximity,40.0,decreasing,exposition
9,Passepartout,"(domestique, (guide, 38.3488980793))",0.121254268357,4.0,proximity,40.0,decreasing,exposition
10,PhileasFogg,"(gentleman, (armateur, 85.0123554705))",0.101237398195,0.0,proximity,28.0,decreasing,exposition
11,PhileasFogg,"(gentleman, (domestique, 16.1374925413))",0.0705495726606,1.0,proximity,28.0,decreasing,exposition
12,PhileasFogg,"(gentleman, (chanteur, 10.5640871517))",0.179358437347,2.0,proximity,28.0,decreasing,exposition
13,PhileasFogg,"(gentleman, (écuyer, 10.1299465838))",0.201428140634,3.0,proximity,28.0,decreasing,exposition
14,PhileasFogg,"(gentleman, (professeur, 6.65682204077))",0.0503623839415,4.0,proximity,28.0,decreasing,exposition
15,PhileasFogg,"(maître, (armateur, 85.0123554705))",0.0894132307555,0.0,proximity,28.0,decreasing,exposition
16,PhileasFogg,"(maître, (domestique, 16.1374925413))",0.110151265263,1.0,proximity,28.0,decreasing,exposition
17,PhileasFogg,"(maître, (chanteur, 10.5640871517))",0.0976885605486,2.0,proximity,28.0,decreasing,exposition
18,PhileasFogg,"(maître, (écuyer, 10.1299465838))",0.163183350829,3.0,proximity,28.0,decreasing,exposition
19,PhileasFogg,"(maître, (professeur, 6.65682204077))",0.346125715885,4.0,proximity,28.0,decreasing,exposition
20,MrFogg,"(gentleman, (auteur, 44.0))",0.115470402055,0.0,proximity,26.0,decreasing,exposition
21,MrFogg,"(gentleman, (cocher, 32.0213997901))",0.0360199513867,1.0,proximity,26.0,decreasing,exposition
22,MrFogg,"(gentleman, (guide, 9.86091962714))",0.0433833818058,2.0,proximity,26.0,decreasing,exposition
23,MrFogg,"(gentleman, (maître, 2.74374058941))",0.12426094498,3.0,proximity,26.0,decreasing,exposition
24,MrFogg,"(gentleman, (domestique, 0.461190966555))",0.0705495726606,4.0,proximity,26.0,decreasing,exposition
25,MrFogg,"(maître, (auteur, 44.0))",0.195937076281,0.0,proximity,26.0,decreasing,exposition
26,MrFogg,"(maître, (cocher, 32.0213997901))",0.103165109895,1.0,proximity,26.0,decreasing,exposition
27,MrFogg,"(maître, (guide, 9.86091962714))",0.0930086275723,2.0,proximity,26.0,decreasing,exposition
28,MrFogg,"(maître, (maître, 2.74374058941))",1.0,3.0,proximity,26.0,decreasing,exposition
29,MrFogg,"(maître, (domestique, 0.461190966555))",0.110151265263,4.0,proximity,26.0,decreasing,exposition
30,Fix,"(détective, (détective, 110.91988901))",1.0,0.0,proximity,25.0,decreasing,exposition
31,Fix,"(détective, (auteur, 91.5434887261))",0.238515386461,1.0,proximity,25.0,decreasing,exposition
32,Fix,"(détective, (directeur, 83.0))",0.0425585888437,2.0,proximity,25.0,decreasing,exposition
33,Fix,"(détective, (inspecteur, 37.8190818667))",0.260133760666,3.0,proximity,25.0,decreasing,exposition
34,Fix,"(détective, (consul, 29.0017302755))",0.0770179069394,4.0,proximity,25.0,decreasing,exposition
