,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (écuyer, 105.0))",0.368914605412,0.0,proximity,402.0,constant,full
1,Passepartout,"(valet, (professeur, 81.0))",0.0751307020031,1.0,proximity,402.0,constant,full
2,Passepartout,"(valet, (responsable, 77.6666666667))",0.02860736299,2.0,proximity,402.0,constant,full
3,Passepartout,"(valet, (brocanteur, 70.0))",0.145805981249,3.0,proximity,402.0,constant,full
4,Passepartout,"(valet, (commerçante, 70.0))",,4.0,proximity,402.0,constant,full
5,Passepartout,"(domestique, (écuyer, 105.0))",0.135175268815,0.0,proximity,402.0,constant,full
6,Passepartout,"(domestique, (professeur, 81.0))",0.0422295542551,1.0,proximity,402.0,constant,full
7,Passepartout,"(domestique, (responsable, 77.6666666667))",0.0848050399185,2.0,proximity,402.0,constant,full
8,Passepartout,"(domestique, (brocanteur, 70.0))",0.0489947832369,3.0,proximity,402.0,constant,full
9,Passepartout,"(domestique, (commerçante, 70.0))",,4.0,proximity,402.0,constant,full
10,PhileasFogg,"(gentleman, (armateur, 82.5))",0.101237398195,0.0,proximity,280.0,constant,full
11,PhileasFogg,"(gentleman, (brasseur, 81.0))",0.137381847872,1.0,proximity,280.0,constant,full
12,PhileasFogg,"(gentleman, (administrateur, 73.0))",0.0088258761132,2.0,proximity,280.0,constant,full
13,PhileasFogg,"(gentleman, (ingénieur, 68.0))",0.050744030733,3.0,proximity,280.0,constant,full
14,PhileasFogg,"(gentleman, (marin, 64.8))",0.0593354150469,4.0,proximity,280.0,constant,full
15,PhileasFogg,"(maître, (armateur, 82.5))",0.0894132307555,0.0,proximity,280.0,constant,full
16,PhileasFogg,"(maître, (brasseur, 81.0))",0.0712384712221,1.0,proximity,280.0,constant,full
17,PhileasFogg,"(maître, (administrateur, 73.0))",0.111394236118,2.0,proximity,280.0,constant,full
18,PhileasFogg,"(maître, (ingénieur, 68.0))",0.144163645087,3.0,proximity,280.0,constant,full
19,PhileasFogg,"(maître, (marin, 64.8))",0.117302554134,4.0,proximity,280.0,constant,full
20,MrFogg,"(gentleman, (auteur, 36.5))",0.115470402055,0.0,proximity,264.0,constant,full
21,MrFogg,"(gentleman, (officier, 24.0))",0.12496114542,1.0,proximity,264.0,constant,full
22,MrFogg,"(gentleman, (banquier, 23.0))",0.108878030537,2.0,proximity,264.0,constant,full
23,MrFogg,"(gentleman, (coach, 22.0))",0.160075581546,3.0,proximity,264.0,constant,full
24,MrFogg,"(gentleman, (vendeur, 21.0))",0.0414380573585,4.0,proximity,264.0,constant,full
25,MrFogg,"(maître, (auteur, 36.5))",0.195937076281,0.0,proximity,264.0,constant,full
