,Character,Label_Guess,Similarity,Rank,Predictor,Mention_Count,Increment,Size
0,Passepartout,"(valet, (écuyer, 105.0))",0.368914605412,0.0,proximity,402.0,decreasing,full
1,Passepartout,"(valet, (chanteur, 94.5721426393))",0.0984268485762,1.0,proximity,402.0,decreasing,full
2,Passepartout,"(valet, (responsable, 82.6807672727))",0.02860736299,2.0,proximity,402.0,decreasing,full
3,Passepartout,"(valet, (professeur, 81.0))",0.0751307020031,3.0,proximity,402.0,decreasing,full
4,Passepartout,"(valet, (auditeur, 75.1140117434))",0.0707526095711,4.0,proximity,402.0,decreasing,full
5,Passepartout,"(domestique, (écuyer, 105.0))",0.135175268815,0.0,proximity,402.0,decreasing,full
6,Passepartout,"(domestique, (chanteur, 94.5721426393))",-0.00378148736566,1.0,proximity,402.0,decreasing,full
7,Passepartout,"(domestique, (responsable, 82.6807672727))",0.0848050399185,2.0,proximity,402.0,decreasing,full
8,Passepartout,"(domestique, (professeur, 81.0))",0.0422295542551,3.0,proximity,402.0,decreasing,full
9,Passepartout,"(domestique, (auditeur, 75.1140117434))",0.0204743286481,4.0,proximity,402.0,decreasing,full
10,PhileasFogg,"(gentleman, (armateur, 83.6953087126))",0.101237398195,0.0,proximity,280.0,decreasing,full
11,PhileasFogg,"(gentleman, (brasseur, 81.0))",0.137381847872,1.0,proximity,280.0,decreasing,full
12,PhileasFogg,"(gentleman, (administrateur, 73.0))",0.0088258761132,2.0,proximity,280.0,decreasing,full
13,PhileasFogg,"(gentleman, (ingénieur, 68.0))",0.050744030733,3.0,proximity,280.0,decreasing,full
14,PhileasFogg,"(gentleman, (marin, 60.6182144238))",0.0593354150469,4.0,proximity,280.0,decreasing,full
15,PhileasFogg,"(maître, (armateur, 83.6953087126))",0.0894132307555,0.0,proximity,280.0,decreasing,full
16,PhileasFogg,"(maître, (brasseur, 81.0))",0.0712384712221,1.0,proximity,280.0,decreasing,full
17,PhileasFogg,"(maître, (administrateur, 73.0))",0.111394236118,2.0,proximity,280.0,decreasing,full
18,PhileasFogg,"(maître, (ingénieur, 68.0))",0.144163645087,3.0,proximity,280.0,decreasing,full
19,PhileasFogg,"(maître, (marin, 60.6182144238))",0.117302554134,4.0,proximity,280.0,decreasing,full
20,MrFogg,"(gentleman, (auteur, 37.9201494272))",0.115470402055,0.0,proximity,264.0,decreasing,full
21,MrFogg,"(gentleman, (cocher, 29.3705708908))",0.0360199513867,1.0,proximity,264.0,decreasing,full
22,MrFogg,"(gentleman, (vendeur, 25.5560594718))",0.0414380573585,2.0,proximity,264.0,decreasing,full
23,MrFogg,"(gentleman, (officier, 24.0))",0.12496114542,3.0,proximity,264.0,decreasing,full
24,MrFogg,"(gentleman, (audit, 23.1766033477))",0.00335125514803,4.0,proximity,264.0,decreasing,full
25,MrFogg,"(maître, (auteur, 37.9201494272))",0.195937076281,0.0,proximity,264.0,decreasing,full
26,MrFogg,"(maître, (cocher, 29.3705708908))",0.103165109895,1.0,proximity,264.0,decreasing,full
27,MrFogg,"(maître, (vendeur, 25.5560594718))",0.0815098454606,2.0,proximity,264.0,decreasing,full
28,MrFogg,"(maître, (officier, 24.0))",0.137763295019,3.0,proximity,264.0,decreasing,full
29,MrFogg,"(maître, (audit, 23.1766033477))",0.0733952066009,4.0,proximity,264.0,decreasing,full
30,Fix,"(détective, (négociant, 63.2568874311))",0.0802446487145,0.0,proximity,251.0,decreasing,full
31,Fix,"(détective, (auteur, 58.1264004588))",0.238515386461,1.0,proximity,251.0,decreasing,full
32,Fix,"(détective, (directeur, 43.643374385))",0.0425585888437,2.0,proximity,251.0,decreasing,full
33,Fix,"(détective, (barbier, 33.7501440781))",0.0438589177624,3.0,proximity,251.0,decreasing,full
34,Fix,"(détective, (commis, 29.4260726822))",0.155319740301,4.0,proximity,251.0,decreasing,full
35,Fix,"(inspecteur, (négociant, 63.2568874311))",0.103582330028,0.0,proximity,251.0,decreasing,full
36,Fix,"(inspecteur, (auteur, 58.1264004588))",0.12063251792,1.0,proximity,251.0,decreasing,full
37,Fix,"(inspecteur, (directeur, 43.643374385))",0.411780732762,2.0,proximity,251.0,decreasing,full
38,Fix,"(inspecteur, (barbier, 33.7501440781))",0.0624556593877,3.0,proximity,251.0,decreasing,full
39,Fix,"(inspecteur, (commis, 29.4260726822))",0.180264858967,4.0,proximity,251.0,decreasing,full
40,Fix,"(agent, (négociant, 63.2568874311))",0.0896598205227,0.0,proximity,251.0,decreasing,full
41,Fix,"(agent, (auteur, 58.1264004588))",0.0819832970858,1.0,proximity,251.0,decreasing,full
