,Character,Label,Pos_count,Pos_prob,Neg_count,Neg_prob,Neut_count,Neut_prob
0,Passepartout,pos,5.0,19.6375595238,0.0,20.3624404762,35.0,34.0875
1,PhileasFogg,pos,3.0,13.6420833333,1.0,14.3579166667,24.0,22.7083333333
2,MrFogg,pos,1.0,12.5116666667,0.0,13.4883333333,25.0,22.7683333333
3,Fix,pos,2.0,11.602,1.0,13.398,22.0,19.8066666667
4,MrsAouda,neg,1.0,5.89833333333,2.0,6.10166666667,9.0,8.95
5,Fogg,neg,0.0,5.12583333333,1.0,4.87416666667,9.0,8.8
6,FrancisCromarty,neutral,1.0,5.015,1.0,4.985,8.0,7.7
7,Français,pos,1.0,4.86916666667,0.0,5.13083333333,9.0,8.5075
8,AndrewStuart,pos,2.0,4.46333333333,0.0,5.53666666667,8.0,8.45
9,Tankadère,pos,1.0,4.58583333333,0.0,5.41416666667,9.0,8.13333333333
10,Proctor,pos,1.0,4.95,0.0,5.05,9.0,8.9
11,Banque,neutral,0.0,4.94611111111,0.0,5.05388888889,10.0,8.29444444444
12,JohnBunsby,neutral,1.0,4.57529761905,1.0,5.42470238095,8.0,6.7375
13,Indien,neutral,0.0,4.97166666667,0.0,5.02833333333,10.0,9.19166666667
14,VotreHonneur,pos,3.0,3.875,0.0,5.125,6.0,6.8
15,Parsi,neg,0.0,4.73,2.0,4.27,7.0,6.9
16,Stuart,neutral,0.0,3.98375,0.0,4.01625,8.0,6.835
17,Obadiah,neutral,0.0,3.8325,0.0,4.1675,8.0,7.45
18,Mudge,pos,2.0,3.24041666667,0.0,4.75958333333,6.0,6.02916666667
19,Japonais,pos,1.0,3.37078205128,0.0,4.62921794872,7.0,6.17179487179
20,ThomasFlanagan,neutral,0.0,3.41333333333,0.0,3.58666666667,7.0,6.38666666667
21,JohnSullivan,neutral,0.0,3.02833333333,0.0,3.97166666667,7.0,6.31666666667
22,Batulcar,pos,4.0,2.42416666667,0.0,4.57583333333,3.0,3.06666666667
23,StampWProctor,neutral,0.0,2.91666666667,0.0,3.08333333333,6.0,5.63333333333
24,AndrewSpeedy,neutral,0.0,2.425,0.0,2.575,5.0,4.6
